"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"466","TOWN OF COURTLAND COLUMBIA","COLUMBIA","TOWN OF COURTLAND",282,0,0,48,48,48,0,0,0,6,0,0,0,0,3,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"467","TOWN OF CRANDON FOREST","FOREST","TOWN OF CRANDON",404,0,0,43,43,6,0,36,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"468","TOWN OF CRANMOOR WOOD","WOOD","TOWN OF CRANMOOR",116,0,2,27,27,27,0,0,0,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","TOWN OF CRESCENT ONEIDA","ONEIDA","TOWN OF CRESCENT",1459,1,55,710,710,0,710,0,0,10,0,0,0,3,3,0,0,0,0,42,4,4,1,30,37,0,0,0,0,0,1,1,0,0,0,0,0
"470","TOWN OF CROSS BUFFALO","BUFFALO","TOWN OF CROSS",226,0,1,22,22,5,0,17,0,9,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"471","TOWN OF CROSS PLAINS DANE","DANE","TOWN OF CROSS PLAINS",1054,0,6,276,276,0,276,0,0,10,0,0,1,3,0,0,0,0,0,20,3,2,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0
"472","TOWN OF CRYSTAL LAKE BARRON","BARRON","TOWN OF CRYSTAL LAKE",423,0,0,28,28,0,0,28,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"473","TOWN OF CRYSTAL LAKE MARQUETTE","MARQUETTE","TOWN OF CRYSTAL LAKE",335,0,2,60,60,7,0,53,0,3,0,0,0,0,2,0,0,0,0,7,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0
"474","TOWN OF CRYSTAL WASHBURN","WASHBURN","TOWN OF CRYSTAL",172,0,0,55,55,55,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"475","TOWN OF CUMBERLAND BARRON","BARRON","TOWN OF CUMBERLAND",518,0,0,49,49,12,0,37,0,6,0,0,0,2,3,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"476","TOWN OF CURRAN JACKSON","JACKSON","TOWN OF CURRAN",176,0,0,31,31,1,0,30,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"477","TOWN OF CUTLER JUNEAU","JUNEAU","TOWN OF CUTLER",204,3,32,32,0,0,32,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","TOWN OF CYLON ST. CROIX","ST. CROIX","TOWN OF CYLON",380,0,1,37,37,0,37,0,0,3,0,0,0,0,2,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"479","TOWN OF DAIRYLAND DOUGLAS","DOUGLAS","TOWN OF DAIRYLAND",136,0,0,17,17,0,17,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","TOWN OF DAKOTA WAUSHARA","WAUSHARA","TOWN OF DAKOTA",566,3,4,107,107,11,0,96,0,6,0,0,0,0,0,0,0,0,0,15,0,4,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
"481","TOWN OF DALE OUTAGAMIE","OUTAGAMIE","TOWN OF DALE",1741,0,8,206,206,0,95,111,0,11,0,0,1,4,3,0,0,0,0,10,2,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0
"482","TOWN OF DALLAS BARRON","BARRON","TOWN OF DALLAS",316,0,1,35,35,1,0,34,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"483","TOWN OF DANE DANE","DANE","TOWN OF DANE",605,0,2,109,109,0,109,0,2,6,0,0,0,0,1,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"484","TOWN OF DANIELS BURNETT","BURNETT","TOWN OF DANIELS",0,0,0,36,36,3,0,33,0,6,0,0,0,1,5,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"485","TOWN OF DARIEN WALWORTH","WALWORTH","TOWN OF DARIEN",945,1,4,156,156,156,0,0,0,5,0,0,0,1,3,0,0,0,0,22,4,0,3,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"486","TOWN OF DARLINGTON LAFAYETTE","LAFAYETTE","TOWN OF DARLINGTON",560,0,3,66,66,20,0,46,0,3,0,0,0,0,1,0,0,0,0,4,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"487","TOWN OF DAY MARATHON","MARATHON","TOWN OF DAY",654,0,2,84,84,0,84,0,2,3,0,0,0,0,1,0,0,0,0,7,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"488","TOWN OF DAYTON RICHLAND","RICHLAND","TOWN OF DAYTON",396,2,5,63,63,2,0,61,0,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"489","TOWN OF DAYTON WAUPACA","WAUPACA","TOWN OF DAYTON",1788,2,14,266,266,183,0,83,0,14,0,0,0,2,12,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"490","TOWN OF DECATUR GREEN","GREEN","TOWN OF DECATUR",1078,6,1,135,135,0,135,0,0,3,0,0,0,0,0,0,0,0,0,17,1,8,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0
"491","TOWN OF DEER CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF DEER CREEK",327,0,1,49,49,4,0,45,0,3,0,0,0,0,2,0,0,0,0,4,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"492","TOWN OF DEER CREEK TAYLOR","TAYLOR","TOWN OF DEER CREEK",376,0,1,46,46,9,0,37,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"493","TOWN OF DEERFIELD DANE","DANE","TOWN OF DEERFIELD",1018,0,8,219,219,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"494","TOWN OF DEERFIELD WAUSHARA","WAUSHARA","TOWN OF DEERFIELD",456,2,0,77,77,9,0,68,0,5,0,0,0,0,3,0,0,0,0,9,0,1,0,8,8,0,0,0,0,0,1,1,0,0,0,0,0
"495","TOWN OF DEKORRA COLUMBIA","COLUMBIA","TOWN OF DEKORRA",1642,0,17,278,278,0,278,0,0,15,0,0,0,10,2,0,0,0,0,30,1,11,5,17,17,5,0,0,0,0,1,0,0,1,1,0,0
"496","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",5967,8,24,1205,1204,0,1204,0,0,17,0,0,0,6,10,0,0,0,0,136,64,18,0,117,1,0,0,0,0,0,0,0,0,0,0,0,0
"497","TOWN OF DELAVAN WALWORTH","WALWORTH","TOWN OF DELAVAN",2986,8,26,606,606,0,598,8,0,16,0,0,0,5,5,0,0,0,0,97,13,10,1,80,1,3,0,0,0,0,0,0,0,0,0,0,0
"498","TOWN OF DELL PRAIRIE ADAMS","ADAMS","TOWN OF DELL PRAIRIE",988,0,6,115,115,115,0,0,0,3,0,0,0,2,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"499","TOWN OF DELLONA SAUK","SAUK","TOWN OF DELLONA",978,0,4,121,121,121,0,0,0,9,0,0,0,9,0,0,0,0,0,5,2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"500","TOWN OF DELMAR CHIPPEWA","CHIPPEWA","TOWN OF DELMAR",515,0,1,41,41,0,41,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501","TOWN OF DELTA BAYFIELD","BAYFIELD","TOWN OF DELTA",217,1,2,60,60,0,60,0,0,3,0,0,0,1,0,0,0,0,0,4,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"502","TOWN OF DELTON SAUK","SAUK","TOWN OF DELTON",1290,0,13,195,195,0,195,0,0,3,0,0,0,1,1,0,0,0,0,15,1,3,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0
"503","TOWN OF DEWEY BURNETT","BURNETT","TOWN OF DEWEY",309,0,0,29,29,5,0,24,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"504","TOWN OF DEWEY PORTAGE","PORTAGE","TOWN OF DEWEY",626,0,4,109,109,0,109,0,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"505","TOWN OF DEWEY RUSK","RUSK","TOWN OF DEWEY",322,0,0,62,62,30,0,32,0,3,0,0,0,1,1,0,0,0,0,6,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"506","TOWN OF DEWHURST CLARK","CLARK","TOWN OF DEWHURST",229,0,1,39,39,5,0,34,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"507","TOWN OF DEXTER WOOD","WOOD","TOWN OF DEXTER",217,0,1,43,43,43,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"508","TOWN OF DIAMOND BLUFF PIERCE","PIERCE","TOWN OF DIAMOND BLUFF",306,0,1,43,43,1,0,42,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"509","TOWN OF DODGE TREMPEALEAU","TREMPEALEAU","TOWN OF DODGE",259,0,0,35,35,4,0,31,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510","TOWN OF DODGEVILLE IOWA","IOWA","TOWN OF DODGEVILLE",1019,4,17,350,350,0,187,163,0,4,0,0,0,1,1,0,0,0,0,38,22,2,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0
"511","TOWN OF DOTY OCONTO","OCONTO","TOWN OF DOTY",234,0,0,48,48,0,0,48,0,7,0,0,1,0,4,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"512","TOWN OF DOUGLAS MARQUETTE","MARQUETTE","TOWN OF DOUGLAS",561,0,1,109,109,14,0,95,0,3,0,0,0,0,1,0,0,0,0,16,0,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"513","TOWN OF DOVER BUFFALO","BUFFALO","TOWN OF DOVER",280,0,1,21,21,2,0,19,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"514","TOWN OF DOVER RACINE","RACINE","TOWN OF DOVER",2236,4,12,317,317,296,21,0,0,5,0,0,0,0,2,0,0,0,0,32,31,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"515","TOWN OF DOVRE BARRON","BARRON","TOWN OF DOVRE",408,0,0,42,42,12,0,30,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"516","TOWN OF DOYLE BARRON","BARRON","TOWN OF DOYLE",317,0,0,24,24,0,0,24,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"517","TOWN OF DRAMMEN EAU CLAIRE","EAU CLAIRE","TOWN OF DRAMMEN",477,0,3,76,76,0,53,23,0,6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"518","TOWN OF DRAPER SAWYER","SAWYER","TOWN OF DRAPER",157,0,0,28,28,4,0,24,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"519","TOWN OF DRUMMOND BAYFIELD","BAYFIELD","TOWN OF DRUMMOND",366,0,1,61,61,0,61,0,0,6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"520","TOWN OF DUNBAR MARINETTE","MARINETTE","TOWN OF DUNBAR",56,0,0,56,56,5,0,51,0,5,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"521","TOWN OF DUNKIRK DANE","DANE","TOWN OF DUNKIRK",1332,1,12,304,304,304,0,0,0,5,0,0,0,3,0,0,0,0,0,12,4,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"522","TOWN OF DUNN DANE","DANE","TOWN OF DUNN",3558,6,14,783,784,0,783,0,0,8,0,0,0,1,6,1,0,0,1,85,39,10,0,75,74,2,0,0,0,0,3,3,0,0,0,0,0
"523","TOWN OF DUNN DUNN","DUNN","TOWN OF DUNN",838,0,5,102,102,0,55,47,0,5,0,0,1,1,1,0,0,0,0,13,2,0,1,13,11,2,0,0,0,0,0,0,0,0,0,0,0
"524","TOWN OF DUPONT WAUPACA","WAUPACA","TOWN OF DUPONT",393,0,2,51,51,0,0,51,0,5,0,0,1,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"525","TOWN OF DURAND PEPIN","PEPIN","TOWN OF DURAND",413,0,1,56,56,3,0,53,0,4,0,0,0,3,1,0,0,0,0,4,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"526","TOWN OF EAGLE POINT CHIPPEWA","CHIPPEWA","TOWN OF EAGLE POINT",2064,1,7,251,251,71,49,131,0,7,0,0,2,2,2,0,0,0,0,17,5,1,0,16,15,1,0,0,0,0,0,0,0,0,0,0,0
"527","TOWN OF EAGLE RICHLAND","RICHLAND","TOWN OF EAGLE",293,0,0,31,31,6,0,25,0,6,0,0,0,2,2,0,0,0,0,4,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"528","TOWN OF EAGLE WAUKESHA","WAUKESHA","TOWN OF EAGLE",2354,3,14,421,421,0,421,1,0,15,0,0,1,7,7,0,0,0,0,20,7,4,2,14,15,0,0,0,0,0,0,0,0,0,0,0,0
"529","TOWN OF EAST TROY WALWORTH","WALWORTH","TOWN OF EAST TROY",2749,1,6,488,488,0,488,0,0,8,0,0,0,0,3,2,0,2,0,49,15,0,0,46,2,0,0,0,0,0,2,2,0,0,0,0,0
"530","TOWN OF EASTMAN CRAWFORD","CRAWFORD","TOWN OF EASTMAN",441,0,0,50,50,4,0,46,0,5,0,0,0,0,2,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"531","TOWN OF EASTON ADAMS","ADAMS","TOWN OF EASTON",567,0,2,75,75,2,0,73,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"532","TOWN OF EASTON MARATHON","MARATHON","TOWN OF EASTON",765,0,5,100,100,0,100,0,0,6,0,0,0,1,2,0,0,0,0,6,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"533","TOWN OF EATON BROWN","BROWN","TOWN OF EATON",1007,0,7,165,165,165,0,0,0,5,0,0,0,2,6,0,0,0,0,5,1,0,0,6,6,0,0,0,0,0,1,0,0,1,1,0,0
"534","TOWN OF EATON CLARK","CLARK","TOWN OF EATON",255,0,4,35,35,13,0,22,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"535","TOWN OF EATON MANITOWOC","MANITOWOC","TOWN OF EATON",547,0,2,82,82,82,0,0,0,10,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"536","TOWN OF EAU GALLE DUNN","DUNN","TOWN OF EAU GALLE",0,0,3,61,61,0,17,44,0,7,0,0,1,1,3,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"537","TOWN OF EAU GALLE ST. CROIX","ST. CROIX","TOWN OF EAU GALLE",707,0,1,44,44,0,44,0,0,3,0,0,0,0,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"538","TOWN OF EAU PLEINE MARATHON","MARATHON","TOWN OF EAU PLEINE",422,0,0,70,70,0,70,0,0,3,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"539","TOWN OF EAU PLEINE PORTAGE","PORTAGE","TOWN OF EAU PLEINE",594,1,2,132,132,132,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,6,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
"540","TOWN OF EDEN FOND DU LAC","FOND DU LAC","TOWN OF EDEN",681,0,5,101,101,0,101,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","TOWN OF EDEN IOWA","IOWA","TOWN OF EDEN",234,0,3,66,66,16,0,50,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"542","TOWN OF EDGEWATER SAWYER","SAWYER","TOWN OF EDGEWATER",380,0,2,61,61,6,0,55,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"543","TOWN OF EDSON CHIPPEWA","CHIPPEWA","TOWN OF EDSON",477,1,0,48,48,0,32,16,0,3,0,0,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"544","TOWN OF EGG HARBOR DOOR","DOOR","TOWN OF EGG HARBOR",991,4,6,110,110,0,110,0,0,5,0,0,0,0,0,0,0,0,0,7,2,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"545","TOWN OF EILEEN BAYFIELD","BAYFIELD","TOWN OF EILEEN",454,0,4,82,82,0,82,0,0,3,0,0,0,0,1,0,0,0,0,5,3,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"546","TOWN OF EISENSTEIN PRICE","PRICE","TOWN OF EISENSTEIN",431,0,1,59,59,27,0,32,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"547","TOWN OF EL PASO PIERCE","PIERCE","TOWN OF EL PASO",413,0,0,26,26,1,0,25,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"548","TOWN OF ELBA DODGE","DODGE","TOWN OF ELBA",660,1,5,130,130,0,130,0,0,4,0,0,1,0,3,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"549","TOWN OF ELCHO LANGLADE","LANGLADE","TOWN OF ELCHO",853,0,1,111,111,26,0,85,0,5,0,0,1,1,1,0,0,0,0,14,4,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"550","TOWN OF ELDERON MARATHON","MARATHON","TOWN OF ELDERON",362,0,0,41,41,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551","TOWN OF ELDORADO FOND DU LAC","FOND DU LAC","TOWN OF ELDORADO",917,0,1,104,104,0,104,0,0,3,0,0,0,0,3,0,0,0,0,6,0,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"552","TOWN OF ELK GROVE LAFAYETTE","LAFAYETTE","TOWN OF ELK GROVE",234,0,0,23,23,7,0,16,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553","TOWN OF ELK MOUND DUNN","DUNN","TOWN OF ELK MOUND",980,1,2,92,92,0,26,66,0,6,0,0,3,1,2,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"554","TOWN OF ELK PRICE","PRICE","TOWN OF ELK",712,0,2,120,120,40,0,80,0,3,0,0,1,1,1,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"555","TOWN OF ELLENBORO GRANT","GRANT","TOWN OF ELLENBORO",351,0,0,44,44,19,0,25,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"556","TOWN OF ELLINGTON OUTAGAMIE","OUTAGAMIE","TOWN OF ELLINGTON",1768,0,14,207,207,46,0,161,0,3,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"557","TOWN OF ELLSWORTH PIERCE","PIERCE","TOWN OF ELLSWORTH",737,0,4,71,71,4,0,67,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"558","TOWN OF EMERALD ST. CROIX","ST. CROIX","TOWN OF EMERALD",457,0,1,35,35,0,35,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"559","TOWN OF EMERY PRICE","PRICE","TOWN OF EMERY",209,0,0,36,36,12,0,24,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560","TOWN OF EMMET DODGE","DODGE","TOWN OF EMMET",871,0,6,142,142,0,142,0,0,5,0,0,0,0,1,0,0,0,0,3,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"561","TOWN OF EMMET MARATHON","MARATHON","TOWN OF EMMET",555,0,2,74,74,0,74,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"562","TOWN OF EMPIRE FOND DU LAC","FOND DU LAC","TOWN OF EMPIRE",1935,1,5,365,365,0,365,0,0,6,0,0,0,0,2,0,0,0,0,49,3,12,1,36,36,0,0,0,0,0,0,0,0,0,0,0,0
"563","TOWN OF ENTERPRISE ONEIDA","ONEIDA","TOWN OF ENTERPRISE",254,0,3,58,58,48,0,10,0,3,0,0,0,0,2,0,0,0,0,5,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
"564","TOWN OF ERIN PRAIRIE ST. CROIX","ST. CROIX","TOWN OF ERIN PRAIRIE",410,0,1,25,25,0,25,0,0,6,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"565","TOWN OF ERIN WASHINGTON","WASHINGTON","TOWN OF ERIN",2757,2,16,518,518,0,518,0,0,5,0,0,0,0,1,0,0,0,0,33,10,5,0,24,28,0,0,0,0,0,0,0,0,0,0,0,0
"566","TOWN OF ESTELLA CHIPPEWA","CHIPPEWA","TOWN OF ESTELLA",243,0,3,32,32,0,14,18,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"567","TOWN OF ETTRICK TREMPEALEAU","TREMPEALEAU","TOWN OF ETTRICK",784,0,3,132,132,25,0,107,0,5,0,0,0,1,3,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"568","TOWN OF EUREKA POLK","POLK","TOWN OF EUREKA",1003,0,1,45,45,2,0,43,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569","TOWN OF EVERGREEN LANGLADE","LANGLADE","TOWN OF EVERGREEN",341,0,0,27,27,5,0,22,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"570","TOWN OF EVERGREEN WASHBURN","WASHBURN","TOWN OF EVERGREEN",747,1,14,239,239,80,0,159,0,7,0,0,0,0,5,0,0,0,0,14,11,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
"571","TOWN OF EXCELSIOR SAUK","SAUK","TOWN OF EXCELSIOR",1017,0,6,173,173,0,92,81,0,3,0,0,0,0,3,0,0,0,0,5,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"572","TOWN OF EXETER GREEN","GREEN","TOWN OF EXETER",1259,1,10,247,247,0,247,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"573","TOWN OF FAIRBANKS SHAWANO","SHAWANO","TOWN OF FAIRBANKS",374,0,0,39,39,25,0,14,0,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574","TOWN OF FAIRCHILD EAU CLAIRE","EAU CLAIRE","TOWN OF FAIRCHILD",157,0,3,34,34,0,21,13,0,5,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"575","TOWN OF FAIRFIELD SAUK","SAUK","TOWN OF FAIRFIELD",746,0,4,145,145,0,113,32,0,9,0,0,0,0,4,0,0,0,0,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"576","TOWN OF FARMINGTON JEFFERSON","JEFFERSON","TOWN OF FARMINGTON",954,0,13,262,262,259,0,0,3,3,0,0,0,0,3,0,0,0,0,8,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"577","TOWN OF FARMINGTON LA CROSSE","LA CROSSE","TOWN OF FARMINGTON",1190,0,5,175,175,0,175,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"578","TOWN OF FARMINGTON POLK","POLK","TOWN OF FARMINGTON",1147,0,4,67,66,6,0,61,0,6,0,0,0,1,5,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"579","TOWN OF FARMINGTON WASHINGTON","WASHINGTON","TOWN OF FARMINGTON",2409,0,10,445,446,0,445,0,0,12,0,0,0,0,7,0,0,0,0,25,4,2,1,19,22,0,0,0,0,0,0,0,0,0,0,0,0
"580","TOWN OF FARMINGTON WAUPACA","WAUPACA","TOWN OF FARMINGTON",2368,2,5,373,373,206,0,163,0,10,0,0,0,1,4,0,0,0,0,82,4,5,0,78,1,0,0,0,0,0,1,1,0,0,0,0,0
"581","TOWN OF FAYETTE LAFAYETTE","LAFAYETTE","TOWN OF FAYETTE",214,0,0,18,18,2,0,16,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","TOWN OF FENCE FLORENCE","FLORENCE","TOWN OF FENCE",148,0,3,38,38,11,0,27,0,3,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"583","TOWN OF FENNIMORE GRANT","GRANT","TOWN OF FENNIMORE",276,0,276,33,33,7,0,26,0,4,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"584","TOWN OF FERN FLORENCE","FLORENCE","TOWN OF FERN",126,4,1,24,24,5,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
