"","reporting_unit","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"662","CITY-OF-MADISON-WARD-30-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1097,3,24,283,283,0,283,0,0,15,0,0,2,5,4,0,0,0,0,19,7,3,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
"663","CITY-OF-MADISON-WARD-31-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1224,0,28,336,336,0,336,0,0,12,0,0,2,2,6,0,0,0,0,44,0,16,0,27,31,0,0,0,0,0,0,0,0,0,0,0,0
"664","CITY-OF-MADISON-WARD-32-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",780,0,7,189,189,0,189,0,0,16,0,0,1,8,5,0,0,0,0,27,4,0,0,25,27,0,0,0,0,0,0,0,0,0,0,0,0
"665","CITY-OF-MADISON-WARD-33-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",982,2,12,136,136,0,136,0,0,26,3,0,2,3,10,0,0,0,0,19,1,8,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
"666","CITY-OF-MADISON-WARD-34-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",992,1,15,260,260,0,260,0,0,26,3,0,2,3,10,0,0,0,0,26,7,1,0,25,25,0,0,0,0,0,1,1,0,0,0,0,0
"667","CITY-OF-MADISON-WARD-35-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1297,2,18,226,226,0,226,0,0,14,0,1,1,3,8,0,0,0,0,17,4,1,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0
"668","CITY-OF-MADISON-WARD-36-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1285,2,19,367,367,0,367,0,0,14,0,1,1,3,8,0,0,0,0,59,5,11,0,45,50,0,0,0,0,0,0,0,0,0,0,0,0
"669","CITY-OF-MADISON-WARD-37-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1565,0,12,397,397,0,397,0,0,18,2,0,0,3,5,0,0,0,0,30,5,5,0,25,27,0,0,0,0,0,0,0,0,0,0,0,0
"670","CITY-OF-MADISON-WARD-38-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2698,4,37,827,827,0,827,0,0,15,0,0,0,3,7,0,0,0,0,139,19,24,1,106,114,2,0,0,0,0,3,0,1,0,0,0,2
"671","CITY-OF-MADISON-WARD-39-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1710,1,57,525,525,0,525,0,0,12,0,1,0,3,8,2,0,1,1,24,2,5,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0
"672","CITY-OF-MADISON-WARD-4-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",616,0,13,162,162,0,162,0,0,18,2,2,2,6,2,0,0,0,0,7,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"673","CITY-OF-MADISON-WARD-40-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2550,5,0,1043,1043,0,1043,0,0,17,0,0,0,1,5,0,0,0,0,83,37,9,0,74,74,2,0,0,0,0,0,0,0,0,0,0,0
"674","CITY-OF-MADISON-WARD-41-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2737,11,98,977,977,0,977,0,0,12,0,0,0,3,4,0,0,0,0,75,19,11,0,62,67,0,0,0,0,0,1,1,0,0,0,0,0
"675","CITY-OF-MADISON-WARD-42-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",3170,13,115,856,856,0,856,0,0,17,0,0,0,7,9,1,0,1,0,55,23,7,0,45,50,0,0,0,0,0,0,0,0,0,0,0,0
"676","CITY-OF-MADISON-WARD-43-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",483,5,21,99,99,0,99,0,0,16,0,2,1,5,4,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"677","CITY-OF-MADISON-WARD-44-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2007,3,69,548,548,0,548,0,0,16,1,0,0,7,6,0,0,0,0,47,17,5,1,39,41,0,0,0,0,0,0,0,0,0,0,0,0
"678","CITY-OF-MADISON-WARD-45-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",3430,14,2,763,763,0,763,0,0,15,0,0,0,3,7,0,0,0,0,61,34,7,0,53,52,2,0,0,0,0,1,0,0,1,0,1,0
"679","CITY-OF-MADISON-WARD-46-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",3114,7,2,381,381,0,381,0,0,19,0,0,3,5,6,2,0,0,2,25,11,5,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0
"680","CITY-OF-MADISON-WARD-47-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2322,5,63,159,159,0,159,0,0,10,1,0,1,4,3,0,0,0,0,8,3,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"681","CITY-OF-MADISON-WARD-48-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1214,8,22,60,60,0,60,0,0,10,1,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682","CITY-OF-MADISON-WARD-49-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2828,11,83,142,142,0,142,0,0,14,0,2,3,1,6,3,0,0,3,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"683","CITY-OF-MADISON-WARD-5-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1032,1,6,284,284,0,284,0,0,15,1,2,2,2,4,0,0,0,0,30,10,3,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0
"684","CITY-OF-MADISON-WARD-50-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2654,16,77,154,154,0,154,0,0,15,0,0,2,2,11,3,0,0,3,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"685","CITY-OF-MADISON-WARD-51-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1552,4,35,340,340,0,340,0,0,13,0,3,1,2,6,0,0,0,0,57,21,9,0,45,49,0,0,0,0,0,2,1,0,0,1,0,0
"686","CITY-OF-MADISON-WARD-52-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",753,6,22,157,157,0,157,0,0,16,0,2,1,5,4,0,0,0,0,17,6,5,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
"687","CITY-OF-MADISON-WARD-53-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",3296,15,127,662,662,0,662,0,0,11,0,0,0,3,6,0,0,0,0,136,19,28,1,107,110,4,0,0,0,0,0,0,0,0,0,0,0
"688","CITY-OF-MADISON-WARD-54-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",995,4,64,82,82,0,82,0,0,14,1,2,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"689","CITY-OF-MADISON-WARD-55-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",3730,11,78,133,133,0,133,0,0,11,1,0,0,6,4,3,0,0,3,7,4,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"690","CITY-OF-MADISON-WARD-56-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2754,8,97,123,123,0,123,0,0,14,0,3,1,3,5,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"691","CITY-OF-MADISON-WARD-57-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1303,1,21,43,43,0,43,0,0,11,0,1,1,2,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"692","CITY-OF-MADISON-WARD-58-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1374,5,52,79,79,0,79,0,0,13,0,2,3,5,3,0,0,0,0,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"693","CITY-OF-MADISON-WARD-59-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1683,13,118,157,157,0,157,0,0,12,0,3,0,2,3,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"694","CITY-OF-MADISON-WARD-6-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1877,1,34,510,510,0,510,0,0,15,1,2,2,2,4,0,0,0,0,42,7,7,0,34,35,0,0,0,0,0,0,0,0,0,0,0,0
"695","CITY-OF-MADISON-WARD-60-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",775,1,39,116,116,0,116,0,0,10,0,1,2,2,2,0,0,0,0,5,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"696","CITY-OF-MADISON-WARD-61-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2785,2,65,391,391,0,391,0,0,16,0,0,7,6,2,0,0,0,0,36,13,9,0,26,25,1,0,0,0,0,0,0,0,0,0,0,0
"697","CITY-OF-MADISON-WARD-62-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",898,0,11,409,409,0,409,0,0,21,2,2,0,4,10,0,0,0,0,31,12,4,1,24,25,0,0,0,0,0,2,1,0,1,1,0,0
"698","CITY-OF-MADISON-WARD-63-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2127,3,37,418,418,0,418,0,0,12,0,0,0,3,8,0,0,0,0,34,13,3,0,30,32,0,0,0,0,0,0,0,0,0,0,0,0
"699","CITY-OF-MADISON-WARD-64-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1639,0,27,466,466,0,466,0,0,19,0,1,2,4,6,1,0,1,0,39,8,5,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0
"700","CITY-OF-MADISON-WARD-65-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2828,3,1,990,990,0,990,0,0,13,0,1,1,3,7,0,0,0,0,101,41,24,0,83,84,1,0,0,0,0,0,0,0,0,0,0,0
"701","CITY-OF-MADISON-WARD-66-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2939,1,81,537,537,0,537,0,0,15,0,1,3,4,6,1,0,0,1,39,18,7,0,32,33,0,0,0,0,0,0,0,0,0,0,0,0
"702","CITY-OF-MADISON-WARD-67-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1227,4,40,173,173,0,173,0,0,12,0,0,1,7,4,0,0,0,0,11,1,5,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"703","CITY-OF-MADISON-WARD-68-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1292,1,36,277,277,0,277,0,0,12,0,0,0,5,7,1,0,0,1,10,4,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"704","CITY-OF-MADISON-WARD-69-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2047,10,52,600,600,0,600,0,0,16,0,1,2,1,2,0,0,0,0,39,9,12,0,25,27,0,0,0,0,0,0,0,0,0,0,0,0
"705","CITY-OF-MADISON-WARD-7-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1131,1,22,237,237,0,237,0,0,18,2,2,2,6,2,0,0,0,0,38,8,8,0,23,29,0,0,0,0,0,0,0,0,0,0,0,0
"706","CITY-OF-MADISON-WARD-70-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1338,1,17,246,246,0,246,0,0,11,1,0,2,6,2,0,0,0,0,19,9,3,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0
"707","CITY-OF-MADISON-WARD-71-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1662,1,19,277,277,0,277,0,0,11,0,2,0,5,4,0,0,0,0,14,0,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"708","CITY-OF-MADISON-WARD-72-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",662,2,13,143,143,0,143,0,0,12,1,0,1,4,5,0,0,0,0,8,0,1,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0
"709","CITY-OF-MADISON-WARD-73-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",859,4,9,112,112,0,112,0,0,13,0,0,0,7,4,0,0,0,0,7,2,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"710","CITY-OF-MADISON-WARD-74-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",601,0,6,72,72,0,72,0,0,19,0,0,4,2,10,0,0,0,0,12,4,1,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
"711","CITY-OF-MADISON-WARD-75-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1272,1,11,315,315,0,315,0,0,19,0,0,4,2,10,1,0,0,1,27,2,6,3,19,20,0,0,0,0,0,0,0,0,0,0,0,0
"712","CITY-OF-MADISON-WARD-76-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",890,1,13,148,148,0,148,0,0,10,0,0,0,5,3,0,0,0,0,18,4,0,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0
"713","CITY-OF-MADISON-WARD-77-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1890,0,33,565,565,0,565,0,0,16,0,0,0,4,9,0,0,0,0,56,9,10,0,42,47,0,0,0,0,0,0,0,0,0,0,0,0
"714","CITY-OF-MADISON-WARD-78-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2590,2,51,841,841,0,841,0,0,16,0,0,2,12,2,2,0,1,1,61,14,11,0,45,52,0,0,0,0,0,1,1,0,0,0,0,0
"715","CITY-OF-MADISON-WARD-79-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2839,3,39,1068,1068,0,1068,0,0,20,0,0,1,3,11,0,0,0,0,114,33,16,0,93,101,2,0,0,0,0,0,0,0,0,0,0,0
"716","CITY-OF-MADISON-WARD-8-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1819,3,37,323,323,0,323,0,0,18,0,0,3,2,3,0,0,0,0,26,3,6,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0
"717","CITY-OF-MADISON-WARD-80-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",200,1,30,91,91,0,91,0,0,21,1,1,0,5,9,0,0,0,0,9,5,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0
"718","CITY-OF-MADISON-WARD-81-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1722,2,3,621,621,0,621,0,0,21,1,1,0,5,9,2,0,0,2,59,18,10,0,49,52,0,0,0,0,0,0,0,0,0,0,0,0
"719","CITY-OF-MADISON-WARD-82-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1459,1,26,490,490,0,490,0,0,19,0,1,2,4,6,0,0,0,0,33,7,8,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0
"720","CITY-OF-MADISON-WARD-83-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1586,0,22,564,564,0,564,0,0,12,0,0,0,2,6,0,0,0,0,64,15,14,0,51,55,0,0,0,0,0,0,0,0,0,0,0,0
"721","CITY-OF-MADISON-WARD-84-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1954,6,62,487,487,0,487,0,0,20,1,0,0,2,7,0,0,0,0,108,10,29,0,79,87,0,0,0,0,0,0,0,0,0,0,0,0
"722","CITY-OF-MADISON-WARD-85-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1700,1,30,651,651,0,651,0,0,14,0,0,1,1,8,0,0,0,0,79,21,7,0,68,70,1,0,0,0,0,0,0,0,0,0,0,0
"723","CITY-OF-MADISON-WARD-86-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2143,5,22,634,634,0,634,0,0,19,1,0,1,4,7,1,0,0,1,54,20,7,0,46,47,0,0,0,0,0,0,0,0,0,0,0,0
"724","CITY-OF-MADISON-WARD-87-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2179,1,30,685,685,0,685,0,0,15,0,0,2,5,4,0,0,0,0,98,27,17,1,82,86,0,0,0,0,0,0,0,0,0,0,0,0
"725","CITY-OF-MADISON-WARD-88-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2079,2,26,609,609,0,609,0,0,19,0,0,0,1,11,0,0,0,0,75,7,20,0,54,57,0,0,0,0,0,0,0,0,0,0,0,0
"726","CITY-OF-MADISON-WARD-89-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2179,5,40,763,763,0,763,0,0,14,0,0,1,1,8,0,0,0,0,245,18,67,0,179,190,0,0,0,0,0,0,0,0,0,0,0,0
"727","CITY-OF-MADISON-WARD-9-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2009,3,40,478,478,0,478,0,0,16,0,1,1,1,9,0,0,0,0,157,3,34,0,118,120,0,0,0,0,0,0,0,0,0,0,0,0
"728","CITY-OF-MADISON-WARD-90-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",840,1,12,157,157,0,157,0,0,22,0,0,1,3,11,0,0,0,0,51,1,13,0,31,37,1,0,0,0,0,0,0,0,0,0,0,0
"729","CITY-OF-MADISON-WARD-91-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1537,2,30,429,429,0,429,0,0,15,0,0,0,2,9,0,0,0,0,35,8,4,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0
"730","CITY-OF-MADISON-WARD-92-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1293,1,25,325,325,0,325,0,0,19,1,0,3,1,13,0,0,0,0,34,9,5,0,27,29,1,0,0,0,0,0,0,0,0,0,0,0
"731","CITY-OF-MADISON-WARD-93-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",328,2,4,54,54,0,54,0,0,12,0,0,0,3,6,0,0,0,0,3,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"732","CITY-OF-MADISON-WARD-94-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",885,0,10,253,253,0,253,0,0,12,0,0,0,3,6,0,0,0,0,20,1,5,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0
"733","CITY-OF-MADISON-WARD-95-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1893,1,16,507,507,0,507,0,0,19,1,0,3,1,13,0,0,0,0,27,2,3,0,22,23,0,0,0,0,0,0,0,0,0,0,0,0
"734","CITY-OF-MADISON-WARD-96-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",1584,3,20,307,307,0,307,0,0,12,0,0,0,3,4,0,0,0,0,13,3,1,0,11,11,1,0,0,0,0,0,0,0,0,0,0,0
"735","CITY-OF-MADISON-WARD-97-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2292,2,38,340,340,0,340,0,0,13,0,0,1,0,7,0,0,0,0,42,0,18,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0
"736","CITY-OF-MADISON-WARD-98-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",2695,2,31,431,431,0,431,0,0,21,0,0,0,5,6,0,0,0,0,23,2,5,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0
"737","CITY-OF-MADISON-WARD-99-DANE","CITY OF MADISON DANE","DANE","CITY OF MADISON",920,1,17,156,156,0,156,0,0,13,0,2,0,6,5,0,0,0,0,4,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"738","CITY-OF-MANAWA-WARD-1-3-WAUPACA","CITY OF MANAWA WAUPACA","WAUPACA","CITY OF MANAWA",623,1,1,64,64,7,0,57,0,4,0,0,0,0,1,0,0,0,0,5,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"739","CITY-OF-MANITOWOC-WARD-1-2-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1654,1,5,207,207,0,200,7,0,6,0,0,0,1,3,0,0,0,0,32,12,2,1,28,30,0,0,0,0,0,0,0,0,0,0,0,0
"740","CITY-OF-MANITOWOC-WARD-11-12-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",2022,1,9,332,332,0,282,50,0,5,0,0,0,1,2,0,0,0,0,45,12,10,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0
"741","CITY-OF-MANITOWOC-WARD-13-14-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1588,2,3,245,245,0,220,25,0,5,0,0,0,0,0,0,0,0,0,124,7,14,3,108,109,0,0,0,0,0,0,0,0,0,0,0,0
"742","CITY-OF-MANITOWOC-WARD-15-16-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",2204,5,5,362,362,0,282,79,0,5,0,0,0,1,1,0,0,0,0,57,20,8,0,47,49,0,0,0,0,0,0,0,0,0,0,0,0
"743","CITY-OF-MANITOWOC-WARD-17-18-21-23-26-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1652,2,13,203,203,0,147,56,0,5,0,0,0,1,2,0,0,0,0,49,7,4,1,43,45,1,0,0,0,0,0,0,0,0,0,0,0
"744","CITY-OF-MANITOWOC-WARD-19-20-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",2228,4,10,376,376,0,372,4,0,5,0,0,0,0,2,0,0,0,0,70,12,9,5,55,58,0,0,0,0,0,1,1,0,0,0,0,0
"745","CITY-OF-MANITOWOC-WARD-3-4-22-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1736,2,8,253,253,0,182,71,0,5,0,0,0,1,0,0,0,0,0,54,11,5,2,49,50,0,0,0,0,0,0,0,0,0,0,0,0
"746","CITY-OF-MANITOWOC-WARD-5-6-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1671,0,4,241,241,0,184,57,0,5,0,1,0,1,1,0,0,0,0,34,4,10,1,23,23,0,0,0,0,0,1,1,0,0,0,0,0
"747","CITY-OF-MANITOWOC-WARD-7-8-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1138,2,1,91,91,0,68,23,0,5,0,0,0,1,1,0,0,0,0,21,2,5,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0
"748","CITY-OF-MANITOWOC-WARD-9-10-MANITOWOC","CITY OF MANITOWOC MANITOWOC","MANITOWOC","CITY OF MANITOWOC",1719,0,8,216,216,0,179,37,0,5,0,0,0,2,3,0,0,0,0,53,5,3,3,49,50,0,0,0,0,0,0,0,0,0,0,0,0
"749","CITY-OF-MARINETTE-WARD-1-8-MARINETTE","CITY OF MARINETTE MARINETTE","MARINETTE","CITY OF MARINETTE",5275,1,26,639,637,137,0,474,0,11,0,0,0,9,2,0,0,0,0,173,16,32,12,135,2,1,0,0,0,0,0,0,0,0,0,0,0
"750","CITY-OF-MARION-WARD-1-3-WAUPACA","CITY OF MARION WAUPACA","WAUPACA","CITY OF MARION",556,0,1,66,66,7,0,59,0,5,0,0,0,0,2,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"751","CITY-OF-MARION-WARD-4-6-SHAWANO","CITY OF MARION SHAWANO","SHAWANO","CITY OF MARION",5,0,0,1,1,1,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"752","CITY-OF-MARKESAN-WARD-1-3-GREEN-LAKE","CITY OF MARKESAN GREEN LAKE","GREEN LAKE","CITY OF MARKESAN",838,0,1,100,100,28,0,72,0,6,0,0,0,1,0,0,0,0,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"753","CITY-OF-MARSHFIELD-WARD-1-11-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",685,1,2,111,111,0,111,0,0,5,0,0,0,1,2,0,0,0,0,36,2,4,2,30,30,0,0,0,0,0,0,0,0,0,0,0,0
"754","CITY-OF-MARSHFIELD-WARD-10-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",842,1,3,127,127,0,127,0,0,6,0,0,0,2,3,0,0,0,0,35,0,7,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0
"755","CITY-OF-MARSHFIELD-WARD-12-20-21-24-MARATHON","CITY OF MARSHFIELD MARATHON","MARATHON","CITY OF MARSHFIELD",401,5,6,75,75,2,73,0,0,5,0,0,0,1,2,0,0,0,0,24,3,1,5,16,18,0,0,0,0,0,2,0,0,2,2,0,0
"756","CITY-OF-MARSHFIELD-WARD-2-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",746,1,1,127,127,0,127,0,0,5,0,0,0,2,1,0,0,0,0,32,8,2,0,29,28,1,0,0,0,0,0,0,0,0,0,0,0
"757","CITY-OF-MARSHFIELD-WARD-3-13-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",1291,2,7,291,291,0,291,0,0,5,0,0,0,1,3,0,0,0,0,39,15,2,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0
"758","CITY-OF-MARSHFIELD-WARD-4-14-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",1141,0,8,233,233,2,231,0,0,5,0,0,0,1,2,0,0,0,0,37,9,1,3,31,33,0,0,0,0,0,0,0,0,0,0,0,0
"759","CITY-OF-MARSHFIELD-WARD-5-15-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",957,1,5,153,153,3,150,0,6,5,0,0,1,1,1,0,0,0,0,43,4,5,2,32,35,1,0,0,0,0,0,0,0,0,0,0,0
"760","CITY-OF-MARSHFIELD-WARD-6-16-25-26-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",934,1,2,148,148,1,147,0,0,5,0,0,1,1,1,0,0,0,0,19,4,1,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0
"761","CITY-OF-MARSHFIELD-WARD-7-17-27-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",1086,1,7,227,227,1,226,0,0,5,0,0,1,1,2,0,0,0,0,19,5,3,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0
"762","CITY-OF-MARSHFIELD-WARD-8-18-23-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",1135,2,11,213,213,0,213,0,6,5,0,0,1,0,3,0,0,0,0,12,4,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"763","CITY-OF-MARSHFIELD-WARD-9-19-22-WOOD","CITY OF MARSHFIELD WOOD","WOOD","CITY OF MARSHFIELD",936,1,2,136,136,0,136,0,0,5,0,0,1,0,2,0,0,0,0,27,1,3,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
"764","CITY-OF-MAUSTON-WARD-1-7-JUNEAU","CITY OF MAUSTON JUNEAU","JUNEAU","CITY OF MAUSTON",1868,9,5,190,190,0,100,89,0,3,0,0,0,0,1,0,0,0,0,41,4,31,1,33,33,0,0,0,0,0,0,0,0,0,0,0,0
"765","CITY-OF-MAYVILLE-WARD-1-8-DODGE","CITY OF MAYVILLE DODGE","DODGE","CITY OF MAYVILLE",2975,2,12,363,363,0,363,0,0,9,0,1,0,1,5,0,0,0,0,73,4,7,0,66,58,3,0,0,0,0,0,0,0,0,0,0,0
