"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_identification","provisional_no_dl","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"313","TOWN OF BERGEN VERNON","VERNON","TOWN OF BERGEN",895,0,58,790,790,66,0,724,7,0,0,0,0,6,0,0,0,0,62,10,5,0,57,0,59,2,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0
"314","TOWN OF BERLIN GREEN LAKE","GREEN LAKE","TOWN OF BERLIN",781,5,52,680,680,0,406,274,3,0,0,0,0,1,0,0,0,0,64,43,0,0,64,64,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0
"315","TOWN OF BERLIN MARATHON","MARATHON","TOWN OF BERLIN",612,1,40,533,533,0,533,0,5,0,0,0,0,4,0,0,0,0,38,26,0,0,38,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"316","TOWN OF BERN MARATHON","MARATHON","TOWN OF BERN",276,0,17,230,230,0,230,0,4,0,1,0,0,2,0,0,0,0,11,4,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317","TOWN OF BERRY DANE","DANE","TOWN OF BERRY",839,7,41,761,761,0,761,0,12,0,0,0,2,4,0,0,0,0,111,96,0,0,111,111,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"318","TOWN OF BEVENT MARATHON","MARATHON","TOWN OF BEVENT",729,2,48,622,622,0,622,0,6,0,0,0,1,2,0,0,0,0,41,12,2,0,39,39,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,1,0,0
"319","TOWN OF BIG BEND RUSK","RUSK","TOWN OF BIG BEND",281,0,26,267,267,79,0,188,4,0,0,0,0,3,0,0,0,0,38,24,1,0,38,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"320","TOWN OF BIG FALLS RUSK","RUSK","TOWN OF BIG FALLS",91,0,1,83,83,28,0,55,4,0,0,0,0,0,0,0,0,0,10,4,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"321","TOWN OF BIG FLATS ADAMS","ADAMS","TOWN OF BIG FLATS",570,0,76,493,493,54,0,439,2,0,0,0,0,5,0,0,0,0,35,34,1,0,34,34,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"322","TOWN OF BIRCH CREEK CHIPPEWA","CHIPPEWA","TOWN OF BIRCH CREEK",355,1,22,315,315,0,59,256,4,0,0,0,0,3,0,0,0,0,32,18,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"323","TOWN OF BIRCH LINCOLN","LINCOLN","TOWN OF BIRCH",280,2,24,250,250,250,0,0,3,0,0,0,0,0,0,0,0,0,9,5,0,0,10,10,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"324","TOWN OF BIRCHWOOD WASHBURN","WASHBURN","TOWN OF BIRCHWOOD",441,4,37,406,406,105,0,301,6,0,0,0,1,4,0,0,0,0,80,41,2,0,78,76,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
"325","TOWN OF BIRNAMWOOD SHAWANO","SHAWANO","TOWN OF BIRNAMWOOD",426,3,26,357,357,0,354,3,3,0,0,0,1,1,0,0,0,0,21,6,0,0,21,21,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"326","TOWN OF BLACK BROOK POLK","POLK","TOWN OF BLACK BROOK",808,3,108,735,735,111,0,624,9,0,0,0,5,2,3,0,1,1,44,9,2,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"327","TOWN OF BLACK CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF BLACK CREEK",758,10,65,689,690,100,0,589,16,0,1,1,5,6,0,0,0,0,57,40,0,0,57,57,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0
"328","TOWN OF BLACK EARTH DANE","DANE","TOWN OF BLACK EARTH",371,3,18,332,332,332,0,0,9,0,0,0,2,4,0,0,0,0,46,21,1,1,45,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"329","TOWN OF BLACK WOLF WINNEBAGO","WINNEBAGO","TOWN OF BLACK WOLF",1807,0,118,1617,1617,1617,0,0,13,1,0,1,4,4,0,0,0,0,411,324,1,1,80,80,0,5,0,0,0,0,2,0,0,1,1,0,1,5,0,0,5,5,0,0
"330","TOWN OF BLACKWELL FOREST","FOREST","TOWN OF BLACKWELL",119,1,10,59,59,6,0,53,5,0,0,1,0,3,0,0,0,0,7,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"331","TOWN OF BLAINE BURNETT","BURNETT","TOWN OF BLAINE",125,0,9,102,102,4,0,98,5,0,0,0,1,3,0,0,0,0,4,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","TOWN OF BLANCHARD LAFAYETTE","LAFAYETTE","TOWN OF BLANCHARD",184,0,18,168,168,60,0,108,8,0,0,0,7,0,0,0,0,0,9,3,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"333","TOWN OF BLOOM RICHLAND","RICHLAND","TOWN OF BLOOM",275,0,20,239,239,45,0,194,3,0,0,0,0,1,0,0,0,0,12,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","TOWN OF BLOOMER CHIPPEWA","CHIPPEWA","TOWN OF BLOOMER",634,2,57,559,559,0,477,82,6,0,0,0,1,3,0,0,0,0,38,7,1,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0
"335","TOWN OF BLOOMFIELD WALWORTH","WALWORTH","TOWN OF BLOOMFIELD",814,20,101,691,691,0,691,0,14,0,2,3,4,2,0,0,0,0,208,166,0,4,196,196,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"336","TOWN OF BLOOMFIELD WAUSHARA","WAUSHARA","TOWN OF BLOOMFIELD",615,4,67,567,567,57,0,510,12,0,0,0,2,4,0,0,0,0,51,15,2,0,49,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"337","TOWN OF BLOOMING GROVE DANE","DANE","TOWN OF BLOOMING GROVE",1219,16,91,1028,1028,1,1027,0,12,0,0,0,4,5,1,0,1,0,255,219,0,1,253,253,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0
"338","TOWN OF BLOOMINGTON GRANT","GRANT","TOWN OF BLOOMINGTON",231,0,7,207,207,15,0,192,5,0,0,0,5,0,0,0,0,0,13,8,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"339","TOWN OF BLUE MOUNDS DANE","DANE","TOWN OF BLUE MOUNDS",681,7,40,604,604,0,604,0,18,3,0,0,1,10,0,0,0,0,174,140,2,1,171,171,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0
"340","TOWN OF BONE LAKE POLK","POLK","TOWN OF BONE LAKE",460,3,39,401,401,36,0,365,7,0,0,0,1,6,0,0,0,0,29,29,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341","TOWN OF BOSCOBEL GRANT","GRANT","TOWN OF BOSCOBEL",231,0,17,184,184,27,0,157,4,0,0,0,0,3,0,0,0,0,14,3,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"342","TOWN OF BOULDER JUNCTION VILAS","VILAS","TOWN OF BOULDER JUNCTION",819,5,25,697,697,0,697,0,11,0,0,0,2,3,0,0,0,0,186,135,0,0,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
"343","TOWN OF BOVINA OUTAGAMIE","OUTAGAMIE","TOWN OF BOVINA",748,4,62,636,636,72,0,564,7,0,0,0,0,3,0,0,0,0,50,21,1,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","TOWN OF BRADFORD ROCK","ROCK","TOWN OF BRADFORD",585,2,47,534,534,0,534,0,9,0,0,0,4,3,0,0,0,0,31,0,0,31,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"345","TOWN OF BRADLEY LINCOLN","LINCOLN","TOWN OF BRADLEY",1726,15,102,1470,1470,0,1470,0,10,0,0,0,0,5,0,0,0,0,284,221,0,0,282,282,0,2,0,0,0,0,2,0,0,2,2,0,0,1,0,0,0,0,0,1
"346","TOWN OF BRAZEAU OCONTO","OCONTO","TOWN OF BRAZEAU",916,10,66,811,812,145,0,667,7,0,0,0,1,3,0,0,0,0,145,82,0,0,145,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"347","TOWN OF BREED OCONTO","OCONTO","TOWN OF BREED",439,0,47,370,370,26,0,229,3,0,0,0,2,4,0,0,0,0,25,18,0,0,25,25,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"348","TOWN OF BRIDGE CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF BRIDGE CREEK",725,0,77,608,608,0,466,142,5,0,0,0,0,5,0,0,0,0,57,45,0,0,57,57,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"349","TOWN OF BRIDGEPORT CRAWFORD","CRAWFORD","TOWN OF BRIDGEPORT",680,15,47,553,554,49,0,504,4,0,0,0,0,2,0,0,0,0,44,36,0,0,44,44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"350","TOWN OF BRIGHAM IOWA","IOWA","TOWN OF BRIGHAM",707,17,41,638,638,0,638,0,17,0,0,1,2,6,0,0,0,0,125,96,0,0,123,121,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","TOWN OF BRIGHTON KENOSHA","KENOSHA","TOWN OF BRIGHTON",1021,27,92,894,894,0,894,0,8,0,0,0,3,3,0,0,0,0,173,133,0,0,173,172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352","TOWN OF BRIGHTON MARATHON","MARATHON","TOWN OF BRIGHTON",293,0,34,249,249,0,249,0,3,0,0,0,0,3,0,0,0,0,16,14,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"353","TOWN OF BRILLION CALUMET","CALUMET","TOWN OF BRILLION",911,3,114,831,831,0,818,13,9,0,0,0,3,3,0,0,0,0,38,21,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,1,0,1,1,0,0
"354","TOWN OF BRISTOL DANE","DANE","TOWN OF BRISTOL",2727,64,182,2429,2429,0,2426,0,11,0,0,0,1,8,0,0,0,0,717,658,8,0,51,51,0,0,0,0,0,0,7,3,0,4,4,0,0,2,0,0,2,2,0,0
"355","TOWN OF BROCKWAY JACKSON","JACKSON","TOWN OF BROCKWAY",1002,22,137,828,828,123,0,705,5,0,0,0,2,3,0,0,0,0,95,81,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"356","TOWN OF BROOKFIELD WAUKESHA","WAUKESHA","TOWN OF BROOKFIELD",4531,106,304,4027,4029,2,4025,0,23,0,0,0,6,7,2,0,2,0,1342,978,21,0,1327,1326,1,0,0,0,0,0,4,1,0,3,3,0,0,3,2,0,1,1,0,0
"357","TOWN OF BROOKLYN GREEN","GREEN","TOWN OF BROOKLYN",776,1,37,679,679,0,679,0,5,0,0,0,0,0,0,0,0,0,62,35,0,0,62,62,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0
"358","TOWN OF BROOKLYN GREEN LAKE","GREEN LAKE","TOWN OF BROOKLYN",1304,0,82,1148,1148,0,358,790,19,0,0,0,3,12,0,0,0,0,159,90,158,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"359","TOWN OF BROOKLYN WASHBURN","WASHBURN","TOWN OF BROOKLYN",191,0,16,166,166,24,0,142,3,0,0,0,1,1,0,0,0,0,17,4,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360","TOWN OF BROTHERTOWN CALUMET","CALUMET","TOWN OF BROTHERTOWN",860,2,64,741,741,0,605,136,7,0,0,0,0,4,0,0,0,0,35,9,2,0,33,32,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"361","TOWN OF BROWNING TAYLOR","TAYLOR","TOWN OF BROWNING",477,2,56,425,425,46,0,379,6,0,0,0,0,1,0,0,0,0,40,10,2,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"362","TOWN OF BRULE DOUGLAS","DOUGLAS","TOWN OF BRULE",460,0,39,378,378,0,378,0,5,0,0,0,2,1,0,0,0,0,21,6,1,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"363","TOWN OF BRUNSWICK EAU CLAIRE","EAU CLAIRE","TOWN OF BRUNSWICK",1179,7,105,1062,1062,0,925,137,14,0,0,0,1,13,0,0,0,0,101,41,1,0,100,98,2,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
"364","TOWN OF BRUSSELS DOOR","DOOR","TOWN OF BRUSSELS",677,0,60,612,612,612,0,0,5,0,0,0,1,2,0,0,0,0,42,16,1,0,41,40,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"365","TOWN OF BUCHANAN OUTAGAMIE","OUTAGAMIE","TOWN OF BUCHANAN",4321,160,328,3954,3954,0,3954,0,15,0,0,0,7,5,0,0,0,0,2054,1880,8,4,2044,2040,3,3,0,0,0,0,9,1,0,7,7,0,0,5,1,0,4,4,0,0
"366","TOWN OF BUENA VISTA PORTAGE","PORTAGE","TOWN OF BUENA VISTA",741,1,42,666,666,0,666,0,5,0,0,0,3,1,0,0,0,0,43,15,1,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367","TOWN OF BUENA VISTA RICHLAND","RICHLAND","TOWN OF BUENA VISTA",935,0,93,770,770,110,0,660,16,0,0,0,2,8,0,0,0,0,57,35,0,1,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"368","TOWN OF BUFFALO BUFFALO","BUFFALO","TOWN OF BUFFALO",493,8,38,404,404,124,0,281,8,0,0,0,1,2,0,2,0,0,11,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","TOWN OF BUFFALO MARQUETTE","MARQUETTE","TOWN OF BUFFALO",685,3,48,580,580,80,0,500,10,0,0,0,4,2,0,0,0,0,66,44,1,0,65,65,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"370","TOWN OF BURKE DANE","DANE","TOWN OF BURKE",2200,48,117,1958,1959,0,1958,0,18,0,0,0,0,14,0,0,0,0,551,502,3,0,547,547,0,1,0,0,0,0,7,0,0,6,6,0,1,0,0,0,0,0,0,0
"371","TOWN OF BURLINGTON RACINE","RACINE","TOWN OF BURLINGTON",3927,56,400,3500,3500,0,3498,2,25,4,0,0,0,0,0,0,0,0,750,632,10,2,679,679,0,0,0,0,0,0,3,0,0,3,3,0,0,2,2,0,0,0,0,0
"372","TOWN OF BURNETT DODGE","DODGE","TOWN OF BURNETT",609,1,43,524,524,0,524,0,6,0,0,0,0,3,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
"373","TOWN OF BURNS LA CROSSE","LA CROSSE","TOWN OF BURNS",628,7,51,527,527,0,527,0,7,0,0,0,1,6,0,0,0,0,31,15,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"374","TOWN OF BURNSIDE TREMPEALEAU","TREMPEALEAU","TOWN OF BURNSIDE",258,0,19,0,207,72,0,135,8,0,0,1,2,3,0,0,0,0,14,5,3,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"375","TOWN OF BUTLER CLARK","CLARK","TOWN OF BUTLER",51,0,8,51,51,19,0,32,5,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"376","TOWN OF BYRON FOND DU LAC","FOND DU LAC","TOWN OF BYRON",1114,4,85,978,978,0,978,0,9,0,0,0,2,4,0,0,0,0,76,0,0,0,76,76,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
"377","TOWN OF BYRON MONROE","MONROE","TOWN OF BYRON",666,0,122,604,604,335,0,269,11,0,0,1,1,4,0,0,0,0,27,20,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"378","TOWN OF CABLE BAYFIELD","BAYFIELD","TOWN OF CABLE",601,6,55,516,516,0,516,0,9,0,0,0,5,4,0,0,0,0,63,29,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"379","TOWN OF CADIZ GREEN","GREEN","TOWN OF CADIZ",506,2,39,453,453,0,453,0,4,0,0,0,0,0,0,0,0,0,30,13,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"380","TOWN OF CADY ST. CROIX","ST. CROIX","TOWN OF CADY",541,3,44,474,474,0,468,0,10,0,2,0,4,1,0,0,0,0,33,10,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"381","TOWN OF CALAMUS DODGE","DODGE","TOWN OF CALAMUS",609,1,45,513,513,0,513,0,5,0,0,1,1,2,0,0,0,0,31,13,0,0,31,31,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"382","TOWN OF CALEDONIA COLUMBIA","COLUMBIA","TOWN OF CALEDONIA",955,4,96,881,881,0,881,0,17,0,0,0,1,6,7,0,4,0,99,59,2,0,97,97,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"383","TOWN OF CALEDONIA WAUPACA","WAUPACA","TOWN OF CALEDONIA",1098,12,106,974,975,5,694,276,8,0,0,0,0,5,0,0,0,0,95,71,1,0,94,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"384","TOWN OF CALUMET FOND DU LAC","FOND DU LAC","TOWN OF CALUMET",939,0,77,856,856,0,856,0,6,0,0,0,4,2,0,0,0,0,80,16,0,0,80,80,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
"385","TOWN OF CAMERON WOOD","WOOD","TOWN OF CAMERON",315,1,37,294,294,0,294,0,7,0,0,0,3,1,0,0,0,0,14,5,1,0,13,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"386","TOWN OF CAMPBELL LA CROSSE","LA CROSSE","TOWN OF CAMPBELL",2966,80,242,2483,2483,0,2483,0,11,0,0,0,3,7,0,0,0,0,1388,1292,3,2,1383,1382,1,0,0,0,0,0,5,1,0,3,3,0,1,1,0,0,1,1,0,0
"387","TOWN OF CANTON BUFFALO","BUFFALO","TOWN OF CANTON",168,0,10,143,143,8,0,135,4,0,0,0,0,0,0,0,0,0,11,1,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"388","TOWN OF CAREY IRON","IRON","TOWN OF CAREY",118,1,10,100,100,18,0,82,6,0,0,0,0,4,0,0,0,0,11,2,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"389","TOWN OF CARLTON KEWAUNEE","KEWAUNEE","TOWN OF CARLTON",657,0,56,586,586,0,437,149,3,0,0,0,1,2,0,0,0,0,25,19,0,0,23,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"390","TOWN OF CARSON PORTAGE","PORTAGE","TOWN OF CARSON",891,3,73,827,827,827,0,0,5,0,0,0,0,0,0,0,0,0,88,0,2,0,86,0,85,1,0,0,0,0,7,7,0,7,7,0,0,1,0,0,1,1,0,0
"391","TOWN OF CARY WOOD","WOOD","TOWN OF CARY",256,0,26,245,245,0,245,0,5,0,0,0,0,3,0,0,0,0,17,11,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"392","TOWN OF CASCO KEWAUNEE","KEWAUNEE","TOWN OF CASCO",727,4,37,628,628,0,574,54,3,0,0,0,0,2,0,0,0,0,47,14,0,0,46,45,1,1,0,0,0,0,2,0,0,2,1,1,0,1,0,0,0,0,0,1
"393","TOWN OF CASEY WASHBURN","WASHBURN","TOWN OF CASEY",324,6,21,277,277,100,0,177,9,0,0,0,1,5,0,0,0,0,38,12,1,0,37,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"394","TOWN OF CASSEL MARATHON","MARATHON","TOWN OF CASSEL",575,0,64,542,542,0,542,0,8,0,0,0,3,3,0,0,0,0,48,32,0,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"395","TOWN OF CASSIAN ONEIDA","ONEIDA","TOWN OF CASSIAN",781,7,53,689,689,0,689,0,5,0,0,0,0,0,0,0,0,0,98,55,7,1,92,0,83,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396","TOWN OF CASSVILLE GRANT","GRANT","TOWN OF CASSVILLE",246,0,15,191,191,14,0,178,3,0,0,0,1,1,0,0,0,0,11,9,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"397","TOWN OF CASTLE ROCK GRANT","GRANT","TOWN OF CASTLE ROCK",161,2,16,147,147,23,0,124,6,0,0,0,0,5,0,0,0,0,5,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"398","TOWN OF CASWELL FOREST","FOREST","TOWN OF CASWELL",67,2,0,47,47,8,0,39,3,0,0,1,1,2,0,0,0,0,4,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"399","TOWN OF CATAWBA PRICE","PRICE","TOWN OF CATAWBA",162,1,8,137,137,79,0,58,3,0,0,0,1,1,0,0,0,0,18,11,0,0,18,18,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"400","TOWN OF CATO MANITOWOC","MANITOWOC","TOWN OF CATO",1075,4,86,907,907,907,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"401","TOWN OF CEDAR LAKE BARRON","BARRON","TOWN OF CEDAR LAKE",804,10,51,705,705,0,230,475,11,0,0,0,2,9,0,0,0,0,105,10,0,0,105,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"402","TOWN OF CEDAR RAPIDS RUSK","RUSK","TOWN OF CEDAR RAPIDS",23,0,4,26,26,14,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"403","TOWN OF CEDARBURG OZAUKEE","OZAUKEE","TOWN OF CEDARBURG",4564,82,197,4068,4068,4068,0,0,60,0,0,2,16,20,0,0,0,0,1441,1256,12,0,1425,1424,1,5,0,0,0,0,9,1,0,8,8,0,0,5,0,0,5,5,0,0
"404","TOWN OF CENTER OUTAGAMIE","OUTAGAMIE","TOWN OF CENTER",1204,44,153,2152,2152,0,1849,303,17,0,0,0,1,12,0,0,0,0,550,456,4,0,553,553,0,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"405","TOWN OF CENTER ROCK","ROCK","TOWN OF CENTER",758,7,36,651,651,0,651,0,9,0,0,0,3,3,0,0,0,0,52,26,1,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0
"406","TOWN OF CENTERVILLE MANITOWOC","MANITOWOC","TOWN OF CENTERVILLE",426,3,51,402,402,401,0,0,9,0,0,0,1,3,0,0,0,0,44,14,1,0,43,43,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"407","TOWN OF CHARLESTOWN CALUMET","CALUMET","TOWN OF CHARLESTOWN",503,0,39,466,466,0,426,40,5,0,0,0,0,4,0,0,0,0,21,17,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"408","TOWN OF CHASE OCONTO","OCONTO","TOWN OF CHASE",1823,28,177,1600,1600,0,315,1285,19,0,0,0,4,7,0,0,0,0,284,209,3,0,280,280,0,1,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0
"409","TOWN OF CHELSEA TAYLOR","TAYLOR","TOWN OF CHELSEA",436,3,39,381,381,89,0,292,7,0,0,0,0,4,0,0,0,0,32,15,1,0,30,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"410","TOWN OF CHESTER DODGE","DODGE","TOWN OF CHESTER",434,0,42,377,377,0,377,0,10,0,0,0,1,8,1,0,0,1,12,2,0,0,12,12,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"411","TOWN OF CHETEK BARRON","BARRON","TOWN OF CHETEK",1211,24,112,1067,1068,148,0,919,10,0,0,0,1,9,0,0,0,0,126,101,3,1,126,126,1,0,1,0,1,0,3,2,0,1,1,0,0,1,0,0,1,1,0,0
"412","TOWN OF CHICOG WASHBURN","WASHBURN","TOWN OF CHICOG",212,1,19,179,179,37,0,142,8,0,0,0,2,3,0,0,0,0,21,10,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"413","TOWN OF CHILTON CALUMET","CALUMET","TOWN OF CHILTON",696,4,62,648,648,0,648,0,11,0,0,0,0,9,0,0,0,0,35,25,1,0,34,34,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"414","TOWN OF CHIMNEY ROCK TREMPEALEAU","TREMPEALEAU","TOWN OF CHIMNEY ROCK",162,0,21,149,149,27,0,122,3,0,0,0,1,1,0,0,0,0,14,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"415","TOWN OF CHIPPEWA ASHLAND","ASHLAND","TOWN OF CHIPPEWA",234,0,29,214,214,140,0,0,3,0,0,0,1,1,0,0,0,0,14,10,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416","TOWN OF CHRISTIANA DANE","DANE","TOWN OF CHRISTIANA",839,6,63,729,729,729,729,0,9,0,0,0,1,4,0,0,0,0,107,99,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
