"","muni_county","county","municipality","registrants","late_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","x71","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"403","TOWN OF CASSIAN ONEIDA","ONEIDA","TOWN OF CASSIAN",786,2,705,705,0,705,0,0,3,0,0,0,1,2,0,75,0,1,0,73,73,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"404","TOWN OF CASSVILLE GRANT","GRANT","TOWN OF CASSVILLE",252,0,198,198,21,0,176,0,3,0,0,0,1,2,0,6,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"405","TOWN OF CASTLE ROCK GRANT","GRANT","TOWN OF CASTLE ROCK",151,0,136,136,25,0,111,0,5,0,0,0,0,4,1,5,2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"406","TOWN OF CASWELL FOREST","FOREST","TOWN OF CASWELL",64,0,53,53,12,0,41,0,3,0,0,1,2,0,0,9,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"407","TOWN OF CATAWBA PRICE","PRICE","TOWN OF CATAWBA",162,3,139,139,75,0,64,0,3,0,0,0,0,2,1,17,3,1,0,16,16,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"408","TOWN OF CATO MANITOWOC","MANITOWOC","TOWN OF CATO",1058,0,955,955,955,0,0,0,7,0,0,0,3,0,4,68,68,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"409","TOWN OF CEDAR LAKE BARRON","BARRON","TOWN OF CEDAR LAKE",733,5,648,648,0,272,377,0,7,0,0,0,2,5,0,85,0,1,0,84,84,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"410","TOWN OF CEDAR RAPIDS RUSK","RUSK","TOWN OF CEDAR RAPIDS",25,1,24,24,14,0,10,0,3,0,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411","TOWN OF CEDARBURG OZAUKEE","OZAUKEE","TOWN OF CEDARBURG",4547,70,4103,4103,0,4103,0,0,38,0,0,4,8,17,9,1420,1085,25,4,1374,1389,1,1,0,0,0,0,4,1,0,3,3,0,0,4,0,0,4,4,0,0
"412","TOWN OF CENTER OUTAGAMIE","OUTAGAMIE","TOWN OF CENTER",2354,23,2100,2100,0,1761,339,0,22,0,0,0,6,12,4,425,291,2,0,423,421,2,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,1,1,0,0
"413","TOWN OF CENTER ROCK","ROCK","TOWN OF CENTER",765,6,662,662,0,662,0,13,9,0,0,0,0,2,7,54,25,0,0,54,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"414","TOWN OF CENTERVILLE MANITOWOC","MANITOWOC","TOWN OF CENTERVILLE",435,0,381,381,378,0,0,1,7,0,0,0,2,0,5,36,21,1,0,32,35,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0
"415","TOWN OF CHARLESTOWN CALUMET","CALUMET","TOWN OF CHARLESTOWN",511,4,468,468,280,0,188,0,5,0,0,0,0,4,1,29,18,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"416","TOWN OF CHASE OCONTO","OCONTO","TOWN OF CHASE",1750,19,1596,1596,269,0,1327,0,17,0,0,0,3,9,5,267,167,1,0,265,266,0,0,0,0,0,0,5,2,0,2,3,0,0,0,0,0,0,0,0,0
"417","TOWN OF CHELSEA TAYLOR","TAYLOR","TOWN OF CHELSEA",427,1,382,382,103,0,279,0,6,0,0,0,0,0,6,38,12,0,0,38,38,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,1,1,0,0
"418","TOWN OF CHESTER DODGE","DODGE","TOWN OF CHESTER",433,0,385,385,0,385,0,0,6,0,0,1,4,1,0,22,5,0,0,22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"419","TOWN OF CHETEK BARRON","BARRON","TOWN OF CHETEK",1173,5,1050,1050,181,0,869,0,7,0,0,0,0,6,1,143,1,0,0,142,142,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"420","TOWN OF CHICOG WASHBURN","WASHBURN","TOWN OF CHICOG",199,2,186,186,54,0,132,0,5,0,0,0,3,1,1,14,3,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"421","TOWN OF CHILTON CALUMET","CALUMET","TOWN OF CHILTON",737,9,627,627,0,625,2,0,11,0,0,0,1,8,2,77,42,0,0,77,77,0,0,1,1,0,0,3,1,0,2,2,0,0,1,1,0,0,0,0,0
"422","TOWN OF CHIMNEY ROCK TREMPEALEAU","TREMPEALEAU","TOWN OF CHIMNEY ROCK",150,0,131,131,18,0,113,0,3,0,0,0,1,1,1,10,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"423","TOWN OF CHIPPEWA ASHLAND","ASHLAND","TOWN OF CHIPPEWA",229,2,225,225,141,0,0,84,3,0,0,0,1,1,1,7,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"424","TOWN OF CHRISTIANA DANE","DANE","TOWN OF CHRISTIANA",817,7,758,758,0,758,0,0,9,0,0,0,3,3,3,83,54,1,0,82,82,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0
"425","TOWN OF CHRISTIANA VERNON","VERNON","TOWN OF CHRISTIANA",572,6,491,491,30,0,461,0,5,0,0,0,2,2,1,30,18,2,0,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"426","TOWN OF CICERO OUTAGAMIE","OUTAGAMIE","TOWN OF CICERO",643,6,558,558,199,0,359,0,12,0,0,1,8,2,1,58,25,3,0,58,58,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"427","TOWN OF CITY POINT JACKSON","JACKSON","TOWN OF CITY POINT",130,0,110,110,18,0,86,0,3,0,0,0,3,0,0,6,6,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"428","TOWN OF CLAM FALLS POLK","POLK","TOWN OF CLAM FALLS",338,0,293,293,128,0,165,0,5,0,0,0,3,1,1,14,1,2,0,12,12,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"429","TOWN OF CLARNO GREEN","GREEN","TOWN OF CLARNO",702,6,623,623,0,623,0,0,3,0,0,0,0,0,0,39,9,1,0,38,39,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"430","TOWN OF CLAY BANKS DOOR","DOOR","TOWN OF CLAY BANKS",299,2,253,253,0,185,68,0,6,0,0,1,2,2,1,28,11,0,0,28,28,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"431","TOWN OF CLAYTON CRAWFORD","CRAWFORD","TOWN OF CLAYTON",542,3,479,479,190,0,289,0,7,0,0,0,0,7,0,44,0,1,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432","TOWN OF CLAYTON POLK","POLK","TOWN OF CLAYTON",586,209,495,495,43,0,452,0,9,0,0,0,3,3,3,32,5,2,0,30,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"433","TOWN OF CLAYTON WINNEBAGO","WINNEBAGO","TOWN OF CLAYTON",2812,63,2398,2392,2392,2392,0,0,25,0,0,1,4,12,8,1586,1046,16,0,1563,6,1,1,0,0,0,0,7,3,0,4,4,0,0,3,0,0,3,3,0,0
"434","TOWN OF CLEAR CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF CLEAR CREEK",481,0,425,425,0,313,112,0,6,0,0,0,2,0,4,14,4,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"435","TOWN OF CLEAR LAKE POLK","POLK","TOWN OF CLEAR LAKE",479,1,422,422,31,0,391,0,8,0,0,0,5,2,1,29,9,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"436","TOWN OF CLEARFIELD JUNEAU","JUNEAU","TOWN OF CLEARFIELD",448,0,382,382,188,0,194,0,10,0,0,2,0,6,2,29,6,0,0,27,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"437","TOWN OF CLEVELAND CHIPPEWA","CHIPPEWA","TOWN OF CLEVELAND",508,2,413,413,0,411,2,0,7,0,0,1,3,2,1,31,7,0,0,29,31,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
"438","TOWN OF CLEVELAND JACKSON","JACKSON","TOWN OF CLEVELAND",284,1,234,234,25,0,109,0,5,0,0,0,3,1,1,13,5,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"439","TOWN OF CLEVELAND MARATHON","MARATHON","TOWN OF CLEVELAND",854,1,729,729,0,728,0,1,5,0,0,0,1,2,2,49,27,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
"440","TOWN OF CLEVELAND TAYLOR","TAYLOR","TOWN OF CLEVELAND",142,0,122,122,24,0,98,0,3,0,0,0,0,3,0,12,2,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"441","TOWN OF CLIFTON GRANT","GRANT","TOWN OF CLIFTON",180,0,152,152,19,0,133,0,6,0,0,0,3,2,1,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442","TOWN OF CLIFTON MONROE","MONROE","TOWN OF CLIFTON",258,3,226,226,49,0,177,0,5,0,1,0,1,0,3,17,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"443","TOWN OF CLIFTON PIERCE","PIERCE","TOWN OF CLIFTON",1430,2,1251,1251,82,1169,0,0,6,0,0,0,2,2,2,143,3,10,2,128,3,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"444","TOWN OF CLINTON BARRON","BARRON","TOWN OF CLINTON",413,3,356,356,70,0,286,0,7,0,0,0,2,5,0,26,0,1,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"445","TOWN OF CLINTON ROCK","ROCK","TOWN OF CLINTON",586,5,529,529,0,529,0,0,7,0,0,0,0,2,5,27,16,0,0,27,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"446","TOWN OF CLINTON VERNON","VERNON","TOWN OF CLINTON",307,0,247,247,35,0,212,0,7,0,0,1,2,4,0,12,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"447","TOWN OF CLOVER BAYFIELD","BAYFIELD","TOWN OF CLOVER",198,0,179,179,0,179,0,1,5,0,0,0,1,3,1,25,10,1,0,24,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"448","TOWN OF CLOVERLAND DOUGLAS","DOUGLAS","TOWN OF CLOVERLAND",164,0,131,131,0,131,0,0,3,0,0,0,3,0,0,12,9,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"449","TOWN OF CLOVERLAND VILAS","VILAS","TOWN OF CLOVERLAND",795,10,724,724,0,724,0,0,5,0,0,0,1,0,4,99,27,0,0,99,99,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"450","TOWN OF CLYDE IOWA","IOWA","TOWN OF CLYDE",214,0,188,188,14,0,174,0,3,0,0,0,0,2,1,14,3,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"451","TOWN OF CLYMAN DODGE","DODGE","TOWN OF CLYMAN",516,3,439,438,0,439,0,0,6,0,0,0,1,0,5,37,22,1,0,36,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"452","TOWN OF COLBURN ADAMS","ADAMS","TOWN OF COLBURN",160,1,125,118,8,0,117,0,3,0,0,0,0,2,1,6,0,0,0,6,6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"453","TOWN OF COLBURN CHIPPEWA","CHIPPEWA","TOWN OF COLBURN",485,0,407,407,0,163,244,0,8,0,0,0,3,4,1,5,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"454","TOWN OF COLBY CLARK","CLARK","TOWN OF COLBY",326,0,273,273,0,273,0,0,5,0,0,0,0,0,5,25,14,2,0,24,24,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"455","TOWN OF COLD SPRING JEFFERSON","JEFFERSON","TOWN OF COLD SPRING",497,8,474,474,0,473,0,1,12,0,0,0,4,3,5,30,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456","TOWN OF COLFAX DUNN","DUNN","TOWN OF COLFAX",671,5,606,606,55,0,551,0,10,0,0,0,1,8,1,45,16,3,0,42,42,0,1,0,0,0,0,3,0,0,3,3,0,0,3,1,0,2,2,0,1
"457","TOWN OF COLOMA WAUSHARA","WAUSHARA","TOWN OF COLOMA",433,0,381,381,40,341,0,0,3,0,0,0,1,2,0,41,19,0,0,41,40,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"458","TOWN OF COLUMBUS COLUMBIA","COLUMBIA","TOWN OF COLUMBUS",414,0,377,377,0,377,0,0,5,0,0,1,0,1,3,20,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"459","TOWN OF COMMONWEALTH FLORENCE","FLORENCE","TOWN OF COMMONWEALTH",292,0,225,225,18,0,207,0,5,0,0,0,0,2,3,17,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"460","TOWN OF CONCORD JEFFERSON","JEFFERSON","TOWN OF CONCORD",1392,7,1259,1259,0,1259,0,0,6,0,0,0,0,1,5,161,96,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"461","TOWN OF CONOVER VILAS","VILAS","TOWN OF CONOVER",917,0,820,820,0,820,0,0,5,0,0,0,0,0,5,138,63,0,2,138,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"462","TOWN OF COOKS VALLEY CHIPPEWA","CHIPPEWA","TOWN OF COOKS VALLEY",469,5,391,391,1,207,183,0,7,0,0,0,1,5,1,42,17,1,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"463","TOWN OF COON VERNON","VERNON","TOWN OF COON",491,0,432,432,52,0,380,0,5,0,0,0,2,2,1,51,19,0,0,49,3,0,3,0,0,0,0,1,0,0,1,0,0,0,3,0,0,2,1,0,0
"464","TOWN OF COOPERSTOWN MANITOWOC","MANITOWOC","TOWN OF COOPERSTOWN",864,3,769,769,1,768,0,7,7,0,0,2,2,3,0,74,21,4,0,70,68,2,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"465","TOWN OF CORNING LINCOLN","LINCOLN","TOWN OF CORNING",516,1,447,447,0,447,0,0,3,0,0,0,0,3,0,26,11,1,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"466","TOWN OF COTTAGE GROVE DANE","DANE","TOWN OF COTTAGE GROVE",2691,36,2508,2508,4,2504,0,0,44,0,2,0,14,16,12,731,559,11,0,718,719,1,0,0,0,0,0,4,0,0,4,4,0,0,1,0,0,0,1,0,0
"467","TOWN OF COUDERAY SAWYER","SAWYER","TOWN OF COUDERAY",187,10,156,156,25,0,131,0,7,0,0,0,0,5,2,25,14,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"468","TOWN OF COURTLAND COLUMBIA","COLUMBIA","TOWN OF COURTLAND",296,0,260,260,260,0,0,0,6,0,0,1,2,3,0,13,1,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"469","TOWN OF CRANDON FOREST","FOREST","TOWN OF CRANDON",425,0,322,322,42,0,280,0,5,0,0,1,0,2,2,11,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"470","TOWN OF CRANMOOR WOOD","WOOD","TOWN OF CRANMOOR",117,0,114,114,114,0,0,0,9,0,1,3,4,0,1,16,6,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"471","TOWN OF CRESCENT ONEIDA","ONEIDA","TOWN OF CRESCENT",1481,6,1334,1334,0,1334,0,0,12,0,0,0,6,3,3,124,26,4,0,119,120,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"472","TOWN OF CROSS BUFFALO","BUFFALO","TOWN OF CROSS",248,0,212,212,69,0,143,0,7,0,0,0,1,3,3,20,6,0,0,20,20,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"473","TOWN OF CROSS PLAINS DANE","DANE","TOWN OF CROSS PLAINS",1108,5,986,986,0,986,0,0,26,0,2,2,4,6,12,150,89,7,1,150,144,6,4,0,0,0,0,1,0,0,1,1,0,0,6,3,0,3,3,0,0
"474","TOWN OF CRYSTAL LAKE BARRON","BARRON","TOWN OF CRYSTAL LAKE",495,2,409,409,32,0,377,0,5,0,0,1,2,1,1,30,6,1,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"475","TOWN OF CRYSTAL LAKE MARQUETTE","MARQUETTE","TOWN OF CRYSTAL LAKE",345,0,311,311,40,0,271,0,5,0,0,0,0,2,3,38,4,3,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"476","TOWN OF CRYSTAL WASHBURN","WASHBURN","TOWN OF CRYSTAL",185,0,158,158,9,0,149,0,3,0,0,0,2,1,0,4,0,0,0,4,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"477","TOWN OF CUMBERLAND BARRON","BARRON","TOWN OF CUMBERLAND",547,3,453,453,32,0,421,0,8,0,0,1,3,3,1,28,9,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"478","TOWN OF CURRAN JACKSON","JACKSON","TOWN OF CURRAN",191,1,148,148,12,0,136,0,3,0,0,0,1,1,1,12,3,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"479","TOWN OF CUTLER JUNEAU","JUNEAU","TOWN OF CUTLER",222,0,193,193,5,0,117,0,5,0,0,0,1,2,1,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480","TOWN OF CYLON ST. CROIX","ST. CROIX","TOWN OF CYLON",401,2,362,362,0,361,1,0,3,0,0,0,1,1,1,29,9,1,0,28,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"481","TOWN OF DAIRYLAND DOUGLAS","DOUGLAS","TOWN OF DAIRYLAND",144,0,111,111,0,111,0,1,3,0,0,0,1,0,2,11,4,0,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"482","TOWN OF DAKOTA WAUSHARA","WAUSHARA","TOWN OF DAKOTA",605,0,548,548,83,0,465,0,10,0,0,0,5,5,0,56,7,1,1,55,53,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"483","TOWN OF DALE OUTAGAMIE","OUTAGAMIE","TOWN OF DALE",1764,14,1564,1564,0,1198,363,0,11,0,0,0,3,5,3,342,288,2,0,337,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"484","TOWN OF DALLAS BARRON","BARRON","TOWN OF DALLAS",339,0,296,296,43,0,2533,0,5,0,0,1,1,3,0,28,8,1,0,27,27,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"485","TOWN OF DANE DANE","DANE","TOWN OF DANE",627,2,552,552,0,552,0,0,5,0,0,0,0,5,0,46,20,4,1,41,41,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0
"486","TOWN OF DANIELS BURNETT","BURNETT","TOWN OF DANIELS",442,2,379,379,120,0,259,0,5,0,0,0,0,3,2,40,12,1,0,39,39,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"487","TOWN OF DARIEN WALWORTH","WALWORTH","TOWN OF DARIEN",954,12,878,878,0,877,1,0,11,0,0,1,2,4,4,168,119,0,0,168,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"488","TOWN OF DARLINGTON LAFAYETTE","LAFAYETTE","TOWN OF DARLINGTON",557,0,490,490,301,0,189,0,3,0,0,0,0,0,3,32,21,0,0,32,32,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"489","TOWN OF DAY MARATHON","MARATHON","TOWN OF DAY",668,6,585,585,0,585,0,3,10,0,0,0,0,7,3,39,21,3,0,15,36,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"490","TOWN OF DAYTON RICHLAND","RICHLAND","TOWN OF DAYTON",382,3,342,342,52,0,290,0,6,0,0,0,1,3,2,28,2,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"491","TOWN OF DAYTON WAUPACA","WAUPACA","TOWN OF DAYTON",1860,30,1630,1630,1,1366,263,0,26,0,0,1,7,11,7,286,201,4,0,81,279,4,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0
"492","TOWN OF DECATUR GREEN","GREEN","TOWN OF DECATUR",1126,20,994,994,0,994,0,0,6,0,0,0,0,0,0,121,68,2,0,118,119,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"493","TOWN OF DEER CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF DEER CREEK",360,0,289,289,23,0,266,0,5,0,0,0,0,2,3,18,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"494","TOWN OF DEER CREEK TAYLOR","TAYLOR","TOWN OF DEER CREEK",392,1,345,345,134,0,211,0,3,0,0,0,0,3,0,17,7,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","TOWN OF DEERFIELD DANE","DANE","TOWN OF DEERFIELD",1030,4,926,926,0,926,0,0,5,0,0,0,3,2,0,61,16,0,0,0,63,0,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"496","TOWN OF DEERFIELD WAUSHARA","WAUSHARA","TOWN OF DEERFIELD",478,0,428,428,50,0,378,0,8,0,0,0,0,2,6,49,10,0,0,39,49,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"497","TOWN OF DEKORRA COLUMBIA","COLUMBIA","TOWN OF DEKORRA",1678,26,1487,1487,0,1487,0,0,15,0,0,0,9,3,3,279,164,5,0,274,274,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,0,0,0,0
"498","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",6181,165,5413,5413,0,5365,48,0,69,0,0,0,38,26,0,2097,1733,29,0,1767,999,0,0,0,0,0,0,12,0,0,12,3,0,0,1,0,0,1,0,0,0
"499","TOWN OF DELAVAN WALWORTH","WALWORTH","TOWN OF DELAVAN",3110,55,2760,2760,0,2753,0,0,41,0,0,1,3,17,20,2753,531,11,1,524,7,0,7,0,0,0,0,5,0,0,4,5,0,0,0,0,0,0,0,0,0
"500","TOWN OF DELL PRAIRIE ADAMS","ADAMS","TOWN OF DELL PRAIRIE",988,7,851,851,851,0,0,0,7,0,1,0,2,3,1,69,14,4,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"501","TOWN OF DELLONA SAUK","SAUK","TOWN OF DELLONA",993,0,861,861,0,813,48,0,11,0,0,0,1,8,2,93,0,0,0,92,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"502","TOWN OF DELMAR CHIPPEWA","CHIPPEWA","TOWN OF DELMAR",549,1,451,451,0,441,10,0,4,0,0,0,2,2,0,22,11,0,0,22,20,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"503","TOWN OF DELTA BAYFIELD","BAYFIELD","TOWN OF DELTA",231,0,211,211,0,211,0,0,3,0,0,0,0,3,0,23,6,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"504","TOWN OF DELTON SAUK","SAUK","TOWN OF DELTON",1320,20,1165,1165,0,1165,0,0,7,0,0,0,3,3,1,205,128,1,1,200,200,3,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"505","TOWN OF DEWEY BURNETT","BURNETT","TOWN OF DEWEY",320,0,263,263,136,0,127,0,5,0,0,0,1,1,3,14,0,3,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"506","TOWN OF DEWEY PORTAGE","PORTAGE","TOWN OF DEWEY",646,0,593,594,0,593,0,0,5,0,0,0,1,4,0,33,12,0,0,21,33,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"507","TOWN OF DEWEY RUSK","RUSK","TOWN OF DEWEY",366,1,305,305,174,0,131,0,5,0,0,0,3,1,2,33,8,0,0,33,31,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"508","TOWN OF DEWHURST CLARK","CLARK","TOWN OF DEWHURST",209,0,182,182,41,0,141,0,3,0,0,0,0,0,3,20,0,0,0,19,20,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"509","TOWN OF DEXTER WOOD","WOOD","TOWN OF DEXTER",228,0,188,188,188,0,0,6,5,0,0,0,0,4,1,17,9,1,0,16,16,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"510","TOWN OF DIAMOND BLUFF PIERCE","PIERCE","TOWN OF DIAMOND BLUFF",305,4,262,262,37,0,214,0,5,0,0,0,1,4,0,13,1,0,0,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"511","TOWN OF DODGE TREMPEALEAU","TREMPEALEAU","TOWN OF DODGE",274,0,237,237,74,0,163,0,5,0,0,1,0,2,2,21,5,1,0,20,20,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
"512","TOWN OF DODGEVILLE IOWA","IOWA","TOWN OF DODGEVILLE",1114,36,1025,1025,387,0,638,0,5,0,0,0,1,4,1,289,241,1,0,285,288,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
