"","county","muni_county","municipality","votes_rec_clinton","votes_rec_other","votes_rec_sanders","votes_tot","votes_perc_clinton","votes_perc_other","votes_perc_sanders","clinton_prim_won","total_ballots","tch_prop","turnout_perc","sameday_reg_prop","counted_absent_prop","rejected_absent_prop","registrants","late_registrants","Total.Voter.Reg","TotalTurnout_2016","Hillary.Clinton_2016","Donald.J..Trump_2016","other_2016","Total_2016","HRCmargin_2016","change._D","change._R","change._other","change._Total","HRC._2016","DJT._2016","other._2016","County._2016","Dwin_2016..1.Dem.win.","Switch..1.switch.","county_paper_or_paperplusmachine","Obama_2012","Romney_2012","Others_2012","Total_2012","BHO._2012","MR._2012","other._2012","County_2012","Dwin_2012","Method_2012..1.paper.only..2.paper.and.machine.combo.","pop_2014_est","pop_voterage_2014_est_calc","pop_2010_real","X.under18_2013","X.whitewithlatino_2013","X.blackonly_2013","pop_blackonly_2013_calc","X.whitenolatino_2013","pop_whitenolatino_2013_calc","pop_nonwhite_2013_calc","coll_deg_plus25_2013","pop_collegedegreepersons25._2013_calc","ratio_white_nonwhite","ratio_white_black","ratio_nocollege_college","medianhouseholdincome_2009.2013","pop_sq_mile_2010","percentage_d_2008","percentage_r_2008","votes_d_2008","votes_r_2008","county_fips","percentage_d_2012","percentage_i_2012","percentage_r_2012","votes_d_2012","votes_i_2012","votes_r_2012","percentage_d_2016","percentage_i_2016","percentage_r_2016","votes_d_2016","votes_i_2016","votes_r_2016","inc_2013","inc_2014","inc_2015","inc_rank","pct_chg_2014","pct_chg_2015","pct_rank","state","name","labor_force","employed","unemp_level","unemp_rate","total_pop","pct_male","pct_female","pct_old","pct_latino","pct_white","pct_black","pct_no_hs","pct_some_hs","pct_hs","pct_some_college","pct_associates","pct_bachelors","pct_graduate","pct_hs_less","electronic","paper","electronic_2012","paper_2012","dem_votes_state","rep_votes_state","dem_votes_state_2012","rep_votes_state_2012","diff","diff_r","paper_ind","electronic_ind","no_paper_trail","has_electronic","swing_state_dummy","swing_state_dummy_exit_small","swing_state_dummy_fte","swing_state_dummy_exit_large","swing_state_dummy_onepct","swing_state_dummy_twopct","swing_state_dummy_threepct","swing_state_dummy_fourpct","swing_state_dummy_fivepct","swing_state_dummy_five_varied","non_swing_states","non_swing_states_dem","swing_states","temp","resid","mean_pop","elec_X_resid","sig","pred_diff_no_electronic","pred_votes_no_electronic","pred_votes_swing","X_Iswing_sta_2","X_Iswing_sta_3","X_Iswing_sta_4","X_Iswing_sta_5","X_Iswing_sta_6","X_Iswing_sta_7","X_Iswing_sta_8","X_Iswing_sta_9","X_Iswing_sta_10","X_Iswing_sta_11","X_Iswing_sta_12","X_IswiXelec_2","X_IswiXelec_3","X_IswiXelec_4","X_IswiXelec_5","X_IswiXelec_6","X_IswiXelec_7","X_IswiXelec_8","X_IswiXelec_9","X_IswiXelec_10","X_IswiXelec_11","X_IswiXelec_12","X_Istate_2","X_Istate_3","X_Istate_4","X_Istate_5","X_Istate_6","X_Istate_7","X_Istate_8","X_Istate_9","X_Istate_10","X_Istate_11","X_Istate_12","X_Istate_13","X_Istate_14","X_Istate_15","X_Istate_16","X_Istate_17","X_Istate_18","X_Istate_19","X_Istate_20","X_Istate_21","X_Istate_22","X_Istate_23","X_Istate_24","X_Istate_25","X_Istate_26","X_Istate_27","X_Istate_28","X_Istate_29","X_Istate_30","X_Istate_31","X_Istate_32","X_Istate_33","X_Istate_34","X_Istate_35","X_Istate_36","X_Istate_37","X_Istate_38","X_Istate_39","X_Istate_40","X_Istate_41","X_Istate_42","X_Istate_43","X_Istate_44","X_Istate_45","X_Istate_46","X_Istate_47","X_Istate_48","X_Istate_49","X_Istate_50","pred_diff_r_no_electronic","pred_votes_r_no_electronic","pred_votes_r_swing","dem_votes_state_no_electronic","rep_votes_state_no_electronic","unemp_test","inc_test","d_pct_no_elec","r_pct_no_elec","dem_pct_state","rep_pct_state","dem_win","dem_win_2012","dem_win_no_electronic","os_model_off","tch_bmd_model_off","tch_use_off","bmd_use_off","os_use_off","tch_model_off","bmd_model_off","tch_use_off_true","tch_model_off_full","log.pop.sq.mile.2010","muni.dense"
"1048","BAYFIELD","TOWN OF PILSEN BAYFIELD","TOWN OF PILSEN",31,0,33,64,48.4375,0,51.5625,0,28,0,0.16374269005848,0,0,0,171,0,"11299","84.00%","4,953","4,125",413,"9,491",828,"-17.90%","14.39%","177.18%","-3.03%","52.19%","43.46%","4.35%","0.32%",1,0,1,"6,033","3,606","149","9,788","61.64%","36.84%","1.52%","0.32%",1,1,14985,12228,15014,18.4,86.2,0.6,73,85.4,10443,1785,28.5,3485,5.8,142.3,2.5,44944,10.2,63,36,5972,3365,55007,61.7,0.28,36.9,6025,27.4,3597,52.2,0.88,43.5,4953,82.6,4125,38776,40817,41869,41,5.3,2.6,53,"WI","Bayfield County, WI",7489,"      7,130 ",359,4.8,15064,51.5,48.5,28.3,1.3,85.7,0.6,1.8,4.4,31.2,23.7,10.7,18,10.3,37.4,0,1,NA,NA,1382210,1409467,1613950,1408746,-9.5,6.599998,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-7.917643,-1.582357,100005.8,NA,0,-9.471598,4954.407,1.406788,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9.698304,4116.82,-8.180047,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"ES&S Automark",0,1,0,NA,"ES&S Automark",0,"aNone",2.32238772029023,1.85572534266886
"1049","PORTAGE","TOWN OF PINE GROVE PORTAGE","TOWN OF PINE GROVE",52,1,64,117,44.4444444444444,0.854700854700855,54.7008547008547,0,66,0,0.151376146788991,0.00688073394495413,0,0,436,0,"46378","82.20%","18,524","17,310",2289,"38,123",1214,"-16.09%","4.18%","253.79%","-3.09%","48.59%","45.41%","6.00%","1.29%",1,0,1,"22,075","16,615","647","39,337","56.12%","42.24%","1.64%","1.28%",1,1,70482,56456,70019,19.9,94.7,0.7,395,92.2,52053,4404,27.5,15525,11.8,131.7,2.6,50996,87.4,63,35,24817,13810,55097,56.3,0.28,42.4,22052,107,16599,48.6,1.18,45.4,18524,457.8,17310,37794,39824,41434,43,5.4,4,13,"WI","Portage County, WI",40535,"     39,287 ",1248,3.1,70337,49.9,50.1,17.3,2.8,92.2,0.6,2.9,5.1,34.3,19.9,9.6,19.3,9,42.3,0,1,NA,NA,1382210,1409467,1613950,1408746,-7.700001,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-7.147284,-0.5527167,100005.8,NA,0,-7.671598,18529.26,5.261324,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-7.898305,17275.67,-34.32645,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"ES&S Automark",0,1,0,NA,"ES&S Automark",0,"aNone",4.47049528266149,4.85801211827347
"1050","ONEIDA","TOWN OF PINE LAKE ONEIDA","TOWN OF PINE LAKE",208,7,333,548,37.956204379562,1.27737226277372,60.7664233576642,0,927,0.00107874865156419,0.522547914317926,0.0394588500563698,0.0970873786407767,0.00107874865156419,1774,0.00215749730312837,"25116","82.96%","8,103","11,677",1057,"20,837",-3574,"-22.47%","6.96%","273.50%","-3.76%","38.89%","56.04%","5.07%","0.71%",0,0,2,"10,452","10,917","283","21,652","48.27%","50.42%","1.31%","0.71%",0,2,35563,29339,35998,17.5,96.6,0.5,147,95.5,28019,1320,23.6,6924,21.2,191,3.2,45759,32.3,54,44,11907,9630,55085,48.4,0.2,50.5,10439,46.6,10905,38.9,1.02,56,8103,211.4,11677,42862,44748,46451,11,4.4,3.8,22,"WI","Oneida County, WI",18693,"     17,977 ",716,3.8,35754,50.5,49.5,27.8,1.3,95.6,0.6,1.7,5.2,34.3,24.8,9.5,15,9.4,41.2,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-9.5,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-8.314209,-1.185791,100005.8,-42.39433,0,-6.744328,8326.292,223.2921,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-11.80314,11408.06,-268.9379,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",3.47506723022861,15.5316205021159
"1051","LINCOLN","TOWN OF PINE RIVER LINCOLN","TOWN OF PINE RIVER",117,1,151,269,43.4944237918216,0.371747211895911,56.1338289962825,0,186,0,0.148919135308247,0.000800640512409928,0.0268817204301075,0.00537634408602151,1249,0.00537634408602151,"17121","85.06%","5,370","8,400",793,"14,563",-3030,"-29.00%","12.68%","300.51%","-4.29%","36.87%","57.68%","5.45%","0.49%",0,1,1,"7,563","7,455","198","15,216","49.70%","48.99%","1.30%","0.50%",1,1,28493,22766,28743,20.1,97.2,0.9,205,96,21855,911,14.5,3301,24,106.7,5.9,49021,32.7,56,43,8424,6519,55069,49.8,0.2,49.1,7543,33,7444,36.9,1.08,57.7,5370,158.6,8400,37073,38537,39916,51,3.9,3.6,27,"WI","Lincoln County, WI",15493,"     14,925 ",568,3.7,28566,50.4,49.6,23.3,1.3,96,0.8,4,6.9,40.7,22.4,10.8,10.3,4.9,51.6,0,1,NA,NA,1382210,1409467,1613950,1408746,-12.9,8.600002,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-10.65516,-2.244838,100005.8,NA,0,-12.8716,5371.525,1.525227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-13.0983,8383.343,-16.65755,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",3.48737507790321,7.44210756257544
"1052","CLARK","TOWN OF PINE VALLEY CLARK","TOWN OF PINE VALLEY",63,1,85,149,42.2818791946309,0.671140939597315,57.0469798657718,0,78,0.320512820512821,0.108484005563282,0.00139082058414465,0.0384615384615385,0,719,0,"16236","83.44%","4,225","8,645",678,"13,548",-4420,"-31.55%","16.64%","212.44%","-1.83%","31.19%","63.81%","5.00%","0.46%",0,0,2,"6,172","7,412","217","13,801","44.72%","53.71%","1.57%","0.45%",0,2,34423,24234,34690,29.6,97.6,0.4,97,93.8,22731,1502,11.6,2811,15.1,234.5,7.6,43276,28.7,53,45,7454,6383,55019,44.9,0.28,53.8,6173,34.6,7394,31.2,1,63.8,4225,135.6,8645,34025,36966,36538,64,8.6,-1.2,72,"WI","Clark County, WI",17890,"     17,329 ",561,3.1,34575,50.7,49.3,19.2,3.9,94.1,0.3,10.6,7.6,44.2,18.3,7.6,8.4,3.3,62.4,0.4545455,0.5454546,NA,NA,1382210,1409467,1613950,1408746,-13.7,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-12.61489,-1.085113,100005.8,-37.5156,0,-10.94433,4341.427,116.4271,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-16.00314,8445.894,-199.1066,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S M100","ES&S iVotronic",1,0,1,"ES&S iVotronic",NA,0,"ES&S iVotronic",3.35689712276558,7.22180237203828
"1053","BROWN","TOWN OF PITTSFIELD BROWN","TOWN OF PITTSFIELD",166,1,210,377,44.0318302387268,0.26525198938992,55.7029177718833,0,262,0,0.148190045248869,0.00169683257918552,0.0152671755725191,0.00381679389312977,1768,0,"150152","84.91%","53,358","67,192",6947,"127,497",-13834,"-14.66%","3.63%","343.61%","-1.11%","41.85%","52.70%","5.45%","4.33%",0,0,1,"62,526","64,836","1,566","128,928","48.50%","50.29%","1.21%","4.20%",0,1,256670,194043,248007,24.4,89.3,2.5,4851,82.7,160473,33569,26.8,52003,4.8,33.1,2.7,53119,468.2,54,45,67269,55854,55009,48.6,0.2,50.4,62433,268.6,64738,41.9,1.1,52.7,53358,1389.4,67192,43861,45380,46584,10,3.5,2.7,52,"WI","Brown County, WI",141866,"    137,326 ",4540,3.2,252698,49.6,50.4,15.4,7.7,82.8,2.1,4,5.4,31.8,20,11.4,19.7,7.8,41.2,0,1,NA,NA,1382210,1409467,1613950,1408746,-6.699997,2.299999,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-5.4234,-1.276597,100005.8,NA,0,-6.671594,53373.16,15.15514,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-6.898301,67058.76,-133.2445,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",6.14889555505681,21.5031966196587
"1054","WAUSHARA","TOWN OF PLAINFIELD WAUSHARA","TOWN OF PLAINFIELD",17,1,24,42,40.4761904761905,2.38095238095238,57.1428571428571,0,39,0.717948717948718,0.137809187279152,0.00353356890459364,0.0256410256410256,0,283,0,"13715","87.21%","3,802","7,669",490,"11,961",-3867,"-28.73%","16.87%","224.50%","-0.72%","31.79%","64.12%","4.10%","0.41%",0,0,2,"5,335","6,562","151","12,048","44.28%","54.47%","1.25%","0.39%",0,2,24178,19584,24496,19,95.6,2.1,411,90,17626,1958,14.3,2801,9,42.9,6,43070,39.1,50,49,5868,5770,55137,44.4,0.2,54.6,5330,25.8,6558,31.8,0.84,64.1,3802,98,7669,36023,37306,38620,54,3.6,3.5,30,"WI","Waushara County, WI",11540,"     11,079 ",461,4,24409,52.5,47.5,25.7,6,90.3,1.9,4.3,9.2,40.8,22.7,7.7,10.4,4.8,54.3,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-12.6,9.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-11.39198,-1.208024,100005.8,-29.48496,0,-9.844331,3906.771,104.7706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-14.90314,7492.372,-176.628,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.66612246699132,3.60859547038845
"1055","GRANT","TOWN OF PLATTEVILLE GRANT","TOWN OF PLATTEVILLE",108,0,135,243,44.4444444444444,0,55.5555555555556,0,103,0.563106796116505,0.113686534216336,0.0022075055187638,0.0194174757281553,0,906,0,"29547","81.40%","10,047","12,347",1657,"24,051",-2300,"-26.09%","20.40%","315.29%","-0.81%","41.77%","51.34%","6.89%","0.82%",0,1,2,"13,594","10,255","399","24,248","56.06%","42.29%","1.65%","0.79%",1,2,51829,41100,51208,20.7,97,1.2,493,95.8,39374,1726,19.1,7850,22.8,79.8,4.2,46963,44.7,61,38,14875,9068,55043,56.2,0.26,42.4,13574,66.2,10255,41.8,1.4,51.3,10047,331.4,12347,37757,37989,38413,56,0.6,1.1,69,"WI","Grant County, WI",28730,"     27,824 ",906,3.2,51272,51.9,48.1,19.3,1.3,95.8,1.3,3.9,5.4,39.1,20.5,10.9,12.9,7.3,48.4,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-14.4,8.899998,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-9.567014,-4.832988,100005.8,-247.7826,0,-11.64433,10323.86,276.8623,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-16.70314,12062.63,-284.369,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",3.79997350161952,8.17391201009494
"1056","DANE","TOWN OF PLEASANT SPRINGS DANE","TOWN OF PLEASANT SPRINGS",372,0,487,859,43.3061699650757,0,56.6938300349243,0,505,0,0.21795425118688,0.00647388864911524,0.0574257425742574,0,2317,0.0138613861386139,"378210","80.57%","217,506","71,270",15953,"304,729",146236,"0.66%","-14.79%","257.21%","0.18%","71.38%","23.39%","5.24%","10.35%",1,0,1,"216,071","83,644","4,466","304,181","71.03%","27.50%","1.47%","9.91%",1,1,516284,406832,488073,21.2,86.4,5.4,21969,81.1,329941,76891,46.6,189584,4.3,15,1.1,61721,407.7,73,26,205984,73065,55025,71.1,0.26,27.6,215389,799.4,83459,71.4,1.06,23.4,217506,3190.6,71270,49883,51545,53705,4,3.3,4.2,11,"WI","Dane County, WI",316769,"    308,229 ",8540,2.7,502984,49.5,50.5,14.3,6.1,81.2,5,2,3.1,19.4,18.4,9.6,28.1,19.4,24.5,0,1,NA,NA,1382210,1409467,1613950,1408746,0.3000031,-4.200001,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-0.6673267,0.9673298,100005.8,NA,0,0.3284058,217567.8,61.77767,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1016989,71128.67,-141.3314,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",6.01053160982521,26.5302402735885
"1057","EAU CLAIRE","TOWN OF PLEASANT VALLEY EAU CLAIRE","TOWN OF PLEASANT VALLEY",261,3,389,653,39.9693721286371,0.459418070444104,59.5712098009188,0,343,0,0.151167915381225,0.00484795063904804,0.032069970845481,0,2269,0,"65486","82.58%","27,271","23,301",3508,"54,080",3970,"-11.07%","0.19%","296.83%","-1.32%","50.43%","43.09%","6.49%","1.84%",1,0,2,"30,666","23,256","884","54,806","55.95%","42.43%","1.61%","1.79%",1,2,101564,80642,98736,20.6,93.1,1,806,91.4,73707,6935,31,24999,10.6,91.4,2.2,48090,154.8,61,38,33146,20959,55035,56.1,0.26,42.5,30618,151.8,23218,50.4,1.3,43.1,27271,701.6,23301,40646,42699,43747,25,5.1,2.5,55,"WI","Eau Claire County, WI",59099,"     57,348 ",1751,3,100607,49.1,50.9,16.6,2.1,91.4,0.7,3.1,3.6,27.1,22.1,12.9,19.9,11.3,33.8,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-5.699997,0.5999985,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-4.789639,-0.910358,100005.8,-91.58309,0,-2.944325,28022.5,751.4993,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8.003139,22764.35,-536.6552,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Optech/Command Central- Eagle","Dominion (Sequoia)/Command Central-Edge",1,0,1,"Dominion (Sequoia)/Command Central-Edge",NA,0,"Dominion (Sequoia)/Command Central-Edge",5.04213396115563,16.9811932252965
"1058","ST. CROIX","TOWN OF PLEASANT VALLEY ST. CROIX","TOWN OF PLEASANT VALLEY",39,0,34,73,53.4246575342466,0,46.5753424657534,1,23,0,0.0721003134796238,0,0,0,319,0,"55099","84.97%","17,496","26,123",3200,"46,819",-8627,"-12.12%","2.43%","294.09%","1.29%","37.37%","55.80%","6.83%","1.59%",0,0,1,"19,910","25,503","812","46,225","43.07%","55.17%","1.76%","1.51%",0,2,86759,63855,84345,26.4,96.5,0.7,447,94.6,60406,3448,33,21072,17.5,135.1,2,68426,116.8,47,51,21177,22837,55109,43.2,0.28,55.4,19874,132,25475,37.4,1.36,55.8,17496,640,26123,43932,46538,48392,7,5.9,4,18,"WI","St. Croix County, WI",50030,"     48,426 ",1604,3.2,85442,49.9,50.1,14,2.1,94.6,0.7,1.2,3.5,28.5,21.3,13.1,22.6,9.9,33.2,0,1,NA,NA,1382210,1409467,1613950,1408746,-5.799999,0.3999977,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-4.061929,-1.73807,100005.8,NA,0,-5.771596,17500.97,4.969344,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5.998303,26071.2,-51.803,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,NA,"Dominion (Sequoia)/Command Central-Edge",1,0,0,"Dominion (Sequoia)/Command Central-Edge",NA,1,"Dominion (Sequoia)/Command Central-Edge",4.76046307039413,6.85186842230932
"1059","MARATHON","TOWN OF PLOVER MARATHON","TOWN OF PLOVER",39,0,40,79,49.3670886075949,0,50.6329113924051,0,34,0,0.0921409214092141,0.00542005420054201,0,0,369,0,"80465","85.56%","26,476","39,010",3363,"68,849",-12534,"-18.19%","6.54%","281.29%","-1.45%","38.46%","56.66%","4.88%","2.34%",0,0,2,"32,363","36,617","882","69,862","46.32%","52.41%","1.26%","2.28%",0,2,135780,103600,134063,23.7,91.8,0.8,829,89.6,92826,10774,22.2,22999,8.6,112,3.5,53363,86.8,54,45,36367,30345,55073,46.4,0.2,52.5,32330,147.8,36568,38.5,0.96,56.7,26476,672.6,39010,40872,42932,43921,21,5,2.3,57,"WI","Marathon County, WI",74868,"     72,567 ",2301,3.1,134886,50.3,49.7,18.6,2.4,89.7,0.7,4.1,5.2,37.6,18.2,12,15.7,7.3,46.9,0,1,NA,NA,1382210,1409467,1613950,1408746,-7.900002,4.200001,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-8.263869,0.3638678,100005.8,NA,0,-7.871599,26483.52,7.519911,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-8.098306,38932.64,-77.35845,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",4.4636066216663,4.13371594738099
"1060","PORTAGE","TOWN OF PLOVER PORTAGE","TOWN OF PLOVER",90,2,135,227,39.647577092511,0.881057268722467,59.4713656387665,0,159,0,0.165280665280665,0.00415800415800416,0.0314465408805031,0.00628930817610063,962,0,"46378","82.20%","18,524","17,310",2289,"38,123",1214,"-16.09%","4.18%","253.79%","-3.09%","48.59%","45.41%","6.00%","1.29%",1,0,1,"22,075","16,615","647","39,337","56.12%","42.24%","1.64%","1.28%",1,1,70482,56456,70019,19.9,94.7,0.7,395,92.2,52053,4404,27.5,15525,11.8,131.7,2.6,50996,87.4,63,35,24817,13810,55097,56.3,0.28,42.4,22052,107,16599,48.6,1.18,45.4,18524,457.8,17310,37794,39824,41434,43,5.4,4,13,"WI","Portage County, WI",40535,"     39,287 ",1248,3.1,70337,49.9,50.1,17.3,2.8,92.2,0.6,2.9,5.1,34.3,19.9,9.6,19.3,9,42.3,0,1,NA,NA,1382210,1409467,1613950,1408746,-7.700001,3,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-7.147284,-0.5527167,100005.8,NA,0,-7.671598,18529.26,5.261324,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-7.898305,17275.67,-34.32645,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"ES&S DS200","ES&S Automark",0,1,1,NA,"ES&S Automark",0,"aNone",4.47049528266149,9.52159430950051
"1061","VILAS","TOWN OF PLUM LAKE VILAS","TOWN OF PLUM LAKE",39,1,54,94,41.4893617021277,1.06382978723404,57.4468085106383,0,153,0,0.365155131264916,0.0119331742243437,0.117647058823529,0,419,0,"16120","83.46%","4,769","8,169",515,"13,453",-3400,"-19.86%","5.42%","262.68%","-2.81%","35.45%","60.72%","3.83%","0.46%",0,0,2,"5,951","7,749","142","13,842","42.99%","55.98%","1.03%","0.45%",0,2,21398,17739,21430,17.1,87,0.3,53,86,15255,2483,24.1,4275,6.1,286.7,3.1,40833,25,47,52,6491,7055,55125,43,0.16,56.1,5931,23.2,7735,35.4,0.76,60.7,4769,103,8169,41249,47320,49212,6,14.7,4,17,"WI","Vilas County, WI",10134,"      9,707 ",427,4.2,21368,50.4,49.6,33,1.6,85.9,0.4,1.1,7.1,33.1,25.4,8.2,16.1,8.8,41.3,0.5,0.5,NA,NA,1382210,1409467,1613950,1408746,-7.599998,4.600002,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,"WI",-8.694732,1.094733,100005.8,23.39091,0,-4.844327,4900.418,131.418,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9.903141,7980.856,-188.1437,1393796,1394217,0.0350701,45868.98,49.99245,50.00755,49.51182,50.48818,0,1,0,"Dominion ImageCast Evolution","Dominion ImageCast Evolution",0,1,1,NA,"Dominion ImageCast Evolution",0,"aNone",3.2188758248682,1.67858814088027
