County Name,Municipality Name,Reporting Unit,Original or recount,Total Votes,Donald J. Trump / Michael R. Pence,Hillary Clinton / Tim Kaine,Darrell L. Castle / Scott N. Bradley,Gary Johnson / Bill Weld,Jill Stein / Ajamu Baraka,Monica Moorehead / Lamont Lilly,Rocky Roque De La Fuente / Michael Steinberg,Cherunda Fox / Roger Kushner (write-in),Evan McMullin / Nathan Johnson (write-in),Michael A. Maturen / Juan Munoz (write-in),Marshall Schoenke / James Creighton Mitchell Jr. (write-in),Chris Keniston / Deacon Taylor (write-in),Laurence Kotlikoff / Edward E. Leamer (write-in),Tom Hoefling / Steve Schulin (write-in),Joseph Maldonado (write-in),Emidio Soltysik / Angela Nicole Walker (write-in),SCATTERING
LAFAYETTE ,TOWN OF LAMONT,TOWN OF LAMONT Wards 1-2,Original,159,84,66,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0
LAFAYETTE ,TOWN OF MONTICELLO,TOWN OF MONTICELLO Ward 1,Original,68,46,14,1,4,1,0,0,0,0,0,0,0,0,0,0,0,2
LAFAYETTE ,TOWN OF NEW DIGGINGS,TOWN OF NEW DIGGINGS Ward 1,Original,238,137,89,1,7,2,0,0,0,0,0,0,0,0,0,0,0,2
LAFAYETTE ,TOWN OF SEYMOUR,TOWN OF SEYMOUR Wards 1-2,Original,161,95,61,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
LAFAYETTE ,TOWN OF SHULLSBURG,TOWN OF SHULLSBURG Ward 1,Original,160,87,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAFAYETTE ,TOWN OF WAYNE,TOWN OF WAYNE Ward 1,Original,235,155,63,4,10,1,0,0,0,0,0,0,0,0,0,0,0,2
LAFAYETTE ,TOWN OF WHITE OAK SPRINGS,TOWN OF WHITE OAK SPRINGS Ward 1,Original,63,44,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LAFAYETTE ,TOWN OF WILLOW SPRINGS,TOWN OF WILLOW SPRINGS Ward 1,Original,360,213,130,2,9,2,0,0,0,2,0,0,0,0,0,0,0,2
LAFAYETTE ,TOWN OF WIOTA,TOWN OF WIOTA Ward 1,Original,422,225,180,1,13,2,0,0,0,0,0,0,0,0,0,0,0,1
LAFAYETTE ,VILLAGE OF ARGYLE,VILLAGE OF ARGYLE Ward 1,Original,358,137,193,0,20,3,0,0,0,0,0,0,0,0,0,0,0,5
LAFAYETTE ,VILLAGE OF BELMONT,VILLAGE OF BELMONT Ward 1,Original,446,214,199,6,21,3,0,0,0,1,0,0,0,0,0,0,0,2
LAFAYETTE ,VILLAGE OF BENTON,VILLAGE OF BENTON Ward 1,Original,430,190,222,1,15,1,0,0,0,0,0,0,0,0,0,0,0,1
LAFAYETTE ,VILLAGE OF BLANCHARDVILLE,VILLAGE OF BLANCHARDVILLE Ward 1,Original,300,105,178,3,9,2,0,0,0,1,0,0,0,0,0,0,0,2
LAFAYETTE ,VILLAGE OF GRATIOT,VILLAGE OF GRATIOT Ward 1,Original,102,48,51,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
LAFAYETTE ,VILLAGE OF HAZEL GREEN,VILLAGE OF HAZEL GREEN Ward 3,Original,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAFAYETTE ,VILLAGE OF SOUTH WAYNE,VILLAGE OF SOUTH WAYNE Ward 1,Original,198,116,72,2,5,0,2,0,0,0,0,0,0,0,0,0,0,1
LAFAYETTE ,CITY OF CUBA CITY,CITY OF CUBA CITY Ward 5,Original,124,57,59,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3
LAFAYETTE ,CITY OF DARLINGTON,CITY OF DARLINGTON Wards 1-6,Original,1018,454,504,6,33,9,1,0,0,6,0,0,0,0,0,0,0,5
LAFAYETTE ,CITY OF SHULLSBURG,CITY OF SHULLSBURG Wards 1-3,Original,515,217,263,6,19,3,0,0,0,2,0,0,0,0,0,0,0,5
LANGLADE ,TOWN OF ACKLEY,TOWN OF ACKLEY Ward 1,Original,283,185,84,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF AINSWORTH,TOWN OF AINSWORTH Ward 1,Original,278,186,81,0,7,1,1,0,0,0,0,0,0,0,0,0,0,2
LANGLADE ,TOWN OF ANTIGO,TOWN OF ANTIGO Ward 1-2,Original,797,536,224,6,24,4,1,0,0,0,0,0,0,0,0,0,0,2
LANGLADE ,TOWN OF ELCHO,TOWN OF ELCHO Ward 1-2,Original,769,495,246,2,23,2,1,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF EVERGREEN,TOWN OF EVERGREEN Ward 1,Original,277,192,75,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2
LANGLADE ,TOWN OF LANGLADE,TOWN OF LANGLADE Ward 1-2,Original,281,181,90,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF NEVA,TOWN OF NEVA Ward 1,Original,505,319,152,0,20,4,0,0,0,0,0,0,0,0,0,0,0,10
LANGLADE ,TOWN OF NORWOOD,TOWN OF NORWOOD Ward 1,Original,536,371,137,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF PARRISH,TOWN OF PARRISH Ward 1,Original,57,41,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF PECK,TOWN OF PECK Ward 1,Original,191,139,43,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3
LANGLADE ,TOWN OF POLAR,TOWN OF POLAR Ward 1-2,Original,576,379,157,2,20,6,0,0,0,0,0,0,0,0,0,0,0,12
LANGLADE ,TOWN OF PRICE,TOWN OF PRICE Ward 1-2,Original,134,86,42,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0
LANGLADE ,TOWN OF ROLLING,TOWN OF ROLLING Ward 1-2,Original,738,498,222,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF SUMMIT,TOWN OF SUMMIT Ward 1,Original,98,69,22,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF UPHAM,TOWN OF UPHAM Ward 1,Original,495,325,161,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF VILAS,TOWN OF VILAS Ward 1,Original,128,95,27,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,TOWN OF WOLF RIVER,TOWN OF WOLF RIVER Ward 1-2,Original,453,303,135,3,10,2,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,VILLAGE OF WHITE LAKE,VILLAGE OF WHITE LAKE Ward 1,Original,150,87,56,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 1,Original,367,198,154,1,10,2,1,0,0,1,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 2,Original,410,222,169,3,11,4,0,1,0,0,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 3,Original,333,198,113,2,13,7,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 4,Original,344,180,153,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 5,Original,294,151,129,1,10,2,0,0,0,1,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 6,Original,353,217,115,3,11,5,0,0,0,2,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 7,Original,494,278,203,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 8,Original,360,230,120,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0
LANGLADE ,CITY OF ANTIGO,CITY OF ANTIGO Ward 9,Original,431,275,136,3,11,3,1,0,0,2,0,0,0,0,0,0,0,0
LINCOLN ,TOWN OF BIRCH,TOWN OF BIRCH Ward 1,Original,247,163,72,0,7,3,0,0,0,0,0,0,0,0,0,0,0,2
LINCOLN ,TOWN OF BRADLEY,TOWN OF BRADLEY Wards 1-5,Original,1459,837,543,4,45,11,3,0,0,0,0,0,0,0,0,0,0,16
LINCOLN ,TOWN OF CORNING,TOWN OF CORNING Wards 1-2,Original,460,293,144,2,16,0,0,0,0,0,0,0,0,0,0,0,0,5
LINCOLN ,TOWN OF HARDING,TOWN OF HARDING Ward 1,Original,244,146,87,1,7,2,0,0,0,0,0,0,0,0,0,0,0,1
LINCOLN ,TOWN OF HARRISON,TOWN OF HARRISON Wards 1-3,Original,549,326,194,3,20,2,0,1,0,0,0,0,0,0,0,0,0,3
LINCOLN ,TOWN OF KING,TOWN OF KING Wards 1-2,Original,610,344,234,1,17,1,0,2,0,0,0,0,0,0,0,0,0,11
LINCOLN ,TOWN OF MERRILL,TOWN OF MERRILL Wards 1-7,Original,1628,988,549,6,64,12,0,0,0,0,0,0,0,0,0,0,0,9
LINCOLN ,TOWN OF PINE RIVER,TOWN OF PINE RIVER Wards 1-3,Original,1091,679,347,6,43,4,1,0,0,0,0,0,0,0,0,0,0,11
LINCOLN ,TOWN OF ROCK FALLS,TOWN OF ROCK FALLS Wards 1-2,Original,364,232,115,0,9,5,0,0,0,0,0,0,0,0,0,0,0,3
LINCOLN ,TOWN OF RUSSELL,TOWN OF RUSSELL Ward 1,Original,305,190,103,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2
LINCOLN ,TOWN OF SCHLEY,TOWN OF SCHLEY Wards 1-2,Original,475,322,131,2,16,1,1,0,0,0,0,0,0,0,0,0,0,2
LINCOLN ,TOWN OF SCOTT,TOWN OF SCOTT Wards 1-2,Original,806,496,246,3,42,6,1,0,0,0,0,0,0,0,0,0,0,12
LINCOLN ,TOWN OF SKANAWAN,TOWN OF SKANAWAN Ward 1,Original,248,138,83,2,14,5,1,0,0,0,0,0,0,0,0,0,0,5
LINCOLN ,TOWN OF SOMO,TOWN OF SOMO Ward 1,Original,69,47,14,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
LINCOLN ,TOWN OF TOMAHAWK,TOWN OF TOMAHAWK Ward 1,Original,284,184,88,0,7,1,0,0,0,0,0,0,0,0,0,0,0,4
LINCOLN ,TOWN OF WILSON,TOWN OF WILSON Ward 1,Original,201,131,63,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 1-2,Original,556,259,254,3,29,5,0,1,0,0,0,0,0,0,0,0,0,5
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 3-4,Original,540,295,209,2,26,4,0,0,0,0,0,0,0,0,0,0,0,4
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 5-7,Original,434,215,188,1,25,4,0,0,0,0,0,0,0,0,0,0,0,1
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 8-9,Original,461,246,169,4,25,9,1,0,0,0,0,0,0,0,0,0,0,7
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 10-12,Original,488,234,212,5,20,5,1,1,0,0,0,0,0,0,0,0,0,10
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 13-14,Original,543,285,213,3,27,4,1,1,0,0,0,0,0,0,0,0,0,9
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 15-17,Original,580,259,276,0,37,5,0,0,0,0,0,0,0,0,0,0,0,3
LINCOLN ,CITY OF MERRILL,CITY OF MERRILL Wards 18-19,Original,449,238,185,4,14,4,1,0,0,0,0,0,0,0,0,0,0,3
LINCOLN ,CITY OF TOMAHAWK,CITY OF TOMAHAWK Wards 1-2,Original,479,238,201,3,27,6,1,0,0,0,0,0,0,0,0,0,0,3
LINCOLN ,CITY OF TOMAHAWK,CITY OF TOMAHAWK Wards 3-4,Original,596,327,237,2,21,4,1,0,0,0,0,0,0,0,0,0,0,4
LINCOLN ,CITY OF TOMAHAWK,CITY OF TOMAHAWK Wards 5-6,Original,540,288,213,3,23,6,0,1,0,0,0,0,0,0,0,0,0,6
MANITOWOC ,TOWN OF CATO,TOWN OF CATO Ward 1-2,Original,899,585,255,4,34,8,0,0,0,0,0,0,0,0,0,0,0,13
MANITOWOC ,TOWN OF CENTERVILLE,TOWN OF CENTERVILLE Ward 1,Original,370,242,104,0,12,7,0,0,0,0,0,0,0,0,0,0,0,5
MANITOWOC ,TOWN OF COOPERSTOWN,TOWN OF COOPERSTOWN Ward 1-2,Original,736,469,229,6,24,4,0,0,0,2,0,0,0,0,0,0,0,2
MANITOWOC ,TOWN OF EATON,TOWN OF EATON Ward 1,Original,474,309,139,3,13,2,0,1,0,2,0,0,0,0,0,0,0,5
MANITOWOC ,TOWN OF FRANKLIN,TOWN OF FRANKLIN Ward 1-3,Original,668,429,192,3,25,6,1,0,0,0,0,0,0,0,0,0,0,12
MANITOWOC ,TOWN OF GIBSON,TOWN OF GIBSON Ward 1-2,Original,757,476,231,9,28,4,1,0,0,0,0,0,0,0,0,0,0,8
MANITOWOC ,TOWN OF KOSSUTH,TOWN OF KOSSUTH Ward 1-3,Original,1178,755,354,5,43,5,0,1,0,10,0,0,0,0,0,0,0,5
MANITOWOC ,TOWN OF LIBERTY,TOWN OF LIBERTY Wards 1-2,Original,728,512,180,6,18,3,0,0,0,3,0,0,0,0,0,0,0,6
MANITOWOC ,TOWN OF MANITOWOC,TOWN OF MANITOWOC Ward 1-2,Original,588,372,178,5,21,5,0,0,0,0,0,0,0,0,0,0,0,7
MANITOWOC ,TOWN OF MANITOWOC RAPIDS,TOWN OF MANITOWOC RAPIDS Ward 1-5,Original,1424,907,431,8,41,5,0,1,0,4,4,0,0,0,0,0,0,23
MANITOWOC ,TOWN OF MAPLE GROVE,TOWN OF MAPLE GROVE Ward 1,Original,447,352,80,0,11,2,0,0,0,0,0,0,0,0,0,0,0,2
MANITOWOC ,TOWN OF MEEME,"TOWN OF MEEME Wards 1,4",Original,503,307,148,7,27,5,0,0,0,4,0,0,0,0,0,0,0,5
MANITOWOC ,TOWN OF MEEME,TOWN OF MEEME Wards 2-3,Original,350,231,99,2,12,0,0,0,0,0,0,0,0,0,0,0,0,6
MANITOWOC ,TOWN OF MISHICOT,TOWN OF MISHICOT Ward 1-2,Original,689,465,191,1,25,3,0,1,0,1,0,0,0,0,0,0,0,2
MANITOWOC ,TOWN OF NEWTON,TOWN OF NEWTON Ward 1-3,Original,1304,890,352,6,35,6,2,0,0,9,0,0,0,0,0,0,0,4
MANITOWOC ,TOWN OF ROCKLAND,TOWN OF ROCKLAND Ward 1-2,Original,530,392,119,0,13,3,0,0,0,0,0,0,0,0,0,0,0,3
MANITOWOC ,TOWN OF SCHLESWIG,TOWN OF SCHLESWIG Ward 1-2,Original,1143,722,362,6,34,4,1,2,0,7,0,0,0,0,0,0,0,5
MANITOWOC ,TOWN OF TWO CREEKS,TOWN OF TWO CREEKS Ward 1,Original,230,145,69,1,8,2,0,3,0,0,0,0,0,0,0,0,0,2
MANITOWOC ,TOWN OF TWO RIVERS,TOWN OF TWO RIVERS Ward 1-2,Original,993,593,347,2,35,5,0,5,0,0,0,0,0,0,0,0,0,6
MANITOWOC ,VILLAGE OF CLEVELAND,VILLAGE OF CLEVELAND Wards 1-2,Original,784,435,291,4,34,7,1,0,0,4,0,0,0,0,0,0,0,8
MANITOWOC ,VILLAGE OF FRANCIS CREEK,VILLAGE OF FRANCIS CREEK Ward 1,Original,356,222,114,1,14,3,0,0,0,0,0,0,0,0,0,0,0,2
MANITOWOC ,VILLAGE OF KELLNERSVILLE,VILLAGE OF KELLNERSVILLE Ward 1,Original,170,100,57,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
MANITOWOC ,VILLAGE OF MARIBEL,VILLAGE OF MARIBEL Ward 1,Original,174,106,57,2,7,1,0,0,0,0,0,0,0,0,0,0,0,1
MANITOWOC ,VILLAGE OF MISHICOT,VILLAGE OF MISHICOT Ward 1-4,Original,737,454,253,2,19,4,0,1,0,1,0,0,0,0,0,0,0,3
MANITOWOC ,VILLAGE OF REEDSVILLE,VILLAGE OF REEDSVILLE Wards 1-2,Original,552,364,165,1,20,1,0,0,0,0,0,0,0,0,0,0,0,1
MANITOWOC ,VILLAGE OF ST. NAZIANZ,VILLAGE OF ST. NAZIANZ Ward 1,Original,350,229,96,3,12,2,1,0,0,1,4,0,0,0,0,0,0,2
MANITOWOC ,VILLAGE OF VALDERS,VILLAGE OF VALDERS Ward 1,Original,517,339,152,1,20,3,0,0,0,0,0,0,0,0,0,0,0,2
MANITOWOC ,VILLAGE OF WHITELAW,VILLAGE OF WHITELAW Ward 1,Original,384,235,128,5,13,1,0,0,0,1,0,0,0,0,0,0,0,1
MANITOWOC ,CITY OF KIEL,"CITY OF KIEL Wards 1-6,8",Original,1858,1093,632,7,88,12,1,0,0,3,0,0,0,0,0,0,0,22
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 1-2,Original,1395,707,584,16,55,19,0,2,0,4,0,0,0,0,0,0,0,8
MANITOWOC ,CITY OF MANITOWOC,"CITY OF MANITOWOC Wards 3-4,22",Original,1530,778,643,9,57,16,1,0,0,12,0,0,0,0,0,0,0,14
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 5-6,Original,1365,581,673,10,54,19,1,0,0,10,2,0,0,0,0,0,0,15
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 7-8,Original,956,423,449,1,49,22,1,0,0,0,0,0,0,0,0,0,0,11
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 9-10,Original,1449,754,596,9,56,20,0,0,0,3,0,0,0,0,0,0,0,11
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 11-12,Original,1784,937,727,10,76,14,3,0,0,0,0,0,0,0,0,0,0,17
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 13-14,Original,1263,617,563,4,51,11,1,0,0,7,0,0,1,0,0,0,0,8
MANITOWOC ,CITY OF MANITOWOC,CITY OF MANITOWOC Wards 15-16,Original,1929,1033,749,11,99,13,3,1,0,12,0,0,0,0,0,0,0,8
MANITOWOC ,CITY OF MANITOWOC,"CITY OF MANITOWOC Wards 17-18,21,23-26",Original,1438,729,615,11,59,13,3,1,0,3,0,0,0,0,0,0,0,4
MANITOWOC ,CITY OF MANITOWOC,"CITY OF MANITOWOC Wards 19-20,27",Original,2035,1177,730,14,73,10,1,4,0,9,0,0,0,0,0,0,0,17
MANITOWOC ,CITY OF TWO RIVERS,CITY OF TWO RIVERS Wards 1-2,Original,1150,583,474,6,50,21,5,1,0,4,0,0,0,0,0,0,0,6
MANITOWOC ,CITY OF TWO RIVERS,CITY OF TWO RIVERS Wards 3-4,Original,1771,925,729,11,74,14,1,2,0,0,0,0,0,0,0,0,0,15
MANITOWOC ,CITY OF TWO RIVERS,CITY OF TWO RIVERS Wards 5-6,Original,1203,626,488,6,51,15,1,0,0,7,0,0,0,0,0,0,0,9
MANITOWOC ,CITY OF TWO RIVERS,CITY OF TWO RIVERS Wards 7-8,Original,1185,593,481,11,59,22,2,0,0,0,0,0,0,0,0,0,0,17
MARATHON ,TOWN OF BERGEN,TOWN OF BERGEN Ward 1,Original,436,254,166,1,9,4,1,0,0,0,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF BERLIN,TOWN OF BERLIN Ward 1-2,Original,532,380,132,2,13,2,0,0,0,0,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF BERN,TOWN OF BERN Ward 1,Original,225,149,68,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,TOWN OF BEVENT,TOWN OF BEVENT Ward 1-2,Original,615,347,247,4,13,1,0,0,0,0,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF BRIGHTON,TOWN OF BRIGHTON Ward 1,Original,248,203,41,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF CASSEL,TOWN OF CASSEL Ward 1,Original,541,353,161,2,18,4,0,0,0,1,0,0,0,0,0,0,0,2
MARATHON ,TOWN OF CLEVELAND,TOWN OF CLEVELAND Ward 1-2,Original,778,513,222,6,27,1,0,0,2,7,0,0,0,0,0,0,0,0
MARATHON ,TOWN OF DAY,TOWN OF DAY Ward 1-2,Original,602,414,165,4,14,0,0,1,0,0,0,0,0,0,0,0,0,4
MARATHON ,TOWN OF EASTON,TOWN OF EASTON Ward 1-2,Original,704,486,193,4,16,4,0,0,0,1,0,0,0,0,0,0,0,0
MARATHON ,TOWN OF EAU PLEINE,TOWN OF EAU PLEINE Ward 1,Original,387,275,92,0,14,3,0,1,0,1,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF ELDERON,TOWN OF ELDERON Ward 1,Original,348,236,97,0,10,2,0,0,0,2,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF EMMET,TOWN OF EMMET Ward 1-2,Original,525,316,177,3,22,2,1,2,0,0,0,0,0,0,0,0,0,2
MARATHON ,TOWN OF FRANKFORT,TOWN OF FRANKFORT Ward 1,Original,301,213,73,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,TOWN OF FRANZEN,TOWN OF FRANZEN Ward 1,Original,302,210,80,1,8,1,0,0,0,0,1,0,0,0,0,0,0,1
MARATHON ,TOWN OF GREEN VALLEY,TOWN OF GREEN VALLEY Ward 1,Original,326,201,100,5,15,3,0,0,0,0,0,0,0,0,0,0,0,2
MARATHON ,TOWN OF GUENTHER,TOWN OF GUENTHER Ward 1,Original,214,142,64,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF HALSEY,TOWN OF HALSEY Ward 1,Original,264,187,61,1,10,1,0,1,0,2,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF HAMBURG,TOWN OF HAMBURG Ward 1,Original,437,280,136,5,10,4,2,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,TOWN OF HARRISON,TOWN OF HARRISON Ward 1,Original,182,121,49,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF HEWITT,TOWN OF HEWITT Ward 1,Original,345,232,101,1,7,2,1,0,0,0,0,0,0,0,0,0,0,1
MARATHON ,TOWN OF HOLTON,TOWN OF HOLTON Ward 1,Original,400,301,83,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,TOWN OF HULL,TOWN OF HULL Ward 1,Original,312,226,68,0,12,3,0,0,0,0,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF JOHNSON,TOWN OF JOHNSON Ward 1,Original,368,239,107,2,16,2,0,0,0,0,0,0,0,0,0,0,0,2
MARATHON ,TOWN OF KNOWLTON,TOWN OF KNOWLTON Ward 1-3,Original,1142,685,409,4,37,4,0,0,0,1,0,0,0,0,0,0,0,2
MARATHON ,TOWN OF MARATHON,TOWN OF MARATHON Ward 1-2,Original,603,422,154,1,19,2,0,0,0,0,0,0,0,0,0,0,0,5
MARATHON ,TOWN OF MCMILLAN,TOWN OF MCMILLAN Wards 1-3,Original,1188,700,430,3,34,6,0,1,0,4,0,0,0,0,0,0,0,10
MARATHON ,TOWN OF MOSINEE,TOWN OF MOSINEE Ward 1-3,Original,1262,790,410,7,40,8,0,0,0,2,0,0,0,0,0,0,0,5
MARATHON ,TOWN OF NORRIE,TOWN OF NORRIE Ward 1,Original,533,332,173,2,21,1,0,0,0,0,0,0,0,0,0,0,0,4
MARATHON ,TOWN OF PLOVER,TOWN OF PLOVER Ward 1,Original,352,223,112,4,7,2,0,0,0,1,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF REID,TOWN OF REID Ward 1-2,Original,687,410,244,5,16,5,0,0,0,0,0,0,0,0,0,0,0,7
MARATHON ,TOWN OF RIB FALLS,TOWN OF RIB FALLS Ward 1,Original,559,410,124,4,17,2,0,0,0,0,0,0,0,0,0,0,0,2
MARATHON ,TOWN OF RIB MOUNTAIN,TOWN OF RIB MOUNTAIN Ward 1-10,Original,4387,2480,1664,22,145,24,2,2,0,12,0,0,0,0,0,0,0,36
MARATHON ,TOWN OF RIETBROCK,TOWN OF RIETBROCK Ward 1,Original,487,330,136,6,10,1,1,0,0,0,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF RINGLE,TOWN OF RINGLE Ward 1-2,Original,1040,632,357,5,25,12,0,0,0,3,0,0,0,0,0,0,0,6
MARATHON ,TOWN OF SPENCER,TOWN OF SPENCER Ward 1-2,Original,802,531,233,3,19,5,0,0,0,8,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF STETTIN,TOWN OF STETTIN Ward 1-2,Original,1180,745,373,3,45,5,1,1,0,0,0,0,0,0,0,0,0,7
MARATHON ,TOWN OF STETTIN,TOWN OF STETTIN Ward 3-4,Original,312,190,111,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF TEXAS,TOWN OF TEXAS Wards 1-2,Original,993,631,322,4,22,7,0,0,0,1,0,0,0,0,0,0,0,6
MARATHON ,TOWN OF WAUSAU,TOWN OF WAUSAU Ward 1-3,Original,1307,811,422,10,42,8,0,0,0,3,0,0,0,0,0,0,0,11
MARATHON ,TOWN OF WESTON,TOWN OF WESTON Ward 1,Original,329,217,95,0,12,1,0,0,0,1,0,0,0,0,0,0,0,3
MARATHON ,TOWN OF WIEN,TOWN OF WIEN Ward 1,Original,415,275,125,2,10,1,0,0,0,0,0,0,0,0,0,0,0,2
MARATHON ,VILLAGE OF ATHENS,VILLAGE OF ATHENS Ward 1-2,Original,544,356,165,1,14,2,0,1,0,0,0,0,0,0,0,0,0,5
MARATHON ,VILLAGE OF BIRNAMWOOD,VILLAGE OF BIRNAMWOOD Ward 2,Original,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,VILLAGE OF BROKAW,VILLAGE OF BROKAW Ward 1,Original,138,55,75,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2
MARATHON ,VILLAGE OF DORCHESTER,VILLAGE OF DORCHESTER Ward 2,Original,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,VILLAGE OF DORCHESTER,VILLAGE OF DORCHESTER Ward 3,Original,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARATHON ,VILLAGE OF EDGAR,VILLAGE OF EDGAR Wards 1-2,Original,750,442,267,3,26,3,1,1,0,0,0,0,0,0,0,0,0,7
MARATHON ,VILLAGE OF ELDERON,VILLAGE OF ELDERON Ward 1,Original,94,59,28,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2
MARATHON ,VILLAGE OF FENWOOD,VILLAGE OF FENWOOD Ward 1,Original,82,49,27,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
MARATHON ,VILLAGE OF HATLEY,VILLAGE OF HATLEY Ward 1,Original,299,192,82,3,15,6,0,0,0,0,0,0,0,0,0,0,0,1
MARATHON ,VILLAGE OF KRONENWETTER,VILLAGE OF KRONENWETTER Wards 1-5,Original,2010,1122,754,3,90,20,0,1,0,0,0,0,0,0,0,0,0,20
MARATHON ,VILLAGE OF KRONENWETTER,VILLAGE OF KRONENWETTER Wards 6-10,Original,2104,1258,728,6,78,14,0,1,0,3,1,0,0,1,0,0,0,14
MARATHON ,Village of Maine,Village of Maine Wards 1-4,Original,1463,904,486,4,48,6,0,0,0,0,0,0,0,0,0,0,0,15
MARATHON ,VILLAGE OF MARATHON CITY,VILLAGE OF MARATHON CITY Ward 1-3,Original,851,540,261,7,23,14,0,0,0,0,0,0,0,0,0,0,0,6
