County,,,Muni,HINDI,ward,Voter Count,
DANE COUNTY,,,VILLAGE OF COTTAGE GROVE - DANE COUNTY,13112,Village of Cottage Grove - Ward 6,380,
DANE COUNTY,,,VILLAGE OF COTTAGE GROVE - DANE COUNTY,13112,Village of Cottage Grove - Ward 7,595,
DANE COUNTY,,,VILLAGE OF COTTAGE GROVE - DANE COUNTY,13112,Village of Cottage Grove - Ward 8,261,
DANE COUNTY,,,VILLAGE OF COTTAGE GROVE - DANE COUNTY,13112,Village of Cottage Grove - Ward 9,435,
DANE COUNTY,,,VILLAGE OF CROSS PLAINS - DANE COUNTY,13113,Village of Cross Plains - Ward 1,621,
DANE COUNTY,,,VILLAGE OF CROSS PLAINS - DANE COUNTY,13113,Village of Cross Plains - Ward 2,630,
DANE COUNTY,,,VILLAGE OF CROSS PLAINS - DANE COUNTY,13113,Village of Cross Plains - Ward 3,694,
DANE COUNTY,,,VILLAGE OF CROSS PLAINS - DANE COUNTY,13113,Village of Cross Plains - Ward 4,701,
DANE COUNTY,,,VILLAGE OF DANE - DANE COUNTY,13116,Village Of Dane - Ward 1,699,
DANE COUNTY,,,VILLAGE OF DEERFIELD - DANE COUNTY,13117,Village of Deerfield - Ward 1,354,
DANE COUNTY,,,VILLAGE OF DEERFIELD - DANE COUNTY,13117,Village of Deerfield - Ward 2,623,
DANE COUNTY,,,VILLAGE OF DEERFIELD - DANE COUNTY,13117,Village of Deerfield - Ward 3,562,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 010,516,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 011,588,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 012,13,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 1,478,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 2,483,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 3,426,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 4,682,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 5,650,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 6,582,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 7,621,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 8,608,
DANE COUNTY,,,VILLAGE OF DEFOREST - DANE COUNTY,13118,Village of DeForest - Ward 9,573,
DANE COUNTY,,,VILLAGE OF MAPLE BLUFF - DANE COUNTY,13151,Village of Maple Bluff - Ward 1,599,
DANE COUNTY,,,VILLAGE OF MAPLE BLUFF - DANE COUNTY,13151,Village of Maple Bluff - Ward 2,592,
DANE COUNTY,,,VILLAGE OF MARSHALL - DANE COUNTY,13152,Village of Marshall - Ward 1,445,
DANE COUNTY,,,VILLAGE OF MARSHALL - DANE COUNTY,13152,Village of Marshall - Ward 2,373,
DANE COUNTY,,,VILLAGE OF MARSHALL - DANE COUNTY,13152,Village of Marshall - Ward 3,548,
DANE COUNTY,,,VILLAGE OF MARSHALL - DANE COUNTY,13152,Village of Marshall - Ward 4,495,
DANE COUNTY,,,VILLAGE OF MARSHALL - DANE COUNTY,13152,Village of Marshall - Ward 5,354,
DANE COUNTY,,,VILLAGE OF MAZOMANIE - DANE COUNTY,13153,Village of Mazomanie - Ward 1,351,
DANE COUNTY,,,VILLAGE OF MAZOMANIE - DANE COUNTY,13153,Village of Mazomanie - Ward 2,502,
DANE COUNTY,,,VILLAGE OF MAZOMANIE - DANE COUNTY,13153,Village of Mazomanie - Ward 3,338,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 1,615,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village Of Mcfarland - Ward 10,448,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 2,536,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 3,581,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 4,534,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 5,683,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 6,508,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 7,621,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village of McFarland - Ward 8,640,
DANE COUNTY,,,VILLAGE OF MCFARLAND - DANE COUNTY,13154,Village Of Mcfarland - Ward 9,492,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village of Mount Horeb - Ward 1,566,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village of Mount Horeb - Ward 2,680,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village of Mount Horeb - Ward 3,596,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village of Mount Horeb - Ward 4,571,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village of Mount Horeb - Ward 5,645,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village of Mount Horeb - Ward 6,548,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village Of Mount Horeb - Ward 7,587,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village Of Mount Horeb - Ward 8,663,
DANE COUNTY,,,VILLAGE OF MOUNT HOREB - DANE COUNTY,13157,Village Of Mount Horeb - Ward 9,2,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 1,560,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 10,679,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 11,397,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village Of Oregon - Ward 12,635,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 2,579,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 3,499,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 4,528,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 5,759,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 6,517,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 7,436,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 8,604,
DANE COUNTY,,,VILLAGE OF OREGON - DANE COUNTY,13165,Village of Oregon - Ward 9,880,
DANE COUNTY,,,VILLAGE OF ROCKDALE - DANE COUNTY,13176,Village Of Rockdale - Ward 1,129,
DANE COUNTY,,,VILLAGE OF SHOREWOOD HILLS - DANE COUNTY,13181,Village of Shorewood Hills - Ward 1,867,
DANE COUNTY,,,VILLAGE OF SHOREWOOD HILLS - DANE COUNTY,13181,Village of Shorewood Hills - Ward 2,891,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 1,984,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 10,1554,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 2,1013,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 3,644,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 4,919,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 5,849,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 6,847,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 7,729,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 8,401,
DANE COUNTY,,,VILLAGE OF WAUNAKEE - DANE COUNTY,13191,Village of Waunakee - Ward 9,875,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 1,354,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 10,507,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 2,178,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 3,420,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 4,554,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 5,539,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 6,720,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 7,704,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 8,708,
DANE COUNTY,,,VILLAGE OF WINDSOR - DANE COUNTY,13196,VILLAGE OF WINDSOR - WARD 9,397,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 1,893,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 10,418,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 11,343,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 12,717,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 13,1310,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 14,1008,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City Of Fitchburg - Ward 15,463,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City Of Fitchburg - Ward 16,702,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City Of Fitchburg - Ward 17,665,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City Of Fitchburg - Ward 18,1463,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City Of Fitchburg - Ward 19,1117,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 2,811,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 3,559,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 4,732,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 5,926,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 6,603,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 7,1384,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 8,1315,
DANE COUNTY,,,CITY OF FITCHBURG - DANE COUNTY,13225,City of Fitchburg - Ward 9,788,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward   1,1922,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward   2,1269,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward   3,919,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward  28,1394,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 10,1702,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 100,2081,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 101,575,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 102,1398,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 103,614,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 104,2112,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 105,2573,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 106,2461,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 107,1609,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 108,2112,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 109,2140,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 11,1018,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 110,1623,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 111,2492,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 12,2011,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 121,2,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 122,1,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 124,8,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 125,5,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,CITY OF MADISON - WARD 128,4,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,CITY OF MADISON - WARD 129,4,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 13,632,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,CITY OF MADISON - WARD 131,5,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,CITY OF MADISON - WARD 132,3,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,CITY OF MADISON - WARD 133,4,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,CITY OF MADISON - WARD 134,25,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 14,523,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 15,1161,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 16,2609,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 17,1058,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 18,1033,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 19,979,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 20,228,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 21,1090,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 22,1733,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 23,732,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 24,817,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 25,2370,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 26,1251,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 27,19,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 29,2932,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 30,1139,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 31,1394,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 32,780,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 33,1064,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 34,1038,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 35,1468,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 36,1413,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 37,1601,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 38,2924,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 39,1789,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 4,646,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 40,2734,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 41,2948,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 42,3599,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 43,570,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 44,2145,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 45,3861,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 46,3597,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 47,3104,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 48,1581,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 49,3925,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 5,1135,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 50,4049,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 51,2019,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 52,819,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 53,4117,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 54,1115,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 55,4535,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 56,3259,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 57,1831,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 58,1270,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 59,1737,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 6,2011,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 60,892,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 61,3409,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 62,962,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 63,2390,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 64,1818,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 65,2958,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 66,3475,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 67,1687,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 68,1446,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 69,2228,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 7,1182,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 70,1539,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 71,1773,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 72,707,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 73,924,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 74,608,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 75,1377,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 76,1001,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 77,1996,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 78,2801,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 79,2949,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 8,2124,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 80,203,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 81,1876,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 82,1579,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 83,1663,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 84,2239,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 85,1825,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 86,2499,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 87,2351,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 88,2197,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 89,2489,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 9,2644,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 90,889,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 91,1582,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 92,1388,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 93,428,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 94,976,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 95,1960,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 96,1841,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 97,2669,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 98,2858,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,City of Madison - Ward 99,1024,
DANE COUNTY,,,CITY OF MADISON - DANE COUNTY,13251,Village of Shorewood Hills - Ward 2,2,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Madison - Ward 111,1,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 1,700,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 10,1146,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 11,1206,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 12,1227,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 13,737,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 14,1069,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 15,585,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City Of Middleton - Ward 16,734,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City Of Middleton - Ward 17,659,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City Of Middleton - Ward 18,157,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 2,586,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 3,1214,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 4,641,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 5,876,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 6,779,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 7,956,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 8,898,
DANE COUNTY,,,CITY OF MIDDLETON - DANE COUNTY,13255,City of Middleton - Ward 9,482,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 1,759,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 10,649,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 2,676,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 3,640,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 4,665,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 5,667,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 6,667,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 7,715,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 8,394,
DANE COUNTY,,,CITY OF MONONA - DANE COUNTY,13258,City of Monona - Ward 9,733,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 1,1164,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 2,1116,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 3,1120,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 4,1074,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 5,1049,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 6,1033,
DANE COUNTY,,,CITY OF STOUGHTON - DANE COUNTY,13281,City of Stoughton - Ward 7,1108,
