"","muni_county","county","municipality","registrants","late_registrants","edrs","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","absentee_issued","absentee_undeliverable","counted_absent","rejected_absent","fwab_counted","fwab_rejected","military_issued","military_undeliverable","military_counted","military_rejected","overseas_issued","overseas_undeliverable","overseas_counted","overseas_rejected","total_ballots_2008"
"350","TOWN OF BRADLEY LINCOLN","LINCOLN","TOWN OF BRADLEY",1352,29,309,1512,1512,1512,0,0,305,0,304,0,0,0,6,0,6,0,0,0,0,0,1512
"351","TOWN OF BRAZEAU OCONTO","OCONTO","TOWN OF BRAZEAU",768,19,65,751,751,125,0,626,126,2,124,2,1,1,0,0,0,0,0,0,0,0,751
"352","TOWN OF BREED OCONTO","OCONTO","TOWN OF BREED",353,3,67,362,362,57,0,305,26,0,23,0,0,0,0,0,0,0,0,0,0,0,362
"353","TOWN OF BRIDGE CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF BRIDGE CREEK",531,0,138,594,594,0,448,146,35,0,35,0,0,0,0,0,0,0,0,0,0,0,594
"354","TOWN OF BRIDGEPORT CRAWFORD","CRAWFORD","TOWN OF BRIDGEPORT",501,18,100,548,548,275,0,273,56,0,55,0,2,0,4,0,4,0,0,0,0,0,548
"355","TOWN OF BRIGHAM IOWA","IOWA","TOWN OF BRIGHAM",624,3,66,615,615,0,615,0,74,1,72,0,0,0,2,0,2,0,0,0,0,0,615
"356","TOWN OF BRIGHTON KENOSHA","KENOSHA","TOWN OF BRIGHTON",1026,22,77,858,858,0,858,0,118,0,115,0,0,0,0,0,0,0,0,0,0,0,858
"357","TOWN OF BRIGHTON MARATHON","MARATHON","TOWN OF BRIGHTON",292,0,31,246,246,0,0,246,17,0,17,0,0,0,0,0,0,0,0,0,0,0,246
"358","TOWN OF BRILLION CALUMET","CALUMET","TOWN OF BRILLION",668,44,189,807,807,0,790,17,73,0,70,0,1,0,4,0,2,0,0,0,0,0,807
"359","TOWN OF BRISTOL DANE","DANE","TOWN OF BRISTOL",1998,79,280,2065,2065,1,2059,5,486,0,484,1,2,0,3,0,3,0,0,0,0,0,2065
"360","TOWN OF BRISTOL KENOSHA","KENOSHA","TOWN OF BRISTOL",2984,106,251,2101,2101,1985,121,0,473,0,465,0,1,0,3,0,3,0,1,0,1,0,2101
"361","TOWN OF BROCKWAY JACKSON","JACKSON","TOWN OF BROCKWAY",785,19,161,726,726,329,0,397,47,0,47,0,0,0,0,0,0,0,0,0,0,0,726
"362","TOWN OF BROOKFIELD WAUKESHA","WAUKESHA","TOWN OF BROOKFIELD",6322,160,325,4188,4188,0,4177,10,1478,12,1387,0,5,0,0,0,0,0,0,0,0,0,4188
"363","TOWN OF BROOKLYN GREEN","GREEN","TOWN OF BROOKLYN",546,22,121,617,617,0,617,0,58,0,42,9,0,0,1,0,1,0,0,0,0,0,617
"364","TOWN OF BROOKLYN GREEN LAKE","GREEN LAKE","TOWN OF BROOKLYN",1158,37,104,1193,1193,0,949,244,171,0,168,0,0,0,2,0,2,0,0,0,0,0,1193
"365","TOWN OF BROOKLYN WASHBURN","WASHBURN","TOWN OF BROOKLYN",149,6,38,174,174,43,0,131,16,0,15,0,0,0,0,0,0,0,0,0,0,0,174
"366","TOWN OF BROTHERTOWN CALUMET","CALUMET","TOWN OF BROTHERTOWN",759,4,88,739,739,1,603,135,37,0,35,1,0,0,1,0,0,0,1,0,1,0,739
"367","TOWN OF BROWNING TAYLOR","TAYLOR","TOWN OF BROWNING",434,4,62,404,402,0,175,229,27,0,26,0,0,0,2,0,1,0,0,0,0,0,404
"368","TOWN OF BRULE DOUGLAS","DOUGLAS","TOWN OF BRULE",390,1,61,385,385,0,385,0,29,0,28,0,0,0,0,0,0,0,0,0,0,0,385
"369","TOWN OF BRUNSWICK EAU CLAIRE","EAU CLAIRE","TOWN OF BRUNSWICK",1014,10,129,978,978,0,950,28,89,1,81,5,0,0,3,0,2,0,2,0,2,0,978
"370","TOWN OF BRUSSELS DOOR","DOOR","TOWN OF BRUSSELS",807,2,70,578,578,0,380,198,47,0,45,1,0,0,0,0,1,1,0,0,0,0,578
"371","TOWN OF BUCHANAN OUTAGAMIE","OUTAGAMIE","TOWN OF BUCHANAN",7456,187,597,3717,3717,3,3713,1,855,0,843,2,7,0,11,0,6,0,11,0,6,0,3717
"372","TOWN OF BUENA VISTA PORTAGE","PORTAGE","TOWN OF BUENA VISTA",580,12,120,643,643,0,643,0,41,0,37,1,1,0,0,0,0,0,0,0,0,0,643
"373","TOWN OF BUENA VISTA RICHLAND","RICHLAND","TOWN OF BUENA VISTA",646,3,216,763,763,108,0,655,43,0,29,6,0,0,0,0,0,0,0,0,0,0,763
"374","TOWN OF BUFFALO BUFFALO","BUFFALO","TOWN OF BUFFALO",915,1,77,425,425,425,0,0,24,0,22,0,1,0,5,0,5,1,0,0,0,0,425
"375","TOWN OF BUFFALO MARQUETTE","MARQUETTE","TOWN OF BUFFALO",513,5,116,564,564,94,0,470,45,0,42,0,0,0,0,0,0,0,0,0,0,0,564
"376","TOWN OF BURKE DANE","DANE","TOWN OF BURKE",2131,68,181,1893,1893,55,1838,0,512,0,505,2,2,0,4,0,3,0,0,0,0,0,1893
"377","TOWN OF BURLINGTON RACINE","RACINE","TOWN OF BURLINGTON",4041,113,489,3529,3532,0,3525,4,692,1,668,0,4,0,8,0,6,0,0,0,0,0,3529
"378","TOWN OF BURNETT DODGE","DODGE","TOWN OF BURNETT",509,2,90,545,545,0,544,0,23,0,23,0,0,0,1,0,1,0,1,0,0,0,545
"379","TOWN OF BURNS LA CROSSE","LA CROSSE","TOWN OF BURNS",528,4,87,520,520,0,520,0,39,0,38,1,0,0,1,0,1,0,1,0,0,0,520
"380","TOWN OF BURNSIDE TREMPEALEAU","TREMPEALEAU","TOWN OF BURNSIDE",237,2,36,227,227,100,0,127,18,0,17,0,0,0,0,0,0,0,0,0,0,0,227
"381","TOWN OF BUTLER CLARK","CLARK","TOWN OF BUTLER",0,21,0,57,57,21,36,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0,57
"382","TOWN OF BYRON FOND DU LAC","FOND DU LAC","TOWN OF BYRON",910,4,162,981,981,0,981,0,91,0,83,0,0,0,0,0,0,0,0,0,0,0,981
"383","TOWN OF BYRON MONROE","MONROE","TOWN OF BYRON",477,12,175,582,582,377,0,205,29,0,26,0,0,0,4,0,2,0,0,0,0,0,582
"384","TOWN OF CABLE BAYFIELD","BAYFIELD","TOWN OF CABLE",485,9,73,513,512,513,0,0,63,62,62,0,0,0,1,0,0,0,0,0,0,0,513
"385","TOWN OF CADIZ GREEN","GREEN","TOWN OF CADIZ",482,5,41,432,432,0,432,0,27,0,25,0,0,0,1,0,1,0,0,0,0,0,432
"386","TOWN OF CADY ST. CROIX","ST. CROIX","TOWN OF CADY",422,5,97,458,458,0,298,160,26,0,21,0,1,0,0,0,0,0,0,0,0,0,458
"387","TOWN OF CALAMUS DODGE","DODGE","TOWN OF CALAMUS",447,2,106,502,502,0,502,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,502
"388","TOWN OF CALEDONIA COLUMBIA","COLUMBIA","TOWN OF CALEDONIA",790,23,120,814,814,814,0,0,99,93,93,1,0,0,1,0,0,0,0,0,0,0,814
"389","TOWN OF CALEDONIA TREMPEALEAU","TREMPEALEAU","TOWN OF CALEDONIA",512,10,100,503,501,31,0,472,20,0,19,0,0,0,2,0,1,0,0,0,0,0,503
"390","TOWN OF CALEDONIA WAUPACA","WAUPACA","TOWN OF CALEDONIA",844,12,160,921,921,706,0,215,72,2,62,2,0,0,2,0,2,0,0,0,0,0,921
"391","TOWN OF CALUMET FOND DU LAC","FOND DU LAC","TOWN OF CALUMET",910,1,125,842,842,0,842,0,81,1,78,0,0,0,4,0,3,0,0,0,0,0,842
"392","TOWN OF CAMERON WOOD","WOOD","TOWN OF CAMERON",299,1,32,283,283,0,273,10,10,8,8,0,0,0,0,0,0,0,0,0,0,0,283
"393","TOWN OF CAMPBELL LA CROSSE","LA CROSSE","TOWN OF CAMPBELL",2939,124,335,2609,2612,0,2608,1,925,1,915,9,1,0,5,0,5,0,2,0,2,0,2609
"394","TOWN OF CANTON BUFFALO","BUFFALO","TOWN OF CANTON",158,0,22,148,148,7,0,141,7,1,6,0,0,0,0,0,0,0,0,0,0,0,148
"395","TOWN OF CAREY IRON","IRON","TOWN OF CAREY",107,1,15,100,100,20,0,80,8,0,5,3,1,0,1,0,1,0,0,0,0,0,100
"396","TOWN OF CARLTON KEWAUNEE","KEWAUNEE","TOWN OF CARLTON",679,1,55,605,605,605,0,0,41,0,37,1,0,0,1,0,1,0,0,0,0,0,605
"397","TOWN OF CARSON PORTAGE","PORTAGE","TOWN OF CARSON",684,21,142,788,788,788,0,0,71,0,70,0,1,0,1,0,1,0,0,0,0,0,788
"398","TOWN OF CARY WOOD","WOOD","TOWN OF CARY",222,3,38,242,242,0,242,0,22,0,22,1,0,0,1,0,1,0,1,0,1,0,242
"399","TOWN OF CASCO KEWAUNEE","KEWAUNEE","TOWN OF CASCO",720,4,48,615,615,615,0,0,55,54,0,1,1,0,0,0,0,0,0,0,0,0,615
"400","TOWN OF CASEY WASHBURN","WASHBURN","TOWN OF CASEY",259,6,44,265,265,147,0,118,42,0,40,0,0,0,1,0,1,0,0,0,0,0,265
"401","TOWN OF CASSEL MARATHON","MARATHON","TOWN OF CASSEL",503,0,71,493,493,0,0,493,44,0,44,0,0,0,0,0,0,0,0,0,0,0,493
"402","TOWN OF CASSIAN ONEIDA","ONEIDA","TOWN OF CASSIAN",685,12,73,680,680,0,680,0,81,0,79,1,0,0,0,0,0,0,0,0,0,0,680
"403","TOWN OF CASSVILLE GRANT","GRANT","TOWN OF CASSVILLE",229,4,30,189,189,22,0,167,9,0,9,0,0,0,0,0,0,0,0,0,0,0,189
"404","TOWN OF CASTLE ROCK GRANT","GRANT","TOWN OF CASTLE ROCK",130,0,22,129,129,43,0,86,11,0,11,0,0,0,0,0,0,0,0,0,0,0,129
"405","TOWN OF CASWELL FOREST","FOREST","TOWN OF CASWELL",56,1,4,50,50,24,0,26,6,0,5,1,0,0,0,0,0,0,0,0,0,0,50
"406","TOWN OF CATAWBA PRICE","PRICE","TOWN OF CATAWBA",164,1,10,141,141,141,0,0,19,16,16,0,0,0,2,0,0,0,0,0,0,0,141
"407","TOWN OF CATO MANITOWOC","MANITOWOC","TOWN OF CATO",932,5,136,901,901,901,0,0,76,0,74,1,0,0,3,0,1,1,0,0,0,0,901
"408","TOWN OF CEDAR LAKE BARRON","BARRON","TOWN OF CEDAR LAKE",643,4,74,615,613,0,299,316,51,0,47,1,0,0,2,0,1,0,0,0,0,0,615
"409","TOWN OF CEDAR RAPIDS RUSK","RUSK","TOWN OF CEDAR RAPIDS",26,0,5,26,26,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"410","TOWN OF CEDARBURG OZAUKEE","OZAUKEE","TOWN OF CEDARBURG",4627,48,234,3921,3921,0,3920,1,1096,0,1034,6,4,0,2,0,2,0,0,0,0,0,3921
"411","TOWN OF CENTER OUTAGAMIE","OUTAGAMIE","TOWN OF CENTER",2697,34,210,2004,2002,1,1830,173,303,0,290,3,0,0,3,0,2,0,1,0,1,0,2004
"412","TOWN OF CENTER ROCK","ROCK","TOWN OF CENTER",652,1,107,644,644,0,644,0,54,0,53,0,1,0,3,0,2,0,0,0,0,0,644
"413","TOWN OF CENTERVILLE MANITOWOC","MANITOWOC","TOWN OF CENTERVILLE",427,9,32,389,389,379,10,0,34,0,33,1,0,0,1,0,1,0,1,0,0,0,389
"414","TOWN OF CHARLESTOWN CALUMET","CALUMET","TOWN OF CHARLESTOWN",421,2,72,455,455,354,0,101,28,0,24,1,0,0,0,0,0,0,0,0,0,0,455
"415","TOWN OF CHASE OCONTO","OCONTO","TOWN OF CHASE",1436,41,235,1476,1476,0,1165,311,277,0,277,0,0,0,1,0,1,0,1,0,1,0,1476
"416","TOWN OF CHELSEA TAYLOR","TAYLOR","TOWN OF CHELSEA",377,1,41,347,347,86,0,261,25,0,25,0,0,0,0,0,0,0,0,0,0,0,347
"417","TOWN OF CHESTER DODGE","DODGE","TOWN OF CHESTER",388,0,55,394,394,0,394,0,20,0,17,2,0,0,0,0,0,0,0,0,0,0,394
"418","TOWN OF CHETEK BARRON","BARRON","TOWN OF CHETEK",1130,18,143,1020,1019,0,696,323,112,0,110,2,0,0,3,0,3,0,0,0,0,0,1020
"419","TOWN OF CHICOG WASHBURN","WASHBURN","TOWN OF CHICOG",13,4,30,177,177,78,0,99,27,0,27,0,0,0,1,0,1,0,0,0,0,0,177
"420","TOWN OF CHILTON CALUMET","CALUMET","TOWN OF CHILTON",655,5,72,604,604,439,0,165,41,0,40,0,1,0,0,0,0,0,0,0,0,0,604
"421","TOWN OF CHIMNEY ROCK TREMPEALEAU","TREMPEALEAU","TOWN OF CHIMNEY ROCK",108,4,32,128,128,33,0,95,9,0,9,0,0,0,0,0,0,0,0,0,0,0,128
"422","TOWN OF CHIPPEWA ASHLAND","ASHLAND","TOWN OF CHIPPEWA",196,0,29,202,202,192,0,10,4,3,3,0,0,0,0,0,0,0,0,0,0,0,202
"423","TOWN OF CHRISTIANA DANE","DANE","TOWN OF CHRISTIANA",659,6,136,695,695,695,695,0,66,66,66,0,0,0,1,0,1,0,0,0,0,0,695
"424","TOWN OF CHRISTIANA VERNON","VERNON","TOWN OF CHRISTIANA",480,11,56,464,464,99,0,365,41,0,41,0,0,0,0,0,0,0,0,0,0,0,464
"425","TOWN OF CICERO OUTAGAMIE","OUTAGAMIE","TOWN OF CICERO",516,4,87,523,523,147,0,376,41,0,37,1,0,0,0,0,0,0,0,0,0,0,523
"426","TOWN OF CITY POINT JACKSON","JACKSON","TOWN OF CITY POINT",119,0,13,113,113,44,0,69,5,0,3,2,0,0,0,0,0,0,0,0,0,0,113
"427","TOWN OF CLAM FALLS POLK","POLK","TOWN OF CLAM FALLS",299,3,40,282,282,121,0,161,19,0,17,0,0,0,2,0,2,0,0,0,0,0,282
"428","TOWN OF CLARNO GREEN","GREEN","TOWN OF CLARNO",558,6,113,592,592,0,592,0,33,0,2,2,0,0,0,0,0,0,0,0,0,0,592
"429","TOWN OF CLAY BANKS DOOR","DOOR","TOWN OF CLAY BANKS",313,1,14,269,269,0,161,108,26,26,26,0,0,0,0,0,0,0,0,0,0,0,269
"430","TOWN OF CLAYTON CRAWFORD","CRAWFORD","TOWN OF CLAYTON",450,10,95,474,474,284,0,193,26,0,25,0,0,0,0,0,0,0,0,0,0,0,474
"431","TOWN OF CLAYTON POLK","POLK","TOWN OF CLAYTON",544,3,87,515,514,200,0,315,27,0,22,1,0,0,1,0,0,0,0,0,0,0,515
"432","TOWN OF CLAYTON WINNEBAGO","WINNEBAGO","TOWN OF CLAYTON",2422,35,231,2277,2277,1,2276,0,657,1,597,4,3,0,5,1,3,0,0,0,1,0,2277
"433","TOWN OF CLEAR CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF CLEAR CREEK",361,3,99,417,417,0,278,139,19,0,16,0,0,0,2,0,0,0,0,0,0,0,417
"434","TOWN OF CLEAR LAKE POLK","POLK","TOWN OF CLEAR LAKE",350,7,133,422,423,35,0,387,12,0,11,0,0,0,0,0,0,0,0,0,0,0,422
"435","TOWN OF CLEARFIELD JUNEAU","JUNEAU","TOWN OF CLEARFIELD",415,7,59,385,385,244,0,141,37,0,34,2,0,0,1,0,1,0,0,0,0,0,385
"436","TOWN OF CLEVELAND CHIPPEWA","CHIPPEWA","TOWN OF CLEVELAND",391,4,89,419,419,0,419,0,33,0,30,0,0,0,0,0,0,0,0,0,0,0,419
"437","TOWN OF CLEVELAND JACKSON","JACKSON","TOWN OF CLEVELAND",245,0,39,244,244,69,0,175,9,0,9,0,0,0,0,0,0,0,0,0,0,0,244
"438","TOWN OF CLEVELAND MARATHON","MARATHON","TOWN OF CLEVELAND",721,1,98,696,696,695,0,1,43,0,38,0,1,0,1,0,0,0,0,0,0,0,696
"439","TOWN OF CLEVELAND TAYLOR","TAYLOR","TOWN OF CLEVELAND",136,2,20,128,128,0,46,82,17,0,17,0,0,0,0,0,0,0,0,0,0,0,128
"440","TOWN OF CLIFTON GRANT","GRANT","TOWN OF CLIFTON",154,0,21,144,144,37,0,107,3,0,3,0,0,0,0,0,0,0,0,0,0,0,144
"441","TOWN OF CLIFTON MONROE","MONROE","TOWN OF CLIFTON",245,0,20,209,209,53,0,156,13,0,13,0,0,0,1,0,1,0,1,0,1,0,209
"442","TOWN OF CLIFTON PIERCE","PIERCE","TOWN OF CLIFTON",1023,31,320,1218,1218,0,1219,0,116,0,109,2,1,0,0,0,0,0,0,0,0,0,1218
"443","TOWN OF CLINTON BARRON","BARRON","TOWN OF CLINTON",392,3,35,339,339,0,198,141,29,0,29,0,0,0,0,0,0,0,0,0,0,0,339
"444","TOWN OF CLINTON ROCK","ROCK","TOWN OF CLINTON",521,16,81,497,497,469,0,0,28,0,25,0,1,0,3,0,2,0,0,0,0,0,497
"445","TOWN OF CLINTON VERNON","VERNON","TOWN OF CLINTON",280,5,32,264,264,84,0,180,19,0,18,0,0,0,1,0,0,0,0,0,0,0,264
"446","TOWN OF CLOVER BAYFIELD","BAYFIELD","TOWN OF CLOVER",184,1,11,172,172,172,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,172
"447","TOWN OF CLOVERLAND DOUGLAS","DOUGLAS","TOWN OF CLOVERLAND",146,1,20,135,135,0,135,0,7,0,7,1,1,1,0,0,0,0,0,0,0,0,135
"448","TOWN OF CLOVERLAND VILAS","VILAS","TOWN OF CLOVERLAND",779,1,83,704,704,0,704,0,78,0,73,0,0,0,0,0,0,0,0,0,0,0,704
"449","TOWN OF CLYDE IOWA","IOWA","TOWN OF CLYDE",199,0,14,195,195,13,0,182,15,1,12,0,0,0,0,0,0,0,0,0,0,0,195
"450","TOWN OF CLYMAN DODGE","DODGE","TOWN OF CLYMAN",440,9,61,420,421,421,0,0,26,0,24,1,1,1,0,0,0,0,0,0,0,0,420
"451","TOWN OF COLBURN ADAMS","ADAMS","TOWN OF COLBURN",142,3,17,134,134,14,0,120,8,0,8,0,0,0,0,0,0,0,0,0,0,0,134
"452","TOWN OF COLBURN CHIPPEWA","CHIPPEWA","TOWN OF COLBURN",354,1,95,397,397,0,237,160,25,0,25,1,0,0,0,0,0,0,0,0,0,0,397
"453","TOWN OF COLBY CLARK","CLARK","TOWN OF COLBY",292,0,58,290,290,248,0,42,24,0,2,0,0,0,3,0,1,0,0,0,0,0,290
"454","TOWN OF COLD SPRING JEFFERSON","JEFFERSON","TOWN OF COLD SPRING",410,6,92,459,454,0,454,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,459
"455","TOWN OF COLFAX DUNN","DUNN","TOWN OF COLFAX",146,1,20,135,135,0,135,0,7,0,7,1,1,1,0,0,0,0,0,0,0,0,135
"456","TOWN OF COLOMA WAUSHARA","WAUSHARA","TOWN OF COLOMA",305,6,97,375,375,29,346,0,32,0,29,3,0,0,0,0,0,0,0,0,0,0,375
"457","TOWN OF COLUMBUS COLUMBIA","COLUMBIA","TOWN OF COLUMBUS",340,13,72,335,335,0,335,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,335
"458","TOWN OF COMMONWEALTH FLORENCE","FLORENCE","TOWN OF COMMONWEALTH",323,3,24,257,256,63,0,193,45,0,44,0,0,0,0,0,0,0,0,0,0,0,257
"459","TOWN OF CONCORD JEFFERSON","JEFFERSON","TOWN OF CONCORD",1457,41,250,1234,1234,0,1234,0,129,0,125,2,0,0,1,0,1,0,0,0,0,0,1234
"460","TOWN OF CONOVER VILAS","VILAS","TOWN OF CONOVER",909,9,88,818,818,0,759,59,128,0,128,2,1,1,0,0,0,0,0,0,0,0,818
"461","TOWN OF COOKS VALLEY CHIPPEWA","CHIPPEWA","TOWN OF COOKS VALLEY",337,2,77,340,340,0,340,0,18,0,16,0,0,0,1,0,1,0,0,0,0,0,340
"462","TOWN OF COON VERNON","VERNON","TOWN OF COON",436,13,49,430,430,44,0,386,36,0,35,0,0,0,1,0,1,0,0,0,0,0,430
"463","TOWN OF COOPERSTOWN MANITOWOC","MANITOWOC","TOWN OF COOPERSTOWN",806,4,56,730,649,729,0,0,86,0,82,1,0,0,1,0,1,1,2,0,2,2,730
"464","TOWN OF CORNING LINCOLN","LINCOLN","TOWN OF CORNING",459,6,76,457,457,457,0,0,24,0,23,0,0,0,1,0,0,0,0,0,0,0,457
"465","TOWN OF COTTAGE GROVE DANE","DANE","TOWN OF COTTAGE GROVE",2266,97,246,2340,2340,0,2340,0,621,0,617,0,5,0,5,0,3,0,2,0,0,0,2340
"466","TOWN OF COUDERAY SAWYER","SAWYER","TOWN OF COUDERAY",167,5,39,162,162,30,0,132,14,1,13,0,0,0,1,0,1,0,0,0,0,0,162
"467","TOWN OF COURTLAND COLUMBIA","COLUMBIA","TOWN OF COURTLAND",281,4,43,257,257,257,257,0,19,1,17,0,0,0,0,0,0,0,1,0,1,0,257
"468","TOWN OF CRANDON FOREST","FOREST","TOWN OF CRANDON",358,0,47,333,333,71,262,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,333
"469","TOWN OF CRANMOOR WOOD","WOOD","TOWN OF CRANMOOR",97,2,15,99,99,0,99,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,99
"470","TOWN OF CRESCENT ONEIDA","ONEIDA","TOWN OF CRESCENT",1333,6,225,1354,1354,0,1354,0,127,0,112,7,1,0,2,0,2,0,2,0,0,0,1354
"471","TOWN OF CROSS BUFFALO","BUFFALO","TOWN OF CROSS",241,2,26,206,206,75,0,131,17,0,15,0,0,0,1,0,1,0,0,0,0,0,206
"472","TOWN OF CROSS PLAINS DANE","DANE","TOWN OF CROSS PLAINS",1033,8,73,951,951,0,951,0,84,0,80,0,0,0,1,0,1,0,0,0,0,0,951
"473","TOWN OF CRYSTAL LAKE BARRON","BARRON","TOWN OF CRYSTAL LAKE",412,7,82,428,428,0,192,234,33,0,28,0,1,0,2,0,1,0,2,0,1,0,428
"474","TOWN OF CRYSTAL LAKE MARQUETTE","MARQUETTE","TOWN OF CRYSTAL LAKE",300,10,59,326,326,37,0,289,40,0,37,0,0,0,0,0,0,0,0,0,0,0,326
"475","TOWN OF CRYSTAL WASHBURN","WASHBURN","TOWN OF CRYSTAL",172,1,29,164,164,14,0,150,9,0,9,2,0,0,0,0,0,0,0,0,0,0,164
"476","TOWN OF CUMBERLAND BARRON","BARRON","TOWN OF CUMBERLAND",511,0,41,446,446,0,274,172,29,29,29,0,0,0,0,0,0,0,0,0,0,0,446
"477","TOWN OF CURRAN JACKSON","JACKSON","TOWN OF CURRAN",208,0,28,178,178,21,0,157,16,10,15,0,0,0,0,0,0,0,0,0,0,0,178
"478","TOWN OF CUTLER JUNEAU","JUNEAU","TOWN OF CUTLER",202,8,26,190,190,36,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,190
"479","TOWN OF CYLON ST. CROIX","ST. CROIX","TOWN OF CYLON",307,3,77,349,349,0,349,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,349
"480","TOWN OF DAIRYLAND DOUGLAS","DOUGLAS","TOWN OF DAIRYLAND",109,0,18,117,117,117,0,0,7,7,6,1,0,0,0,0,0,0,0,0,0,0,117
"481","TOWN OF DAKOTA WAUSHARA","WAUSHARA","TOWN OF DAKOTA",513,0,94,516,516,106,0,410,44,0,30,4,0,0,2,0,2,1,0,0,0,0,516
"482","TOWN OF DALE OUTAGAMIE","OUTAGAMIE","TOWN OF DALE",1524,12,219,1506,1506,0,1250,256,230,0,222,2,2,0,0,0,0,0,0,0,0,0,1506
"483","TOWN OF DALLAS BARRON","BARRON","TOWN OF DALLAS",31,4,62,294,294,0,174,120,19,0,19,0,0,0,0,0,0,0,0,0,0,0,294
"484","TOWN OF DANE DANE","DANE","TOWN OF DANE",498,2,86,540,539,0,540,0,48,0,47,0,1,0,0,0,0,0,0,0,0,0,540
"485","TOWN OF DANIELS BURNETT","BURNETT","TOWN OF DANIELS",382,4,56,384,384,233,0,151,42,1,0,0,0,0,1,0,0,0,1,0,0,0,384
"486","TOWN OF DARIEN WALWORTH","WALWORTH","TOWN OF DARIEN",960,22,104,844,844,0,844,0,152,0,152,0,0,0,1,0,0,0,0,0,0,0,844
"487","TOWN OF DARLINGTON LAFAYETTE","LAFAYETTE","TOWN OF DARLINGTON",416,2,69,426,426,281,0,145,18,0,18,0,0,0,0,0,0,0,0,0,0,0,426
"488","TOWN OF DAY MARATHON","MARATHON","TOWN OF DAY",602,5,59,554,554,1,554,0,29,0,29,0,1,0,1,0,1,0,0,0,0,0,554
"489","TOWN OF DAYTON RICHLAND","RICHLAND","TOWN OF DAYTON",274,19,80,343,343,112,0,231,33,0,33,0,0,0,0,0,0,0,0,0,0,0,343
"490","TOWN OF DAYTON WAUPACA","WAUPACA","TOWN OF DAYTON",1620,15,225,1564,1564,0,1360,202,197,0,197,0,1,0,0,0,0,0,0,0,0,0,1564
"491","TOWN OF DECATUR GREEN","GREEN","TOWN OF DECATUR",820,24,187,930,930,0,930,0,112,0,109,0,1,0,3,0,3,0,0,0,0,0,930
"492","TOWN OF DEER CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF DEER CREEK",310,11,37,307,307,64,0,243,33,1,32,0,0,0,0,0,0,0,0,0,0,0,307
"493","TOWN OF DEER CREEK TAYLOR","TAYLOR","TOWN OF DEER CREEK",350,0,59,342,342,243,0,99,18,0,17,1,0,0,0,0,0,0,0,0,0,0,342
"494","TOWN OF DEERFIELD DANE","DANE","TOWN OF DEERFIELD",759,11,181,858,858,0,0,1,63,0,63,0,0,0,0,0,0,0,0,0,0,0,858
"495","TOWN OF DEERFIELD WAUSHARA","WAUSHARA","TOWN OF DEERFIELD",409,1,50,415,415,50,0,365,36,0,34,2,0,0,0,0,0,0,0,0,0,0,415
"496","TOWN OF DEKORRA COLUMBIA","COLUMBIA","TOWN OF DEKORRA",2689,27,128,1413,1414,0,0,0,258,258,248,0,0,0,2,1,1,0,0,0,0,0,1413
"497","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",15591,922,705,5277,5281,0,5085,192,1597,0,1621,5,7,0,3,0,3,0,3,0,3,0,5277
"498","TOWN OF DELAVAN WALWORTH","WALWORTH","TOWN OF DELAVAN",3252,35,417,2652,2652,0,2652,0,830,1,809,6,0,0,4,0,1,0,1,0,1,0,2652
"499","TOWN OF DELL PRAIRIE ADAMS","ADAMS","TOWN OF DELL PRAIRIE",718,10,193,812,812,812,0,0,62,0,60,2,1,0,2,0,1,1,0,0,0,0,812
"500","TOWN OF DELLONA SAUK","SAUK","TOWN OF DELLONA",358,0,152,793,796,0,632,161,128,0,63,10,0,0,3,0,2,0,0,0,0,0,793
"501","TOWN OF DELMAR CHIPPEWA","CHIPPEWA","TOWN OF DELMAR",464,2,79,437,437,0,437,0,12,0,11,1,0,0,0,0,0,0,0,0,0,0,437
"502","TOWN OF DELTA BAYFIELD","BAYFIELD","TOWN OF DELTA",222,4,15,210,210,0,0,210,37,1,36,1,0,1,0,0,0,0,1,0,1,0,210
"503","TOWN OF DELTON SAUK","SAUK","TOWN OF DELTON",1148,37,144,1117,1117,0,1117,0,222,0,219,0,1,0,0,0,0,0,0,0,0,0,1117
"504","TOWN OF DEWEY BURNETT","BURNETT","TOWN OF DEWEY",246,3,80,294,294,219,0,75,17,0,13,1,0,0,1,0,0,0,0,0,0,0,294
"505","TOWN OF DEWEY PORTAGE","PORTAGE","TOWN OF DEWEY",581,8,72,563,563,0,581,0,40,1,37,1,0,0,1,1,0,0,0,0,0,0,563
