"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","johnson","other.nonas","decided.total","trump.defs","clinton.defs","other.defs"
"297","--","Politico/Morning Consult",2016-10-10,"2016-10-10","2016-10-11T12:35:54Z",1757,"Likely Voters","Internet",41,46,NA,13,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084","https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/","Nonpartisan","None","",1,NA,0,87,47.1264367816092,52.8735632183908,NA
"301","--","Politico/Morning Consult",2016-10-10,"2016-10-10","2016-10-11T12:35:54Z",1757,"Likely Voters","Internet",37,42,3,7,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26084","https://morningconsult.com/2016/10/11/voters-say-clinton-won-debate-trumps-support-remains-stable/","Nonpartisan","None","",2,NA,3,82,45.1219512195122,51.219512195122,3.65853658536585
"305","--","Lucid/The Times-Picayune",2016-10-08,"2016-10-10","2016-10-26T19:00:32Z",543,"Likely Voters","Internet",37,44,2,11,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26466","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,83,44.578313253012,53.0120481927711,2.40963855421687
"306","--","NBC/WSJ",2016-10-08,"2016-10-10","2016-10-10T16:22:15Z",806,"Likely Voters","Live Phone",37,46,6,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26066","http://www.nbcnews.com/politics/first-read/post-debate-poll-shows-clinton-holding-9-point-lead-over-n664541","Nonpartisan","None","If the next election for president were held today, with Donald Trump as the Republican candidate, Hillary Clinton as the Democratic candidate, Gary Johnson the Libertarian candidate, and Jill Stein the Green Party candidate for whom would you vote?",1,NA,6,89,41.5730337078652,51.685393258427,6.74157303370786
"307","--","NBC/WSJ",2016-10-08,"2016-10-10","2016-10-10T16:22:15Z",806,"Likely Voters","Live Phone",40,50,7,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-26066","http://www.nbcnews.com/politics/first-read/post-debate-poll-shows-clinton-holding-9-point-lead-over-n664541","Nonpartisan","None","And, if the election for president were held today, with only Donald Trump and Mike Pence as the Republican candidates, and Hillary Clinton and Tim Kaine as the Democratic candidates, for whom would you vote?",2,NA,7,97,41.2371134020619,51.5463917525773,7.21649484536082
"308","--","Ipsos/Reuters",2016-10-06,"2016-10-10","2016-10-12T13:30:59Z",2363,"Likely Voters","Internet",37,44,9,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,9,90,41.1111111111111,48.8888888888889,10
"312","--","Ipsos/Reuters",2016-10-06,"2016-10-10","2016-10-12T13:30:59Z",2363,"Likely Voters","Internet",37,44,4,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26141","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7405","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,4,85,43.5294117647059,51.7647058823529,4.70588235294118
"316","--","Pew",2016-09-27,"2016-10-10","2016-10-14T17:16:57Z",3616,"Registered Voters","Live Phone",39,46,5,0,"http://elections.huffingtonpost.com/pollster/polls/pew-26176","http://www.people-press.org/2016/10/14/in-presidential-contest-voters-say-basic-facts-not-just-policies-are-in-dispute/","Nonpartisan","None","",1,NA,5,90,43.3333333333333,51.1111111111111,5.55555555555556
"317","--","Pew",2016-09-27,"2016-10-10","2016-10-14T17:16:57Z",3616,"Registered Voters","Live Phone",44,53,1,2,"http://elections.huffingtonpost.com/pollster/polls/pew-26176","http://www.people-press.org/2016/10/14/in-presidential-contest-voters-say-basic-facts-not-just-policies-are-in-dispute/","Nonpartisan","None","",2,NA,1,98,44.8979591836735,54.0816326530612,1.02040816326531
"318","--","Public Religion Research Institute/The Atlantic",2016-10-05,"2016-10-09","2016-10-11T12:49:41Z",886,"Likely Voters","Live Phone",38,49,4,8,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-the-atlantic-26086","http://www.prri.org/research/prri-atlantic-october-11-2016-presidential-election-horserace-clinton-trump/","Nonpartisan","None","",1,NA,4,91,41.7582417582418,53.8461538461538,4.3956043956044
"319","--","UPI/CVOTER",2016-10-03,"2016-10-09","2016-10-10T17:56:49Z",1350,"Likely Voters","Internet",44,50,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26076","http://www.upi.com/Top_News/US/2016/10/10/UPICVoter-poll-Hillary-Clinton-pulls-into-5-point-lead-over-Donald-Trump/7301476105358/?spt=hts&or=1","Nonpartisan","None","",1,NA,6,100,44,50,6
"320","--","NBC/SurveyMonkey",2016-10-03,"2016-10-09","2016-10-10T12:17:04Z",23329,"Likely Voters","Internet",44,51,NA,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26017","https://www.scribd.com/document/327007811/NBC-News-SurveyMonkey-Toplines-and-Methodology-10-3-10-9","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates, for whom would you vote?   ",1,NA,0,95,46.3157894736842,53.6842105263158,NA
"321","--","NBC/SurveyMonkey",2016-10-03,"2016-10-09","2016-10-10T12:17:04Z",23329,"Likely Voters","Internet",41,46,3,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-26017","https://www.scribd.com/document/327007811/NBC-News-SurveyMonkey-Toplines-and-Methodology-10-3-10-9","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates for whom would you vote?",2,NA,3,90,45.5555555555556,51.1111111111111,3.33333333333333
"322","--","Politico/Morning Consult",2016-10-08,"2016-10-08","2016-10-09T14:30:16Z",1390,"Likely Voters","Internet",41,45,NA,14,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013","https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,0,86,47.6744186046512,52.3255813953488,NA
"326","--","Politico/Morning Consult",2016-10-08,"2016-10-08","2016-10-09T14:30:16Z",1390,"Likely Voters","Internet",38,42,3,9,"http://elections.huffingtonpost.com/pollster/polls/politico-morning-consult-26013","https://morningconsult.com/2016/10/09/republican-voters-remain-loyal-trump-first-national-poll-video/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2,NA,3,83,45.7831325301205,50.6024096385542,3.6144578313253
"330","--","YouGov/Economist",2016-10-07,"2016-10-08","2016-10-10T14:45:15Z",1135,"Registered Voters","Internet",38,44,4,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26019","https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,4,86,44.1860465116279,51.1627906976744,4.65116279069767
"334","--","YouGov/Economist",2016-10-07,"2016-10-08","2016-10-10T14:45:15Z",1135,"Registered Voters","Internet",43,48,9,1,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-26019","https://today.yougov.com/news/2016/10/09/yougoveconomist-poll-october-7-8-2016/","Nonpartisan","None","",2,NA,9,100,43,48,9
"338","--","Lucid/The Times-Picayune",2016-10-05,"2016-10-07","2016-10-26T18:59:01Z",533,"Likely Voters","Internet",36,46,2,10,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26462","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,84,42.8571428571429,54.7619047619048,2.38095238095238
"339","--","Quinnipiac",2016-10-05,"2016-10-06","2016-10-07T16:24:01Z",1064,"Likely Voters","Live Phone",40,45,3,4,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25995","http://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2386","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1,NA,3,88,45.4545454545455,51.1363636363636,3.40909090909091
"343","--","Quinnipiac",2016-10-05,"2016-10-06","2016-10-07T16:24:01Z",1064,"Likely Voters","Live Phone",44,50,1,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25995","http://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2386","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2,NA,1,95,46.3157894736842,52.6315789473684,1.05263157894737
"347","--","Rasmussen",2016-10-04,"2016-10-06","2016-10-07T12:57:13Z",1500,"Likely Voters","IVR/Online",42,43,4,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-25993","http://www.rasmussenreports.com/platinum/historical_data/election_2016_white_house_watch_trends","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,4,89,47.1910112359551,48.314606741573,4.49438202247191
"351","--","FOX",2016-10-03,"2016-10-06","2016-10-07T22:38:33Z",896,"Likely Voters","Live Phone",42,44,3,5,"http://elections.huffingtonpost.com/pollster/polls/fox-25998","http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/","Nonpartisan","None","",1,NA,3,89,47.1910112359551,49.438202247191,3.37078651685393
"355","--","FOX",2016-10-03,"2016-10-06","2016-10-07T22:38:33Z",896,"Likely Voters","Live Phone",44,48,1,7,"http://elections.huffingtonpost.com/pollster/polls/fox-25998","http://www.foxnews.com/politics/interactive/2016/10/07/fox-news-poll-results-clinton-edges-trump-by-two-points-one-month-ahead/","Nonpartisan","None","",2,NA,1,93,47.3118279569892,51.6129032258064,1.0752688172043
"359","--","Lucid/The Times-Picayune",2016-10-02,"2016-10-04","2016-10-26T18:56:58Z",451,"Likely Voters","Internet",37,45,3,9,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26459","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,3,85,43.5294117647059,52.9411764705882,3.52941176470588
"360","--","YouGov/Economist",2016-10-01,"2016-10-03","2016-10-03T22:22:03Z",1055,"Registered Voters","Internet",40,43,5,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25893","https://today.yougov.com/news/2016/10/03/yougoveconomist-poll-october-1-3-2016/","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johson, the Libertarian, and Jill Stein, from the Green Party, who would you vote for?",1,NA,5,88,45.4545454545455,48.8636363636364,5.68181818181818
"364","--","YouGov/Economist",2016-10-01,"2016-10-03","2016-10-03T22:22:03Z",1055,"Registered Voters","Internet",43,48,8,1,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-25893","https://today.yougov.com/news/2016/10/03/yougoveconomist-poll-october-1-3-2016/","Nonpartisan","None","",2,NA,8,99,43.4343434343434,48.4848484848485,8.08080808080808
"368","--","Rasmussen",2016-09-29,"2016-10-03","2016-10-05T16:22:10Z",1500,"Likely Voters","IVR/Online",41,42,4,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-25967","http://www.rasmussenreports.com/platinum/historical_data/election_2016_white_house_watch_trends","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,4,87,47.1264367816092,48.2758620689655,4.59770114942529
"372","--","Ipsos/Reuters",2016-09-29,"2016-10-03","2016-10-05T14:08:35Z",1239,"Likely Voters","Internet",37,44,9,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25960","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7399","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,9,90,41.1111111111111,48.8888888888889,10
"376","--","Ipsos/Reuters",2016-09-29,"2016-10-03","2016-10-05T14:08:35Z",1239,"Likely Voters","Internet",36,42,5,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25960","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7399","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,5,83,43.3734939759036,50.6024096385542,6.02409638554217
"380","--","Morning Consult",2016-09-30,"2016-10-02","2016-10-03T12:15:40Z",1778,"Likely Voters","Internet",39,46,NA,16,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25827","https://morningconsult.com/2016/10/03/presidential-poll-hillary-clinton-donald-trump-post-debate/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,0,85,45.8823529411765,54.1176470588235,NA
"384","--","Morning Consult",2016-09-30,"2016-10-02","2016-10-03T12:15:40Z",1778,"Likely Voters","Internet",36,42,3,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25827","https://morningconsult.com/2016/10/03/presidential-poll-hillary-clinton-donald-trump-post-debate/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2,NA,3,81,44.4444444444444,51.8518518518518,3.7037037037037
"388","--","Public Religion Research Institute/The Atlantic",2016-09-28,"2016-10-02","2016-10-06T14:47:03Z",609,"Likely Voters","Live Phone",41,47,4,5,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-the-atlantic-25980","http://www.prri.org/wp-content/uploads/2016/10/PRRI-Atlantic-Survey-Topline.pdf","Nonpartisan","None","",1,NA,4,92,44.5652173913043,51.0869565217391,4.34782608695652
"389","--","Fairleigh Dickinson/SSRS",2016-09-28,"2016-10-02","2016-10-05T15:32:45Z",788,"Likely Voters","Live Phone",40,50,5,6,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-ssrs-25961","http://view2.fdu.edu/publicmind/2016/161005/","Nonpartisan","None","If the election for president was held today, and the choices were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,5,95,42.1052631578947,52.6315789473684,5.26315789473684
"393","--","Fairleigh Dickinson/SSRS",2016-09-28,"2016-10-02","2016-10-05T15:32:45Z",385,"Likely Voters","Live Phone",36,45,4,4,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-ssrs-25961","http://view2.fdu.edu/publicmind/2016/161005/","Nonpartisan","None","",2,NA,4,85,42.3529411764706,52.9411764705882,4.70588235294118
"394","--","CBS/Times",2016-09-28,"2016-10-02","2016-10-04T11:31:32Z",1217,"Likely Voters","Live Phone",43,49,4,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-25894","http://www.cbsnews.com/news/hillary-clinton-edges-ahead-of-donald-trump-after-first-presidential-debate-hofstra-2016-cbs-nyt-poll/","Nonpartisan","None","",1,NA,4,96,44.7916666666667,51.0416666666667,4.16666666666667
"398","--","CBS/Times",2016-09-28,"2016-10-02","2016-10-04T11:31:32Z",1217,"Likely Voters","Live Phone",41,45,4,3,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-25894","http://www.cbsnews.com/news/hillary-clinton-edges-ahead-of-donald-trump-after-first-presidential-debate-hofstra-2016-cbs-nyt-poll/","Nonpartisan","None","",2,NA,4,90,45.5555555555556,50,4.44444444444444
"402","--","CNN",2016-09-28,"2016-10-02","2016-10-03T20:40:06Z",1213,"Likely Voters","Live Phone",42,47,2,2,"http://elections.huffingtonpost.com/pollster/polls/cnn-25876","http://i2.cdn.turner.com/cnn/2016/images/10/03/2016.race.pdf","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates and Jill Stein and Ajamu Baraka as the Green Party’s candidates. Who would you be more likely to vote for?",1,NA,2,91,46.1538461538462,51.6483516483517,2.1978021978022
"406","--","CNN",2016-09-28,"2016-10-02","2016-10-03T20:40:06Z",1213,"Likely Voters","Live Phone",45,51,4,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-25876","http://i2.cdn.turner.com/cnn/2016/images/10/03/2016.race.pdf","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump and as the Republican Party’s candidate. Who would you be more likely to vote for?",2,NA,4,100,45,51,4
"410","--","NBC/SurveyMonkey",2016-09-26,"2016-10-02","2016-10-04T11:35:53Z",26925,"Likely Voters","Internet",44,50,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-25895","http://www.nbcnews.com/storyline/data-points/poll-hillary-clinton-holds-national-lead-over-donald-trump-n658721","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates, for whom would you vote?   ",1,NA,0,94,46.8085106382979,53.1914893617021,NA
"411","--","NBC/SurveyMonkey",2016-09-26,"2016-10-02","2016-10-04T11:35:53Z",26925,"Likely Voters","Internet",40,46,3,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-25895","http://www.nbcnews.com/storyline/data-points/poll-hillary-clinton-holds-national-lead-over-donald-trump-n658721","Nonpartisan","None","If the 2016 presidential election were being held today among the following candidates for whom would you vote?",2,NA,3,89,44.9438202247191,51.685393258427,3.37078651685393
"412","--","UPI/CVOTER",2016-09-26,"2016-10-02","2016-10-03T15:32:39Z",1285,"Likely Voters","Internet",49,47,4,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25834","https://www.documentcloud.org/documents/3118148-US2ndOct-Report.html","Nonpartisan","None","",1,NA,4,100,49,47,4
"413","--","Lucid/The Times-Picayune",2016-09-29,"2016-10-01","2016-10-26T18:55:20Z",597,"Likely Voters","Internet",37,45,2,9,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26456","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,84,44.047619047619,53.5714285714286,2.38095238095238
"414","--","FOX",2016-09-27,"2016-09-29","2016-09-30T22:24:18Z",911,"Likely Voters","Live Phone",40,43,5,3,"http://elections.huffingtonpost.com/pollster/polls/fox-25819","http://www.foxnews.com/politics/2016/09/30/fox-news-poll-clinton-ahead-trump-after-debate-fear-motivating-both-sides.html","Nonpartisan","None","",1,NA,5,88,45.4545454545455,48.8636363636364,5.68181818181818
"418","--","FOX",2016-09-27,"2016-09-29","2016-09-30T22:24:18Z",911,"Likely Voters","Live Phone",44,49,2,6,"http://elections.huffingtonpost.com/pollster/polls/fox-25819","http://www.foxnews.com/politics/2016/09/30/fox-news-poll-clinton-ahead-trump-after-debate-fear-motivating-both-sides.html","Nonpartisan","None","",2,NA,2,95,46.3157894736842,51.5789473684211,2.10526315789474
"422","--","PPP (D)",2016-09-27,"2016-09-28","2016-09-29T14:08:37Z",933,"Likely Voters","IVR/Online",40,44,3,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25804","http://www.publicpolicypolling.com/main/2016/09/clinton-leads-by-4-nationally-trump-hurt-himself-in-debate.html","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, Green Party candidate Jill Stein, and independent Evan McMullin. If the election was today, who would you vote for?",1,NA,3,87,45.9770114942529,50.5747126436782,3.44827586206897
"426","--","PPP (D)",2016-09-27,"2016-09-28","2016-09-29T14:08:37Z",933,"Likely Voters","IVR/Online",45,49,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25804","http://www.publicpolicypolling.com/main/2016/09/clinton-leads-by-4-nationally-trump-hurt-himself-in-debate.html","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2,NA,0,94,47.8723404255319,52.1276595744681,NA
"430","--","Ipsos/Reuters",2016-09-27,"2016-09-28","2016-09-28T21:21:35Z",1336,"Likely Voters","Internet",38,42,8,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25794","http://big.assets.huffingtonpost.com/2016-Reuters-Tracking-Debate-Special-9.28.16.pdf","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,8,88,43.1818181818182,47.7272727272727,9.09090909090909
"434","--","Lucid/The Times-Picayune",2016-09-26,"2016-09-28","2016-10-26T18:52:51Z",360,"Likely Voters","Internet",37,42,3,10,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26453","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,3,82,45.1219512195122,51.219512195122,3.65853658536585
"435","--","Rasmussen",2016-09-26,"2016-09-28","2016-09-29T12:58:03Z",1500,"Likely Voters","IVR/Online",41,42,5,5,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-25801","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch","Nonpartisan","None","If the 2016 presidential election were held today, would you vote for Republican Donald Trump, Democrat Hillary Clinton, Libertarian Gary Johnson or Green Party candidate Jill Stein?",1,NA,5,88,46.5909090909091,47.7272727272727,5.68181818181818
"439","--","Echelon Insights (R)",2016-09-26,"2016-09-27","2016-09-30T16:30:03Z",1529,"Likely Voters","Internet",39,44,3,7,"http://elections.huffingtonpost.com/pollster/polls/echelon-insights-r-25816","http://echeloninsights.com/wp-content/uploads/2016/09/post_debate_survey_toplines.pdf","Pollster","Rep","If the election for President were held today, for whom would you vote?",1,NA,3,86,45.3488372093023,51.1627906976744,3.48837209302326
"440","--","Echelon Insights (R)",2016-09-26,"2016-09-27","2016-09-30T16:30:03Z",1529,"Likely Voters","Internet",42,47,NA,11,"http://elections.huffingtonpost.com/pollster/polls/echelon-insights-r-25816","http://echeloninsights.com/wp-content/uploads/2016/09/post_debate_survey_toplines.pdf","Pollster","Rep","If the election for President were held today and the choices were Hillary Clinton, the Democratic candidate, and Donald Trump, the Republican candidate, for whom would you vote?",2,NA,0,89,47.1910112359551,52.8089887640449,NA
"441","--","Morning Consult",2016-09-26,"2016-09-27","2016-09-28T16:28:22Z",1253,"Likely Voters","Internet",41,45,NA,14,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25787","https://morningconsult.com/2016/09/28/clinton-bests-trump-debate-half-likely-voters-say/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton and Republican Donald Trump, for whom would you vote?",1,NA,0,86,47.6744186046512,52.3255813953488,NA
"445","--","Morning Consult",2016-09-26,"2016-09-27","2016-09-28T16:28:22Z",1253,"Likely Voters","Internet",38,41,4,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-25787","https://morningconsult.com/2016/09/28/clinton-bests-trump-debate-half-likely-voters-say/","Nonpartisan","None","If the 2016 presidential election were held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein, for whom would you vote?",2,NA,4,83,45.7831325301205,49.3975903614458,4.81927710843374
"449","--","Public Religion Research Institute ",2016-09-01,"2016-09-27","2016-10-25T12:22:45Z",1296,"Likely Voters","Live Phone/Online",41,49,5,1,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-26411","http://www.prri.org/research/divide-americas-future-1950-2050/","Nonpartisan","None","",1,NA,5,95,43.1578947368421,51.5789473684211,5.26315789473684
"450","--","Ipsos/Reuters",2016-09-22,"2016-09-26","2016-09-28T16:34:17Z",1041,"Likely Voters","Internet",38,44,7,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25788","http://www.ipsos-na.com/download/pr.aspx?id=15944","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",1,NA,7,89,42.6966292134831,49.438202247191,7.86516853932584
"454","--","Ipsos/Reuters",2016-09-22,"2016-09-26","2016-09-28T16:34:17Z",1041,"Likely Voters","Internet",38,42,5,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25788","http://www.ipsos-na.com/download/pr.aspx?id=15944","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were as below, for whom would you vote?",2,NA,5,85,44.7058823529412,49.4117647058824,5.88235294117647
"458","--","Lucid/The Times-Picayune",2016-09-23,"2016-09-25","2016-10-26T18:46:38Z",506,"Likely Voters","Internet",39,42,2,9,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26450","https://luc.id/2016-presidential-tracker/","Nonpartisan","None","",1,NA,2,83,46.9879518072289,50.6024096385542,2.40963855421687
"459","--","Public Religion Research Institute/The Atlantic",2016-09-22,"2016-09-25","2016-10-06T15:44:05Z",461,"Likely Voters","Live Phone",43,43,4,7,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-the-atlantic-25982","http://www.prri.org/wp-content/uploads/2016/10/PRRI-Atlantic-Survey-Topline-Sept-25.pdf","Nonpartisan","None","",1,NA,4,90,47.7777777777778,47.7777777777778,4.44444444444444
"460","--","Monmouth University",2016-09-22,"2016-09-25","2016-09-26T17:02:27Z",729,"Likely Voters","Live Phone",42,46,3,2,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25669","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_092616/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1,NA,3,91,46.1538461538462,50.5494505494505,3.2967032967033
"461","--","Monmouth University",2016-09-22,"2016-09-25","2016-09-26T17:02:27Z",729,"Likely Voters","Live Phone",46,49,4,2,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25669","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_092616/","Nonpartisan","None","",2,NA,4,99,46.4646464646465,49.4949494949495,4.04040404040404
"462","--","Quinnipiac",2016-09-22,"2016-09-25","2016-09-26T12:06:14Z",1115,"Likely Voters","Live Phone",43,44,3,4,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25653","https://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2383","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1,NA,3,90,47.7777777777778,48.8888888888889,3.33333333333333
"466","--","Quinnipiac",2016-09-22,"2016-09-25","2016-09-26T12:06:14Z",1115,"Likely Voters","Live Phone",46,47,1,6,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25653","https://www.qu.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2383","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote? (If undecided) As of today, do you lean more toward Clinton and Kaine or Trump and Pence?",2,NA,1,94,48.936170212766,50,1.06382978723404
