G.A.B. Canvass Reporting System,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ward by Ward Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2014 GENERAL ELECTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GOVERNOR/LIEUTENANT GOVERNOR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Total Votes Cast,DEM,REP,IND,IND,,IND,REP,CON,IND,IND,REP,
,CITY OF EAU CLAIRE WARD 5,483,256,209,1,17,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 6,546,336,197,2,7,,1,0,0,0,0,0,3
,CITY OF EAU CLAIRE WARD 7,632,357,265,2,7,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 8,659,335,316,4,3,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 9,274,167,99,0,8,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 10,832,423,399,4,6,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 11,790,389,398,0,3,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 12,"1,333",736,585,5,7,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 13,290,148,138,0,3,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 14,830,416,404,4,5,,1,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 15,887,453,423,3,6,,0,0,0,0,0,0,2
,CITY OF EAU CLAIRE WARD 17,"1,132",540,580,4,6,,0,0,0,0,0,0,2
,CITY OF EAU CLAIRE WARD 18,396,157,236,0,3,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 19,300,154,143,0,3,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 20,"1,146",611,517,2,15,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 21,673,350,315,5,3,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 22,261,136,123,0,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 23,"1,111",588,507,2,12,,0,0,0,2,0,0,0
,CITY OF EAU CLAIRE WARD 24,132,79,49,1,2,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 25,"1,158",600,553,0,5,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 26,454,239,210,1,4,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 27,129,70,58,0,0,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 28,363,174,187,0,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 29,991,599,372,4,13,,0,0,0,0,0,0,3
,CITY OF EAU CLAIRE WARD 30,826,493,315,7,9,,0,0,0,0,0,0,2
,CITY OF EAU CLAIRE WARD 31,674,450,201,3,17,,0,0,0,0,0,0,3
,CITY OF EAU CLAIRE WARD 32,783,501,272,2,8,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 33,320,161,157,0,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 34,270,164,97,3,6,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 35,762,403,355,2,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 36,222,97,121,2,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 37,501,245,249,2,5,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 38,456,211,244,0,1,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 39,674,311,349,4,9,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 42,244,118,126,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 43,213,138,73,0,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 44,59,23,35,0,1,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 45,319,157,156,2,4,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 46,648,392,236,8,11,,1,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 47,269,130,135,0,4,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 48,260,139,115,2,3,,0,0,0,0,0,0,1
,CITY OF EAU CLAIRE WARD 49,310,120,188,0,2,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 50,2,2,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 51,1,0,1,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 52,1,0,1,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 53,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 54,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 55,4,4,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 56,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 57,5,3,2,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 58,1,1,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 59,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 60,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF EAU CLAIRE WARD 61,0,0,0,0,0,,0,0,0,0,0,0,0
,County Totals:,"42,105","21,239","20,304",147,376,,4,0,0,3,0,0,32
FLORENCE ,TOWN OF AURORA WARDS 1-3,394,119,273,0,2,,0,0,0,0,0,0,0
,TOWN OF COMMONWEALTH WARDS 1-3,168,57,109,1,1,,0,0,0,0,0,0,0
,TOWN OF FENCE WARD 1,97,25,70,0,2,,0,0,0,0,0,0,0
,TOWN OF FERN WARD 1,97,31,66,0,0,,0,0,0,0,0,0,0
,TOWN OF FLORENCE Wards 1-7,910,304,593,4,9,,0,0,0,0,0,0,0
,TOWN OF HOMESTEAD WARD 1,177,60,115,0,2,,0,0,0,0,0,0,0
,TOWN OF LONG LAKE WARD 1,82,25,56,0,1,,0,0,0,0,0,0,0
,TOWN OF TIPLER WARD 1,76,8,67,0,1,,0,0,0,0,0,0,0
,County Totals:,"2,001",629,"1,349",5,18,,0,0,0,0,0,0,0
FOND DU LAC ,TOWN OF ALTO Wards 1-2,524,110,411,1,2,,0,0,0,0,0,0,0
,TOWN OF ASHFORD Wards 1 -3,852,166,684,1,1,,0,0,0,0,0,0,0
,TOWN OF AUBURN Wards 1-3,"1,236",242,980,9,5,,0,0,0,0,0,0,0
,TOWN OF BYRON Wards 1-2,866,212,648,0,6,,0,0,0,0,0,0,0
,TOWN OF CALUMET Ward 1,456,143,304,4,5,,0,0,0,0,0,0,0
,TOWN OF CALUMET Ward 2,309,72,234,3,0,,0,0,0,0,0,0,0
,TOWN OF EDEN Wards 1-2,529,107,417,1,4,,0,0,0,0,0,0,0
,TOWN OF ELDORADO Wards 1-3,726,202,520,0,4,,0,0,0,0,0,0,0
,TOWN OF EMPIRE Wards 1-4,"1,540",444,"1,088",0,8,,0,0,0,0,0,0,0
,TOWN OF FOND DU LAC Wards 1-8,"1,623",542,"1,072",4,5,,0,0,0,0,0,0,0
,TOWN OF FOND DU LAC Ward 1A,0,0,0,0,0,,0,0,0,0,0,0,0
,TOWN OF FOREST Wards 1-2,589,145,441,3,0,,0,0,0,0,0,0,0
,TOWN OF FRIENDSHIP Wards 1-3,"1,135",411,714,0,10,,0,0,0,0,0,0,0
,TOWN OF LAMARTINE Wards 1-2,865,256,602,4,3,,0,0,0,0,0,0,0
,TOWN OF MARSHFIELD Wards 1-2,562,133,425,1,3,,0,0,0,0,0,0,0
,TOWN OF METOMEN Wards 1-2,354,85,264,0,5,,0,0,0,0,0,0,0
,TOWN OF OAKFIELD Wards 1-2,340,94,243,0,3,,0,0,0,0,0,0,0
,TOWN OF OSCEOLA Wards 1-2,958,214,736,2,6,,0,0,0,0,0,0,0
,TOWN OF RIPON Wards 1-2,711,215,486,4,6,,0,0,0,0,0,0,0
,TOWN OF ROSENDALE Ward 1,360,106,249,0,5,,0,0,0,0,0,0,0
,TOWN OF SPRINGVALE Ward 1,340,99,239,2,0,,0,0,0,0,0,0,0
,TOWN OF TAYCHEEDAH Wards 1-5,"2,470",707,"1,752",2,9,,0,0,0,0,0,0,0
,TOWN OF WAUPUN Wards 1-2,695,218,475,1,1,,0,0,0,0,0,0,0
,VILLAGE OF BRANDON Ward 1,395,122,269,2,2,,0,0,0,0,0,0,0
,VILLAGE OF CAMPBELLSPORT Wards 1-4,806,221,582,0,3,,0,0,0,0,0,0,0
,VILLAGE OF EDEN Ward 1,308,89,214,1,4,,0,0,0,0,0,0,0
,VILLAGE OF FAIRWATER Ward 1,159,58,100,0,1,,0,0,0,0,0,0,0
,VILLAGE OF KEWASKUM WD 6,0,0,0,0,0,,0,0,0,0,0,0,0
,VILLAGE OF MOUNT CALVARY Ward 1,257,76,177,1,3,,0,0,0,0,0,0,0
,VILLAGE OF NORTH FOND DU LAC Wards 1-7,"1,860",824,"1,017",3,16,,0,0,0,0,0,0,0
,VILLAGE OF OAKFIELD Wards 1-2,500,178,319,2,1,,0,0,0,0,0,0,0
,VILLAGE OF ROSENDALE Wards 1-2,469,138,327,1,3,,0,0,0,0,0,0,0
,VILLAGE OF ST. CLOUD Ward 1,274,71,201,1,1,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 1,510,230,272,1,7,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 2,473,228,241,2,2,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 3,905,411,486,1,7,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 4,585,281,292,4,8,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 5,882,388,487,0,7,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 6,723,304,414,3,2,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 7,563,241,313,3,6,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 8,765,361,390,6,8,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 9,496,263,221,3,9,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 10,766,305,445,4,12,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 11,351,162,181,3,5,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 12,771,336,421,5,9,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 13,441,205,224,5,7,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 14,849,349,491,3,6,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 15,516,156,355,1,3,,1,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 16,563,217,342,1,3,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 17,139,53,82,2,2,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 18,65,20,45,0,0,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 19,545,244,298,1,2,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 20,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 21,745,328,406,4,7,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 22,910,339,563,1,7,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 23,926,341,582,0,3,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 24,906,365,535,1,5,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 25,"1,106",343,753,1,9,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 26,1,0,1,0,0,,0,0,0,0,0,0,0
,CITY OF FOND DU LAC WARD 27,0,0,0,0,0,,0,0,0,0,0,0,0
,CITY OF RIPON WARDS 1-3,762,311,431,4,16,,0,0,0,0,0,0,0
,CITY OF RIPON WARDS 4-6,673,316,350,1,6,,0,0,0,0,0,0,0
,CITY OF RIPON WARDS 7-8,660,299,351,3,7,,0,0,0,0,0,0,0
,CITY OF RIPON WARDS 9-11,827,362,454,2,9,,0,0,0,0,0,0,0
,CITY OF WAUPUN Wards 9B,0,0,0,0,0,,0,0,0,0,0,0,0
,"CITY OF WAUPUN Wards 9, 9A, 10, 11 ,12","1,437",556,869,3,9,,0,0,0,0,0,0,0
,County Totals:,"42,929","15,014","27,485",121,308,,1,0,0,0,0,0,0
FOREST ,TOWN OF ALVIN Ward 1,82,26,54,2,0,,0,0,0,0,0,0,0
,"TOWN OF ARGONNE WARDS 1, 2, 3",204,90,111,0,3,,0,0,0,0,0,0,0
,TOWN OF ARMSTRONG CREEK WARD 1,176,67,107,0,2,,0,0,0,0,0,0,0
,TOWN OF BLACKWELL WARD 1,43,15,27,0,0,,0,0,0,0,0,0,1
,TOWN OF CASWELL WARD 1,44,10,34,0,0,,0,0,0,0,0,0,0
,"TOWN OF CRANDON WARDS 1, 2, 3",246,124,116,2,4,,0,0,0,0,0,0,0
,TOWN OF FREEDOM WARD 1,200,65,134,1,0,,0,0,0,0,0,0,0
,TOWN OF HILES WARD 1,219,99,119,0,1,,0,0,0,0,0,0,0
,TOWN OF LAONA Wards 1-3,466,204,258,0,4,,0,0,0,0,0,0,0
,"TOWN OF LINCOLN WARDS 1, 2, 3",415,169,241,3,2,,0,0,0,0,0,0,0
,TOWN OF NASHVILLE Ward 1,171,58,111,2,0,,0,0,0,0,0,0,0
,TOWN OF NASHVILLE Ward 2,131,118,10,2,1,,0,0,0,0,0,0,0
,TOWN OF NASHVILLE Ward 3,182,56,126,0,0,,0,0,0,0,0,0,0
,TOWN OF POPPLE RIVER WARD 1,22,9,13,0,0,,0,0,0,0,0,0,0
,TOWN OF ROSS WARD 1,47,13,32,0,2,,0,0,0,0,0,0,0
,"TOWN OF WABENO WARDS 1, 2, 3, 4, 5",343,127,211,2,3,,0,0,0,0,0,0,0
,CITY OF CRANDON WARDS 1 - 4,601,261,328,2,10,,0,0,0,0,0,0,0
,County Totals:,"3,592","1,511","2,032",16,32,,0,0,0,0,0,0,1
GRANT ,TOWN OF BEETOWN WARD 1,245,74,164,2,5,,0,0,0,0,0,0,0
,TOWN OF BLOOMINGTON Ward 1,179,56,116,0,6,,1,0,0,0,0,0,0
,TOWN OF BOSCOBEL WARDS 1 & 2,160,83,76,1,0,,0,0,0,0,0,0,0
,TOWN OF CASSVILLE WARD 1,134,56,78,0,0,,0,0,0,0,0,0,0
,TOWN OF CASTLE ROCK WARD 1,128,50,77,0,1,,0,0,0,0,0,0,0
,TOWN OF CLIFTON WARDS 1 & 2,116,49,66,0,1,,0,0,0,0,0,0,0
,TOWN OF ELLENBORO WARD 1,229,89,137,1,2,,0,0,0,0,0,0,0
,TOWN OF FENNIMORE WARDS 1 & 2,189,77,110,1,1,,0,0,0,0,0,0,0
,TOWN OF GLEN HAVEN WARD 1,131,42,88,0,1,,0,0,0,0,0,0,0
,TOWN OF HARRISON WARD 1,222,78,138,2,4,,0,0,0,0,0,0,0
,TOWN OF HAZEL GREEN Wards 1 - 2,502,288,212,1,1,,0,0,0,0,0,0,0
,TOWN OF HICKORY GROVE WARD 1,147,60,85,0,2,,0,0,0,0,0,0,0
,"TOWN OF JAMESTOWN WARDS 1, 2 & 3",759,303,446,3,7,,0,0,0,0,0,0,0
,TOWN OF LIBERTY WARD 1,196,75,121,0,0,,0,0,0,0,0,0,0
,TOWN OF LIMA WARD 1,279,129,147,1,2,,0,0,0,0,0,0,0
,TOWN OF LITTLE GRANT WARD 1,110,40,68,2,0,,0,0,0,0,0,0,0
,TOWN OF MARION WARD 1,153,74,73,1,5,,0,0,0,0,0,0,0
,TOWN OF MILLVILLE WARD 1,86,47,38,0,1,,0,0,0,0,0,0,0
,TOWN OF MOUNT HOPE WARD 1,89,42,47,0,0,,0,0,0,0,0,0,0
,TOWN OF MOUNT IDA WARD 1,201,68,129,2,2,,0,0,0,0,0,0,0
,TOWN OF MUSCODA WARD 1,212,104,103,3,2,,0,0,0,0,0,0,0
,TOWN OF NORTH LANCASTER WARDS 1 & 2,212,76,134,2,0,,0,0,0,0,0,0,0
,TOWN OF PARIS Wards 1-2,277,103,169,2,3,,0,0,0,0,0,0,0
,TOWN OF PATCH GROVE WARD 1,150,58,85,0,7,,0,0,0,0,0,0,0
,"TOWN OF PLATTEVILLE WARDS 1, 2 & 3",660,309,342,2,7,,0,0,0,0,0,0,0
,TOWN OF POTOSI WARD 1,301,126,172,0,3,,0,0,0,0,0,0,0
,TOWN OF SMELSER WARDS 1 & 2,339,142,196,0,1,,0,0,0,0,0,0,0
,"TOWN OF SOUTH LANCASTER WARDS 1, 2 & 3",236,89,143,1,3,,0,0,0,0,0,0,0
,TOWN OF WATERLOO WARD 1,164,77,85,1,1,,0,0,0,0,0,0,0
,TOWN OF WATTERSTOWN WARD 1 & 2,127,65,61,1,0,,0,0,0,0,0,0,0
,TOWN OF WINGVILLE WARD 1,143,59,81,1,2,,0,0,0,0,0,0,0
,TOWN OF WOODMAN WARD 1,56,24,31,0,1,,0,0,0,0,0,0,0
,TOWN OF WYALUSING WARD 1,166,73,91,2,0,,0,0,0,0,0,0,0
,VILLAGE OF BAGLEY WARD 1,148,86,61,1,0,,0,0,0,0,0,0,0
,VILLAGE OF BLOOMINGTON WARD 1,359,153,195,4,7,,0,0,0,0,0,0,0
,VILLAGE OF BLUE RIVER WARD 1,158,78,75,1,4,,0,0,0,0,0,0,0
,VILLAGE OF CASSVILLE WARDS 1 & 2,298,155,138,0,4,,0,0,0,0,0,0,1
,VILLAGE OF DICKEYVILLE Wards 1-2,386,172,209,3,2,,0,0,0,0,0,0,0
,VILLAGE OF HAZEL GREEN WARD 1 & 2,414,221,184,4,4,,0,0,0,0,0,0,1
,VILLAGE OF LIVINGSTON WARD 1,220,108,110,1,1,,0,0,0,0,0,0,0
,VILLAGE OF MONTFORT WARD 1,212,125,84,1,2,,0,0,0,0,0,0,0
,VILLAGE OF MOUNT HOPE WARD 1,65,32,31,0,1,,0,0,0,0,0,0,1
,VILLAGE OF MUSCODA WARDS 1-2,381,205,172,1,3,,0,0,0,0,0,0,0
,VILLAGE OF PATCH GROVE WARD 1,68,37,30,0,1,,0,0,0,0,0,0,0
,VILLAGE OF POTOSI WARD 1,256,120,132,1,3,,0,0,0,0,0,0,0
,VILLAGE OF TENNYSON WARD 1,131,64,65,1,0,,0,0,0,0,0,0,1
,VILLAGE OF WOODMAN WARD 1,32,14,16,2,0,,0,0,0,0,0,0,0
,CITY OF BOSCOBEL WARDS 1 - 4,957,595,343,6,13,,0,0,0,0,0,0,0
,CITY OF CUBA CITY WARDS 1 - 4,714,381,323,2,8,,0,0,0,0,0,0,0
,CITY OF FENNIMORE Ward 1-4,901,467,417,4,13,,0,0,0,0,0,0,0
,CITY OF LANCASTER WARDS 1 - 6,"1,313",638,654,5,16,,0,0,0,0,0,0,0
,CITY OF PLATTEVILLE WARDS 1-2,"1,056",618,419,5,14,,0,0,0,0,0,0,0
,CITY OF PLATTEVILLE WARDS 3-4,871,462,393,2,13,,0,0,0,0,0,0,1
,CITY OF PLATTEVILLE WARDS 5-6,828,312,492,7,17,,0,0,0,0,0,0,0
,CITY OF PLATTEVILLE WARDS 7-8,"1,100",576,497,11,14,,0,1,0,0,0,0,1
,County Totals:,"18,166","8,704","9,149",94,211,,1,1,0,0,0,0,6
GREEN ,TOWN OF ADAMS WARD 1,251,126,123,1,1,,0,0,0,0,0,0,0
,TOWN OF ALBANY WARDS 1 & 2,524,268,250,0,4,,0,0,0,0,0,0,2
,TOWN OF BROOKLYN WARDS 1-2-3,609,318,283,2,6,,0,0,0,0,0,0,0
,TOWN OF CADIZ WARD 1,354,129,220,2,3,,0,0,0,0,0,0,0
,TOWN OF CLARNO WARDS 1 & 2,488,191,294,2,1,,0,0,0,0,0,0,0
,TOWN OF DECATUR WARDS 1-2-3,780,342,429,4,5,,0,0,0,0,0,0,0
,TOWN OF EXETER WARDS 1-2-3-4,973,581,387,0,4,,0,0,0,1,0,0,0
,TOWN OF JEFFERSON WARDS 1 & 2,455,147,304,1,2,,0,0,0,0,0,0,1
,TOWN OF JORDAN WARD 1,274,117,152,2,3,,0,0,0,0,0,0,0
,TOWN OF MONROE WARDS 1 & 2,600,257,342,0,1,,0,0,0,0,0,0,0
,TOWN OF MOUNT PLEASANT WARD 1,128,63,62,1,2,,0,0,0,0,0,0,0
,TOWN OF MOUNT PLEASANT WARDS 2-3,160,85,73,0,1,,0,0,0,0,0,0,1
,TOWN OF NEW GLARUS WARDS 1-2,678,349,323,1,5,,0,0,0,0,0,0,0
,TOWN OF SPRING GROVE WARD 1,386,127,250,2,7,,0,0,0,0,0,0,0
,TOWN OF SYLVESTER WARDS 1 & 2,486,190,290,3,3,,0,0,0,0,0,0,0
,TOWN OF WASHINGTON WARD 1,385,207,177,0,1,,0,0,0,0,0,0,0
,TOWN OF YORK WARD 1,479,291,185,1,1,,0,0,0,0,0,0,1
,VILLAGE OF ALBANY WARDS 1 & 2,362,234,121,3,4,,0,0,0,0,0,0,0
,VILLAGE OF BELLEVILLE WARD 3,209,125,80,0,4,,0,0,0,0,0,0,0
,VILLAGE OF BROOKLYN WARD 2,211,136,72,0,2,,1,0,0,0,0,0,0
,VILLAGE OF BROWNTOWN WARD 1,86,45,39,0,2,,0,0,0,0,0,0,0
,VILLAGE OF MONTICELLO WARDS 1 & 2,529,296,220,3,10,,0,0,0,0,0,0,0
,VILLAGE OF NEW GLARUS WARDS 1-2-3-4,"1,015",689,308,6,11,,0,0,0,0,0,0,1
,CITY OF BRODHEAD WARDS 1 - 6,"1,009",526,460,7,16,,0,0,0,0,0,0,0
,CITY OF MONROE wards 1 - 9,"3,907","2,109","1,749",11,33,,0,0,0,0,0,0,5
,County Totals:,"15,338","7,948","7,193",52,132,,1,0,0,1,0,0,11
GREEN LAKE ,TOWN OF BERLIN WARDS 1-3,592,146,439,3,4,,0,0,0,0,0,0,0
,TOWN OF BROOKLYN Wards 1 - 3,"1,011",304,702,0,5,,0,0,0,0,0,0,0
,TOWN OF GREEN LAKE WARDS 1-2,643,132,508,1,2,,0,0,0,0,0,0,0
,TOWN OF KINGSTON Wards 1 - 2,254,74,176,2,2,,0,0,0,0,0,0,0
,TOWN OF MACKFORD WARD 1,252,51,199,0,2,,0,0,0,0,0,0,0
,TOWN OF MANCHESTER WARD 1,317,88,228,0,1,,0,0,0,0,0,0,0
,TOWN OF MARQUETTE WARD 1,238,71,163,1,3,,0,0,0,0,0,0,0
,TOWN OF PRINCETON Wards 1 - 4,734,246,482,2,4,,0,0,0,0,0,0,0
,TOWN OF ST. MARIE Wards 1 - 2,199,54,144,0,1,,0,0,0,0,0,0,0
,TOWN OF SENECA WARD 1,187,61,124,1,1,,0,0,0,0,0,0,0
,VILLAGE OF KINGSTON WARD 1,151,45,105,1,0,,0,0,0,0,0,0,0
,VILLAGE OF MARQUETTE WARD 1,49,10,39,0,0,,0,0,0,0,0,0,0
,CITY OF BERLIN WARDS 1-6,"1,712",643,"1,041",7,21,,0,0,0,0,0,0,0
,CITY OF GREEN LAKE WARDS 1 - 3,473,175,294,1,3,,0,0,0,0,0,0,0
,CITY OF MARKESAN WARDS 1 - 3,562,172,387,1,2,,0,0,0,0,0,0,0
,CITY OF PRINCETON Wards 1 - 4,500,192,305,1,2,,0,0,0,0,0,0,0
,County Totals:,"7,874","2,464","5,336",21,53,,0,0,0,0,0,0,0
IOWA ,TOWN OF ARENA Wards 1-2,732,420,308,1,2,,0,0,0,0,0,0,1
,TOWN OF BRIGHAM Wards 1-2,560,341,211,2,6,,0,0,0,0,0,0,0
,TOWN OF CLYDE Ward 1,163,91,66,0,5,,0,0,0,0,0,0,1
,TOWN OF DODGEVILLE Wards 1-4,907,491,404,2,10,,0,0,0,0,0,0,0
,TOWN OF EDEN Ward 1,181,81,99,0,1,,0,0,0,0,0,0,0
,TOWN OF HIGHLAND Wards 1- 2,345,171,166,1,7,,0,0,0,0,0,0,0
,TOWN OF LINDEN Wards 1-3,326,131,195,0,0,,0,0,0,0,0,0,0
,TOWN OF MIFFLIN Wards 1-2,241,101,136,1,3,,0,0,0,0,0,0,0
,TOWN OF MINERAL POINT Wards 1- 2,427,189,236,0,2,,0,0,0,0,0,0,0
,TOWN OF MOSCOW Wards 1-2,298,169,128,0,1,,0,0,0,0,0,0,0
,TOWN OF PULASKI Ward 1,140,59,81,0,0,,0,0,0,0,0,0,0
,TOWN OF RIDGEWAY Wards 1-2,341,209,128,0,4,,0,0,0,0,0,0,0
,TOWN OF WALDWICK Wards 1-2,225,122,103,0,0,,0,0,0,0,0,0,0
,TOWN OF WYOMING Wards 1-2,184,121,61,1,1,,0,0,0,0,0,0,0
,VILLAGE OF ARENA Ward 1,352,218,132,1,1,,0,0,0,0,0,0,0
,VILLAGE OF AVOCA Ward 1,185,109,72,2,2,,0,0,0,0,0,0,0
,VILLAGE OF BARNEVELD Wards 1-2,487,294,186,1,6,,0,0,0,0,0,0,0
,VILLAGE OF BLANCHARDVILLE WARD 2,67,46,21,0,0,,0,0,0,0,0,0,0
,VILLAGE OF COBB Ward 1,226,128,93,1,4,,0,0,0,0,0,0,0
,VILLAGE OF HIGHLAND Ward 1,334,164,158,1,11,,0,0,0,0,0,0,0
,VILLAGE OF HOLLANDALE Ward 1,115,79,33,2,1,,0,0,0,0,0,0,0
,VILLAGE OF LINDEN Ward 1,181,102,73,1,1,,0,0,0,0,0,0,4
,VILLAGE OF LIVINGSTON Ward 2,3,1,2,0,0,,0,0,0,0,0,0,0
,VILLAGE OF MONTFORT Ward 2,42,19,23,0,0,,0,0,0,0,0,0,0
,VILLAGE OF MUSCODA Ward 3,9,3,6,0,0,,0,0,0,0,0,0,0
,VILLAGE OF REWEY Ward 1,80,52,25,0,3,,0,0,0,0,0,0,0
,VILLAGE OF RIDGEWAY Ward 1,314,174,131,1,8,,0,0,0,0,0,0,0
,CITY OF DODGEVILLE WARDS 1 - 10,"1,994","1,126",818,14,34,,0,0,0,0,0,0,2
,CITY OF MINERAL POINT Wards 1 - 6,"1,121",726,385,2,7,,0,0,1,0,0,0,0
,County Totals:,"10,580","5,937","4,480",34,120,,0,0,1,0,0,0,8
IRON ,TOWN OF ANDERSON ward 1,41,18,23,0,0,,0,0,0,0,0,0,0
,TOWN OF CAREY Ward 1,78,25,53,0,0,,0,0,0,0,0,0,0
,TOWN OF GURNEY Ward 1,71,32,37,0,2,,0,0,0,0,0,0,0
,TOWN OF KIMBALL Ward 1,236,94,141,1,0,,0,0,0,0,0,0,0
,TOWN OF KNIGHT Ward 1,94,46,48,0,0,,0,0,0,0,0,0,0
,TOWN OF MERCER WARDS 1-4,840,312,522,3,3,,0,0,0,0,0,0,0
,TOWN OF OMA Ward 1,194,62,130,1,1,,0,0,0,0,0,0,0
,TOWN OF PENCE Ward 1,80,23,57,0,0,,0,0,0,0,0,0,0
,TOWN OF SAXON Ward 1,178,56,118,2,2,,0,0,0,0,0,0,0
,TOWN OF SHERMAN Ward 1,191,68,123,0,0,,0,0,0,0,0,0,0
,CITY OF HURLEY WARD 1,157,57,95,3,2,,0,0,0,0,0,0,0
,CITY OF HURLEY WARD 2,145,59,83,0,2,,1,0,0,0,0,0,0
,CITY OF HURLEY WARD 3,93,32,58,2,1,,0,0,0,0,0,0,0
,CITY OF HURLEY WARD 4,143,64,78,1,0,,0,0,0,0,0,0,0
,CITY OF MONTREAL Wards 1-2,333,137,189,3,4,,0,0,0,0,0,0,0
,County Totals:,"2,874","1,085","1,755",16,17,,1,0,0,0,0,0,0
JACKSON ,TOWN OF ADAMS WARDS 1-3,636,296,336,2,2,,0,0,0,0,0,0,0
